Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	6,552	6,746605	3,1465	18,906	15,80288	15,7544	4,479884	15,76011	15,82344	7,842572	17,34896	1,873555	2,032258	0,8794091	2,032258	0,01587302	1,26078	0,2910077	0,9594826	58,19205	250,9202	-14,4612	0,88	137,0838	11,57436	110,	157,	-0,7434095	137,0876	145,9805	-0,3709907	11,56727	133,8018	0,004528743	2,950603	89,97958	135,9694	0,4593087	276,8058	540,9271	4,426729	5,556796	1,031573	1,386907	-0,5214849	0,9900286	154,6739	12,14795	127,	177,	140,6035	12,99475	110,	162,	115,9462	10,01375	90,	134,	27,46998	3,04531	15,	36,	39,30538	4,136511	23,	49,	137,0838	11,57436	110,	157,	100,3261	9,224637	77,99999	128,	114,3965	10,20117	92,99999	145,	139,0538	8,648717	121,	165,	59,09361	3,865326	47,49763	67,20871	1,19008	0,7287924	0,9312414	3,376457	15,08753	0,4911327	13,62577	16,56093	1	0,0000604193	0,0009522145
S01	2	7,072	7,131628	3,451	20,55	16,84792	16,8322	4,836281	18,36744	18,52578	8,617656	19,93497	1,8417	2,	0,869634	2,	0,01470588	1,229617	0,2659858	0,9797202	70,11986	281,564	-15,97353	0,87	129,3485	11,61137	97,	148,	-0,06924808	129,352	124,0352	-0,5546255	11,60205	134,6077	0,005380953	2,859206	70,50729	135,3467	0,5013791	261,2744	538,5276	4,37119	5,489651	1,179515	1,425488	-0,5170669	0,9890664	145,9178	11,64748	112,	165,	132,1224	12,86552	95,	153,	110,0146	10,70566	83,	129,	26,54024	3,258572	13,	33,	38,23459	4,288378	22,	49,	129,3485	11,61137	97,	148,	109,0822	11,30593	89,99999	143,	122,8776	12,37414	102,	160,	144,9854	9,004848	126,	172,	55,85206	4,745181	41,61652	63,64487	1,520692	1,094033	0,3978454	4,802791	13,84318	1,477942	9,409356	14,21824	1	0,0000604193	0,001109747
S01	3	6,136	6,175242	2,7405	17,262	14,41546	14,41192	4,074463	13,03666	12,97332	6,955056	16,27415	1,667616	2,185185	0,8899552	2,185185	0,01694915	1,268284	0,264636	0,9817024	45,80458	215,5685	-11,70758	0,92	128,9974	9,211589	113,	147,	-1,184959	128,9973	117,8242	0,1574858	9,215318	84,92208	0,005105972	4,660057	148,2547	86,69789	0,3770478	260,5892	342,1316	4,146531	5,445254	1,505156	1,568652	-0,4369719	0,9759025	144,7305	9,328947	129,	163,	131,6129	10,41758	115,	152,	110,6262	8,260965	94,	128,	26,57067	3,03687	17,	34,	36,33553	3,46998	24,	47,	128,9974	9,211589	113,	147,	110,2695	6,089834	91,99999	126,	123,3871	6,795687	103,	140,	144,3738	5,791277	127,	161,	55,61666	2,520613	49,17524	63,1785	1,420694	0,4705679	0,00899022	1,909637	13,1484	0,3172385	13,62085	14,10012	2	0,0000873379	0,001138595
S01	4	7,072	7,097404	2,9435	19,5225	16,55855	16,61268	4,628934	16,82627	16,71015	10,14329	21,63215	1,925583	2,344828	0,9016576	2,344828	0,01470588	1,29653	0,2894478	0,9844444	55,41377	295,2704	6,266137	0,92	136,7219	11,51327	115,	160,	-0,9893579	136,7264	126,1055	0,22259	11,50051	132,2618	0,004051129	5,285859	100,0499	133,4921	0,3990904	276,4899	528,6822	4,412296	5,716442	2,064015	1,660407	-0,4706341	0,9850625	151,6819	12,51428	128,	176,	139,6514	12,65522	115,	166,	118,86	9,747859	101,	141,	27,31429	2,908493	17,	36,	33,28095	3,484398	20,	42,	136,7219	11,51327	115,	160,	103,3181	8,106036	78,99999	127,	115,3486	8,78286	88,99999	140,	136,14	7,380002	114,	154,	58,62817	3,234993	49,24071	68,33315	0,967916	0,542806	-0,5781087	2,596334	12,74575	1,05432	9,582791	14,25506	1	0,0000604193	0,001016631
S01	5	6,864	6,976359	3,045	19,317	16,13547	16,22268	4,576365	16,44625	16,43569	8,739377	19,888	2,029521	2,2	0,8857387	2,2	0,01515152	1,25957	0,2830444	0,9720687	58,16997	269,8001	-2,537694	0,93	114,3115	4,638375	104,	123,	-0,9460708	114,3154	116,9961	-0,2338192	4,646549	21,59042	0,01622062	1,227414	501,619	21,60402	0,6300898	230,7497	85,18868	3,506478	4,29201	0,5544351	1,075518	-0,4930276	0,9693799	131,3555	5,049105	118,	142,	115,6268	5,158477	104,	126,	95,94418	4,410038	86,	110,	23,83056	2,117898	13,	30,	41,00294	4,080855	19,	50,	114,3115	4,638375	104,	123,	123,6445	4,451843	113,	137,	139,3732	3,87561	129,	151,	159,0558	4,685272	145,	169,	49,61978	1,594908	44,83505	53,81232	2,826016	0,1941509	2,473267	3,408469	13,132	0,7282727	10,94718	12,17945	1	0,0000604193	0,0009936707
S01	6	6,344	6,417812	3,045	18,2895	15,16134	15,14154	4,342759	14,81007	14,7784	7,056899	16,10328	1,831209	2,033333	0,8714477	2,033333	0,01639344	1,234934	0,3039721	0,9766178	55,18234	229,3524	0,8375271	0,89	130,5392	10,57461	101,	152,	-0,3299815	130,5434	134,8008	-0,08509459	10,5691	111,7059	0,005071537	3,711059	91,51839	112,6749	0,4497484	263,7943	446,9886	4,313542	5,532492	1,427043	1,524999	-0,4923766	0,9864326	146,6879	10,86106	115,	170,	133,1432	11,54622	101,	156,	111,755	9,728149	87,	133,	26,44184	2,789088	18,	36,	36,74273	4,167198	26,	45,	130,5392	10,57461	101,	152,	108,3121	10,56263	84,99999	140,	121,8568	10,71438	98,99999	154,	143,2449	8,251678	122,	168,	56,24058	4,175985	43,71262	64,97562	1,521884	0,5376193	1,31948	3,134742	13,39778	1,142173	9,971259	13,91187	1	0,0000604193	0,0008948137
S01	7	6,448	6,434968	3,248	18,906	15,4605	15,53776	4,552805	16,27735	16,21402	6,990451	15,64086	1,445439	1,9375	0,8582283	1,9375	0,01612903	1,168394	0,2358013	0,9899816	63,04471	239,3018	0,5353285	0,94	135,9221	11,55034	106,	161,	-0,3630826	135,9176	143,9102	-0,2525661	11,54462	133,2782	0,003417421	11,29687	84,85903	133,9194	0,2777924	273,9385	524,3807	4,403519	5,982209	3,808671	1,992628	-0,4056498	0,9758892	152,713	10,55869	122,	177,	138,425	12,86529	105,	166,	116,6598	12,0571	90,	144,	26,29093	4,043541	14,	38,	36,43294	6,511489	18,	56,	135,9221	11,55034	106,	161,	102,287	10,23767	77,99999	133,	116,575	11,14168	88,99999	150,	138,3402	9,113416	111,	165,	58,3395	4,244733	45,6053	68,4847	1,728133	0,8235105	0,2710604	4,198665	13,60737	0,8948221	10,9229	12,82606	1	0,0000604193	0,0009834657
S01	8	6,814799	6,872483	3,451	19,9335	16,32051	16,30289	4,720947	17,50185	17,50185	7,823772	18,40775	1,790356	1,927262	0,8628514	1,911765	0,01526091	1,210902	0,23328	0,9796882	71,43863	258,433	28,7175	0,88	145,7364	16,76445	98,	176,	-0,461992	145,7343	134,8008	-0,259797	16,76756	281,1511	0,002787778	6,988506	35,73676	276,3782	0,3133321	295,0019	1098,525	4,750594	6,122116	2,252462	1,728862	-0,5080268	0,992238	162,5409	17,63783	114,	194,	149,4155	18,14161	96,	182,	125,2409	14,8806	83,	155,	28,04818	3,096398	15,	36,	35,92273	4,379344	22,	49,	145,7364	16,76445	98,	176,	92,45908	16,18031	61,	141,	105,5846	17,80515	72,99999	159,	129,7591	14,0803	99,99999	172,	62,38214	6,759215	42,1045	74,37603	0,8324878	1,408486	-0,1645855	5,057947	14,52894	1,468686	10,12288	15,29091	1	0,0000604193	0,001057449
S01	9	6,968	7,017612	3,5525	20,55	16,84792	16,97062	4,958425	19,30692	19,22248	8,277887	18,092	2,011037	1,914286	0,8486214	1,914286	0,01492537	1,169783	0,2727599	0,9809961	77,84375	277,6716	4,671013	0,91	141,2921	16,25712	94,	165,	-0,1087177	141,2939	155,918	-0,8187596	16,24988	264,0585	0,004122017	4,011724	35,18994	258,3796	0,4379511	285,8476	1029,506	4,625038	5,829766	1,54835	1,546883	-0,531621	0,9926329	159,0351	17,14703	111,	185,	144,5754	17,71757	91,	170,	120,2522	14,3732	79,	144,	27,06544	3,134218	14,	34,	38,0415	4,851327	23,	53,	141,2921	16,25712	94,	165,	95,96488	16,0117	69,99999	144,	110,4246	17,85847	84,99999	164,	134,7478	13,75073	111,	176,	60,6561	6,788962	40,28921	70,23009	1,369669	1,595108	1,18164	6,154992	14,88448	1,636229	9,975796	15,37342	1	0,0000604193	0,00116651
S01	10	6,656	6,72452	2,842	18,495	15,35616	15,41455	4,253627	14,20838	14,24004	8,473396	19,82868	1,73552	2,285714	0,9046077	2,285714	0,015625	1,320526	0,2814795	0,9779137	46,31984	254,3896	4,218923	0,86	142,6277	10,7232	116,	160,	-0,6446254	142,6276	143,9102	-0,4246142	10,7265	115,0578	0,006177734	2,994838	118,5643	114,4437	0,4991713	288,0916	454,7799	4,290284	5,364767	1,259245	1,449674	-0,5301384	0,9895141	160,747	11,44129	133,	181,	146,847	11,86151	116,	166,	120,2988	9,262136	96,	136,	28,4241	2,246996	19,	34,	39,94217	3,516096	26,	51,	142,6277	10,7232	116,	160,	94,253	9,248998	73,99999	122,	108,153	10,28233	88,99999	139,	134,7012	8,099605	119,	159,	61,42405	3,846621	49,88418	68,65973	0,8009901	0,8348383	0,6174025	3,305505	15,9467	0,8188174	13,49025	17,52466	1	0,0000604193	0,0008584601
