Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	8,424	8,493321	3,5525	23,427	19,63255	19,71598	5,464006	23,44488	23,60322	13,3895	31,31509	2,13986	2,314286	0,9087753	2,314286	0,01234568	1,308071	0,2697124	0,979917	73,95006	424,4081	3,823173	0,94	124,9245	8,212366	100,	147,	-0,09134954	124,9347	122,1211	-0,3849821	8,210283	67,40874	0,00712329	6,626342	151,8152	66,28427	0,4319767	251,2742	258,5109	4,058153	5,460839	3,140895	1,777539	-0,3955612	0,9655563	140,265	8,248604	114,	156,	127,178	9,449908	97,	150,	107,299	8,389132	86,	140,	26,00832	4,312754	10,	42,	36,04289	7,258457	7,	50,	124,9245	8,212366	100,	147,	114,7349	8,755017	98,99999	141,	127,822	10,05932	105,	158,	147,701	10,90034	115,	169,	53,91127	3,817647	42,45833	62,31644	1,609046	1,109175	0,3859852	4,936571	12,62392	2,19203	6,047827	8,79984	
S01	2	6,864	6,922974	3,045	19,317	15,96428	15,94199	4,478384	15,74955	15,67566	8,31901	20,45816	1,850114	2,2	0,8919235	2,2	0,01515152	1,287527	0,2710271	0,9795645	54,1742	264,607	3,481425	0,9	117,4366	2,98341	110,	126,	0,150949	117,4308	116,8477	0,08349461	2,989233	8,935515	0,02863813	1,401338	1474,67	8,210316	0,6260613	236,7726	31,43992	3,110386	3,949546	0,6701889	1,14304	-0,3872306	0,9219117	135,5236	3,14198	125,	144,	118,9487	3,426503	109,	130,	97,81989	3,856248	90,	111,	23,97801	1,980686	15,	30,	42,6555	5,129888	23,	53,	117,4366	2,98341	110,	126,	119,4764	3,507848	111,	130,	136,0513	3,683769	125,	146,	157,1801	4,393377	144,	165,	50,98343	1,377469	47,02095	55,11584	2,927294	0,2768445	2,09676	3,114914	13,98646	0,5873785	12,22432	12,9362	
S01	3	8,216001	8,31953	3,3495	22,8105	18,99101	19,05058	5,243045	21,58702	21,55535	12,23908	30,8278	2,030606	2,393939	0,9091489	2,393939	0,01265823	1,329319	0,301994	0,9756861	69,03347	390,623	-18,76558	0,93	117,0463	5,519953	105,	140,	1,72396	117,0615	116,8477	0,7268495	5,520573	30,47672	0,01071757	2,655172	372,506	29,67296	0,5058861	235,8426	116,0367	3,686842	4,800372	1,076702	1,385298	-0,4128401	0,9579611	133,7849	5,1215	121,	154,	118,6068	6,065889	105,	144,	98,76567	6,656985	83,	128,	24,38746	2,703173	9,	33,	40,00285	6,692038	6,	60,	117,0463	5,519953	105,	140,	121,2151	6,73837	101,	134,	136,3932	8,464389	111,	150,	156,2343	9,744779	127,	172,	50,74251	3,16119	45,34886	60,22608	2,543459	0,5423096	0,9165303	2,718583	13,07546	1,080171	9,834951	14,71961	
S01	4	8,528	8,694462	3,5525	23,838	19,96514	20,00374	5,50689	23,81434	23,98323	14,19683	32,5302	2,454488	2,342857	0,9117621	2,342857	0,01219512	1,331779	0,2791115	0,9690651	74,80569	438,9931	-15,32182	0,89	120,971	6,915698	105,	153,	4,042175	120,9824	121,0664	1,266957	6,915465	47,82365	0,01593374	2,810595	241,0497	45,92204	0,5699592	243,461	180,8776	3,75423	4,76045	1,534145	1,368798	-0,4605879	0,9706063	138,1274	6,567839	121,	166,	122,0876	7,318933	105,	157,	102,6929	7,989985	88,	138,	23,47982	2,429826	14,	33,	38,70744	6,65746	11,	52,	120,971	6,915698	105,	153,	116,8726	9,290883	88,99999	134,	132,9124	11,63746	97,99999	150,	152,3071	11,76902	117,	167,	52,20589	4,267012	45,45932	65,00693	2,934655	0,9768048	0,00424024	3,466032	12,88564	0,5892919	11,11777	11,89788	
S01	5	8,008	8,062041	3,3495	22,194	18,57772	18,74855	5,219919	21,39701	21,30201	12,43676	28,26871	2,021961	2,333333	0,9048356	2,333333	0,01298701	1,283387	0,2608733	0,9813582	69,85894	379,7347	-16,40819	0,92	143,336	16,31152	99,	166,	-0,2597413	143,3385	162,9023	-0,6647122	16,30058	265,7089	0,003815471	5,629128	37,81763	266,1278	0,3867037	289,7327	1058,882	4,61409	5,92848	2,09518	1,70212	-0,5038286	0,9907329	160,0827	16,44729	115,	185,	146,8802	17,67376	98,	172,	123,0506	15,27736	81,	148,	27,86947	3,509825	15,	37,	36,3281	5,177257	14,	52,	143,336	16,31152	99,	166,	94,91727	15,02757	69,99999	140,	108,1198	16,29339	82,99999	157,	131,9493	14,01688	107,	174,	61,43239	6,235972	42,72447	70,84158	0,9290599	1,018218	0,7060842	3,983713	14,40307	0,7312352	12,20936	14,03809	
S01	6	8,528	8,582854	3,3495	23,2215	19,3236	19,32989	5,153833	20,85866	21,112	13,64656	35,38702	2,477462	2,484848	0,9271938	2,484848	0,01219512	1,424346	0,2315003	0,9816664	61,22969	422,5284	-24,87686	0,9	125,9131	6,565166	109,	143,	-0,412015	125,9256	123,1758	-0,1165726	6,556904	42,99298	0,01097316	1,681055	276,5601	43,11267	0,6107085	253,6443	170,7696	3,949137	4,844156	0,8345375	1,198951	-0,5219293	0,9835261	142,9177	5,496987	127,	156,	127,8142	6,927009	109,	145,	107,0076	8,244569	89,	127,	24,92447	2,064386	17,	33,	38,50982	7,096067	21,	53,	125,9131	6,565166	109,	143,	112,0823	5,305888	98,99999	128,	127,1858	6,271393	110,	146,	147,9924	6,664152	128,	166,	54,32695	2,376487	47,19749	60,64993	2,284408	0,5096648	0,9787601	3,813402	13,40826	0,7943449	11,02523	13,80225	
S01	7	8,944	8,947125	3,3495	24,0435	20,27409	20,28102	5,433167	23,18098	23,29709	15,84067	37,94047	2,644572	2,606061	0,9279667	2,606061	0,01162791	1,410838	0,2504793	0,9876357	65,73013	472,1888	-7,405375	0,91	118,8084	4,303733	106,	129,	-0,2909157	118,8094	117,9023	-0,4023583	4,311759	18,59127	0,01417321	2,002766	613,7415	18,33564	0,5486097	239,6445	71,33974	3,490066	4,524183	0,8328981	1,266306	-0,3999016	0,9464645	135,2585	4,553951	122,	146,	120,4226	4,838578	105,	131,	100,7585	4,77371	89,	118,	24,51903	2,285182	14,	32,	38,80184	5,244548	18,	52,	118,8084	4,303733	106,	129,	119,7415	4,41951	109,	133,	134,5774	5,140849	124,	150,	154,2415	5,747157	137,	166,	51,43006	1,949319	45,5821	55,73727	2,412247	0,5437894	3,447109	4,043616	12,89027	1,265598	9,09348	11,48736	
S01	8	8,632	8,635998	3,1465	23,016	19,29996	19,43344	5,172058	21,00644	21,03811	14,15326	36,3289	1,956556	2,677419	0,9301184	2,677419	0,01204819	1,410868	0,2779086	0,9875234	58,3788	431,8858	-6,444608	0,92	120,1783	9,753092	100,	149,	-0,6347165	120,1857	114,0352	0,296738	9,753912	95,13881	0,003262587	12,78835	109,7349	91,90817	0,2480181	241,2478	354,8441	4,234346	5,942715	3,924734	2,030148	-0,3461207	0,9575341	137,0409	7,37302	118,	160,	121,6984	10,67212	96,	154,	101,812	12,12533	81,	135,	24,4792	3,446458	10,	39,	39,58172	9,748075	18,	60,	120,1783	9,753092	100,	149,	117,9591	7,653048	94,99999	137,	133,3016	10,76721	101,	159,	153,188	11,06266	120,	174,	51,97544	3,880861	42,47765	63,61802	2,575975	1,299097	-1,144939	6,473265	13,06131	0,7669709	10,7604	11,91634	
S01	9	9,152	9,146195	3,451	24,66	20,40207	20,45466	5,452924	23,34987	23,68766	15,6505	40,68225	2,552451	2,588235	0,9265935	2,588235	0,01136364	1,41837	0,2356776	0,9886078	66,81578	472,4421	0,5774539	0,89	138,2171	15,50185	98,	164,	-0,8929029	138,2185	155,8711	-0,3919309	15,49976	240,2425	0,003174921	7,621024	40,60924	242,3725	0,3426012	279,4883	961,868	4,629642	6,076268	2,748105	1,82296	-0,4702623	0,9880018	155,3849	15,87474	114,	182,	141,3987	17,03063	97,	169,	117,8859	14,02569	83,	142,	27,0623	3,289229	15,	34,	37,64262	4,830916	25,	53,	138,2171	15,50185	98,	164,	99,61507	13,79498	72,99999	141,	113,6013	14,79956	85,99999	158,	137,1141	11,62863	113,	172,	59,4156	5,676485	42,38615	69,66425	1,322545	1,045496	0,2654479	4,459034	14,44657	1,310138	10,51616	15,64144	
S01	10	8,632	8,734274	3,7555	24,4545	20,15018	20,08707	5,589268	24,53214	24,77493	13,40183	32,57048	2,783153	2,243243	0,8986238	2,243243	0,01204819	1,316886	0,2549849	0,9764121	82,34472	426,0449	-9,927291	0,89	121,7591	6,830899	104,	144,	0,1440532	121,7648	116,8477	0,2834967	6,831956	46,67563	0,01165983	2,702875	236,5607	45,91031	0,5490602	245,2	180,9383	3,916767	4,976181	1,344496	1,381058	-0,4685177	0,9759041	140,3549	5,257632	124,	160,	122,2445	7,383586	103,	144,	102,6591	8,606072	83,	133,	22,25488	2,28668	14,	31,	40,29268	6,99519	19,	54,	121,7591	6,830899	104,	144,	114,6451	6,548378	94,99999	131,	132,7555	7,251829	111,	152,	152,3409	10,11362	122,	172,	52,46228	2,806479	45,0955	60,88172	3,758185	0,4772047	4,07157	5,189799	13,29424	1,763295	8,004355	14,42221	
