Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	7,8	7,887568	2,9435	20,961	17,63702	17,69343	4,750751	17,72352	17,70241	11,80568	29,27532	1,967649	2,586207	0,9225383	2,586207	0,01333333	1,396452	0,3033653	0,9770122	52,41569	347,4781	-13,11213	0,93	98,95975	4,807344	88,	124,	3,29543	99,0155	97,9375	0,8509518	4,815878	23,19268	0,02441191	4,8296	392,1406	19,79234	0,5534716	199,1977	74,33971	3,347513	4,430152	2,912441	1,573912	-0,3674031	0,9294319	113,3632	4,478764	103,	141,	98,04117	5,32014	86,	124,	85,48216	5,851172	73,	111,	18,90485	3,057267	3,	30,	34,88289	6,585974	7,	48,	98,95975	4,807344	88,	124,	141,6368	9,212262	114,	152,	156,9588	8,652944	131,	169,	169,5178	8,505951	144,	182,	42,67495	3,5069	37,87863	53,19565	3,959648	0,272824	4,308526	4,77812	9,408609	0,2550837	9,484432	10,17386	
S01	2	7,488	7,529526	2,842	20,139	16,85771	16,90927	4,560181	16,33013	16,2668	10,63616	26,64958	1,815496	2,571429	0,9227434	2,571429	0,01388889	1,384629	0,258093	0,982532	47,64458	320,7423	0,04404427	0,9	110,8457	7,927585	99,	134,	-0,6959258	110,9068	105,0625	0,5600079	7,925438	62,81257	0,00806098	3,950109	158,1633	62,34932	0,4626044	223,7288	245,4471	3,970171	5,173718	1,651037	1,555783	-0,4423081	0,9731582	124,136	6,132175	112,	144,	111,1492	8,711331	97,	137,	97,22335	9,689537	80,	121,	22,29543	3,639469	11,	36,	31,7198	7,863214	15,	49,	110,8457	7,927585	99,	134,	130,864	6,62132	111,	143,	143,8508	8,616925	118,	158,	157,7767	7,925558	134,	175,	47,70584	3,188329	42,11318	57,27083	2,632571	0,7977238	-0,2393999	3,133951	9,601001	0,7728434	9,516601	11,91953	
S01	3	7,592	7,705339	3,451	21,783	17,95981	17,91237	5,040432	19,95084	19,98251	10,59435	24,61913	1,923416	2,147059	0,8915706	2,147059	0,01369863	1,286377	0,2669301	0,9734484	68,72593	335,0634	-0,92004	0,86	123,3853	8,488825	104,	147,	-0,1728361	123,4498	120,0625	0,4175438	8,489964	72,07948	0,007158523	3,616776	148,647	73,24339	0,4734174	248,9984	289,3569	4,17467	5,352719	1,512368	1,525	-0,4731426	0,9817089	137,436	9,47139	115,	163,	123,8253	9,10139	103,	147,	108,9423	7,903556	92,	132,	22,27145	3,311633	8,	38,	29,86896	5,824926	6,	44,	123,3853	8,488825	104,	147,	117,564	8,521321	91,99999	140,	131,1747	7,724917	108,	152,	146,0577	7,685911	123,	163,	52,76263	3,055548	44,40174	61,92928	2,636846	0,2552583	2,773766	3,402621	10,02236	0,6966062	7,932542	10,09578	
S01	4	7,384	7,479113	2,9435	20,3445	17,05254	17,0915	4,672291	17,14294	17,13239	10,77411	25,23363	2,130486	2,448276	0,9135042	2,448276	0,01408451	1,349642	0,279176	0,9754165	53,36984	321,6597	5,512673	0,89	107,375	7,373395	95,	150,	9,683175	107,445	106,1875	2,512121	7,372109	54,348	0,01491962	2,50856	182,6102	49,68752	0,5452904	216,5669	196,2415	3,647902	4,606215	1,174337	1,363474	-0,4684493	0,9696689	123,4943	7,416003	108,	162,	107,3741	7,823273	93,	155,	91,29451	7,554787	81,	135,	21,1572	2,608251	10,	33,	38,32765	5,492987	15,	49,	107,375	7,373395	95,	150,	131,5057	12,83523	92,99999	147,	147,6259	15,87532	99,99999	162,	163,7055	14,5685	120,	174,	46,44725	5,870326	40,59095	64,05823	3,631813	0,9026104	-0,9239814	3,972864	11,34865	0,7396281	9,129769	11,40606	
S01	5	7,592	7,605578	3,1465	20,961	17,29464	17,31963	4,771924	17,88186	17,89242	10,31234	26,56536	1,689773	2,354839	0,9066197	2,354839	0,01369863	1,330871	0,275741	0,986217	57,98393	321,1563	13,42785	0,88	103,7183	3,37344	91,	119,	1,128597	103,7853	103,9375	-0,2025094	3,375092	11,39125	0,02544195	1,35687	771,1339	10,7518	0,6430414	209,479	41,65031	3,2216	4,030926	0,6897179	1,127209	-0,4272778	0,9423974	119,8929	3,582562	106,	130,	103,604	3,845124	89,	119,	87,64626	3,72309	77,	109,	20,9676	2,408894	12,	27,	39,53465	4,632923	22,	50,	103,7183	3,37344	91,	119,	135,1071	4,630966	125,	149,	151,396	5,132019	136,	166,	167,3537	7,117915	146,	178,	44,94894	1,933915	39,1472	50,73818	3,76612	0,4451934	2,43054	4,889254	11,38256	1,453075	7,02333	9,527409	
S01	6	8,008	8,058227	2,9435	21,372	17,96961	18,11463	4,826543	18,29355	18,34633	12,75827	30,80542	1,779514	2,655172	0,9291798	2,655172	0,01298701	1,404446	0,2690359	0,9818227	51,16114	374,4599	-0,417296	0,9	107,1865	14,56041	76,	154,	0,08809015	107,2455	100,9375	0,8271297	14,55959	211,9817	0,003108139	8,142992	29,01142	206,0561	0,3211598	215,4252	816,0817	4,539219	6,024095	2,697093	1,843603	-0,4544597	0,9854278	121,9595	13,94897	85,	163,	107,0501	15,59983	72,	157,	92,52155	14,79292	68,	141,	21,03694	4,070232	8,	37,	35,4591	8,289424	16,	59,	107,1865	14,56041	76,	154,	133,0405	13,68016	91,99999	170,	147,9499	16,64996	97,99999	183,	162,4785	16,15949	114,	187,	46,23418	6,196035	31,76904	64,82228	3,37156	0,9075268	-0,6489795	4,745315	10,298	1,956839	4,427481	9,144794	
S01	7	7,072	7,158075	2,9435	19,5225	16,44442	16,49752	4,567544	16,38291	16,31958	9,668348	22,50512	1,579339	2,344828	0,9087661	2,344828	0,01470588	1,313324	0,257743	0,9761004	52,33634	296,3094	12,38054	0,89	103,0438	8,313652	89,	136,	1,718908	103,1147	97,1875	1,122382	8,311753	69,08524	0,00764705	4,767196	119,6219	66,75515	0,4519741	207,5546	262,2534	3,986064	5,279486	2,142453	1,627934	-0,4175239	0,9686726	118,5154	6,991268	106,	146,	103,0199	9,02456	86,	137,	87,58607	9,707978	75,	126,	21,32637	3,548237	11,	38,	38,69154	7,946982	14,	54,	103,0438	8,313652	89,	136,	136,4846	9,161527	109,	149,	151,9801	11,32671	118,	169,	167,4139	12,80465	129,	180,	44,64589	4,307276	38,24812	57,56772	3,518314	0,9610958	1,390677	6,401601	10,97559	1,292361	7,098509	9,502665	
S01	8	7,904	7,93132	3,045	21,372	17,85548	17,82231	4,764877	17,82908	18,00854	11,95177	30,06977	1,902508	2,533333	0,9227229	2,533333	0,01315789	1,422787	0,2882346	0,9845776	53,05639	350,377	-16,08475	0,9	95,85989	13,47732	80,	147,	1,697475	95,91827	84,0625	1,389178	13,47961	181,6999	0,00710759	5,658868	37,78193	173,9214	0,4584925	192,9747	690,0266	4,261387	5,542634	2,696176	1,714907	-0,472272	0,9836203	109,5009	12,72675	92,	161,	95,19048	14,58337	77,	149,	82,89469	13,89114	66,	133,	19,66117	5,056695	6,	52,	35,10073	8,953333	9,	55,	95,85989	13,47732	80,	147,	145,4991	17,16636	93,99999	163,	159,8095	17,93651	106,	178,	172,1053	16,70177	122,	189,	41,41372	6,96513	33,93372	62,3091	3,604436	0,6432288	1,67475	4,354634	9,151702	0,2976109	8,862205	10,04453	
S01	9	6,864	6,943731	2,842	18,906	15,85994	15,91513	4,382813	15,08452	14,98952	8,554703	21,47081	1,562495	2,357143	0,9088331	2,357143	0,01515152	1,326776	0,3339182	0,9766364	47,6536	273,4323	3,677418	0,9	102,135	9,393785	86,	137,	1,507058	102,1928	97,9375	1,303609	9,395709	88,27936	0,006533999	5,31324	86,74538	86,22446	0,4221608	205,6134	339,5846	4,037085	5,395716	2,207145	1,699486	-0,4119673	0,9691048	118,1339	8,400167	104,	150,	101,8562	10,08916	83,	139,	86,42146	10,29035	69,	123,	20,67146	3,211118	12,	36,	39,68142	7,458608	18,	58,	102,135	9,393785	86,	137,	136,8661	10,62205	105,	151,	153,1438	12,38127	116,	172,	168,5785	12,19285	132,	186,	44,25319	4,71406	37,03946	58,39537	3,863876	0,8611779	1,327537	6,44741	11,12058	0,3605238	10,03901	11,49985	
S01	10	7,592	7,60453	2,7405	20,3445	17,1096	17,04604	4,514259	16,0029	16,0029	11,06867	28,47401	1,758917	2,703704	0,9297981	2,703704	0,01369863	1,455483	0,319532	0,9863529	45,68882	328,8337	16,88951	0,89	106,0274	11,56207	86,	148,	0,7382426	106,0943	103,1875	0,9631918	11,56145	133,6671	0,002877721	15,6456	59,94281	125,3447	0,2138789	213,1671	485,7328	4,333896	6,061586	4,438974	2,110839	-0,35498	0,9627627	121,0379	11,15625	100,	166,	105,6084	12,91088	84,	151,	91,42316	11,73839	71,	132,	20,34632	4,769096	6,	38,	35,43895	8,662813	14,	58,	106,0274	11,56207	86,	148,	133,9621	14,98737	88,99999	155,	149,3916	15,13053	104,	171,	163,5768	13,52562	123,	184,	45,71338	5,850624	36,93878	63,26525	3,659299	0,4346571	2,355328	4,370091	10,21011	0,6031653	10,05515	12,01961	
