Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	8,112	8,220028	3,451	22,8105	18,81982	18,81049	5,175956	21,03811	21,33368	12,74977	30,1265	2,617731	2,294118	0,9089658	2,294118	0,01282051	1,339523	0,2579825	0,9749966	68,55862	383,2466	-22,96978	0,89	141,8527	13,8243	102,	166,	0,03007636	141,8475	154,8164	-0,7822135	13,81468	190,8454	0,003864803	8,251366	58,2887	181,5346	0,3406308	287,3333	717,8867	4,51151	5,991787	3,12632	1,87068	-0,4428534	0,983309	158,47	15,68859	118,	183,	145,0118	14,76463	101,	171,	122,0607	11,78049	85,	146,	27,37824	3,284863	16,	47,	35,48779	5,746924	17,	52,	141,8527	13,8243	102,	166,	96,52999	13,49	71,99999	137,	109,9882	14,67061	83,99999	154,	132,9393	12,35356	109,	170,	60,76214	5,598666	43,96614	70,36358	1,174579	0,9735261	0,1747272	4,095157	14,0049	0,8109217	11,57213	14,43854	
S01	2	7,488	7,566967	2,842	20,139	16,85771	16,9487	4,523184	16,06623	16,15068	10,80729	27,60514	1,578628	2,571429	0,9271275	2,571429	0,01388889	1,407372	0,2852818	0,9776704	46,85791	323,0967	19,00382	0,89	134,4275	6,794121	121,	155,	0,1378031	134,4198	129,1445	0,7299895	6,802931	46,27987	0,005854402	6,189732	310,0755	47,36019	0,3154873	271,1004	183,2511	3,902301	5,373211	1,759083	1,665671	-0,3496412	0,9473025	149,6298	6,798489	137,	171,	136,6392	7,367302	121,	159,	117,0709	7,162413	100,	138,	26,03754	2,688302	19,	36,	33,05318	4,979659	16,	46,	134,4275	6,794121	121,	155,	105,3702	7,123398	83,99999	118,	118,3608	7,4536	95,99999	134,	137,9291	6,976372	117,	155,	57,58235	2,796946	51,73894	65,97319	1,558864	0,375844	0,8367633	2,686396	12,27342	0,5040639	12,54153	13,78561	
S01	3	8,528	8,55229	3,451	23,6325	19,485	19,37915	5,207027	21,29145	21,47091	14,27336	35,29621	2,110616	2,411765	0,9250798	2,411765	0,01219512	1,4188	0,2666764	0,9851748	66,77761	421,879	43,21495	0,86	118,0413	6,157834	102,	133,	-0,6238558	118,059	117,1367	0,01277511	6,164222	37,99763	0,01126688	2,096799	286,3159	36,46118	0,5643908	237,9172	143,748	3,822697	4,827106	0,9596875	1,290973	-0,4680433	0,9734665	134,1483	5,120759	119,	147,	118,5948	6,98205	101,	136,	101,3867	7,095176	85,	120,	22,54243	2,846417	14,	33,	36,15351	5,300836	20,	49,	118,0413	6,157834	102,	133,	120,8516	5,049446	108,	136,	136,4052	5,864939	119,	154,	153,6133	6,204427	135,	170,	50,83328	2,255157	44,06781	57,23819	3,104173	0,5878424	1,340646	4,52224	11,67594	0,5318279	10,08046	11,72887	
S01	4	6,76	6,788049	2,5375	18,084	15,19477	15,23416	4,026341	12,73054	12,69887	9,050188	22,87704	1,55437	2,6	0,934159	2,6	0,01538462	1,443003	0,3023827	0,9838983	39,3821	265,4246	-33,81656	0,87	150,483	9,867692	127,	172,	-0,6452116	150,4886	144,8789	0,1011969	9,881213	97,63837	0,004059008	12,84663	165,3419	98,1039	0,218573	303,9141	379,5693	4,223136	5,752797	3,095375	1,926448	-0,409126	0,973716	166,1201	10,26581	143,	187,	154,1328	11,30994	127,	178,	131,1271	8,792639	108,	154,	28,63842	3,985395	18,	38,	32,74294	4,081641	18,	43,	150,483	9,867692	127,	172,	88,87994	7,706686	67,99999	112,	100,8672	9,044255	76,99999	128,	123,8729	7,70904	101,	147,	64,09379	3,319896	54,1341	72,71949	0,5404605	0,7975684	-0,8295404	2,933166	13,67213	0,367931	12,56833	13,42376	
S01	5	7,904	7,999704	3,045	21,5775	17,65086	17,59875	4,571956	16,41458	17,03738	11,25503	31,81732	3,003498	2,533333	0,9317991	2,533333	0,01315789	1,510177	0,2597697	0,9761611	48,47795	349,0453	25,81505	0,84	136,2917	12,80189	110,	160,	-1,181448	136,2949	125,832	0,06151477	12,80238	163,901	0,003868785	7,822349	75,01112	163,4361	0,3125387	275,9005	645,922	4,435965	5,823842	2,51949	1,81336	-0,4627875	0,984886	154,5542	13,21526	126,	179,	139,1583	14,18673	109,	165,	115,2052	11,37634	94,	137,	26,22917	3,002705	17,	34,	39,54271	3,925634	25,	50,	136,2917	12,80189	110,	160,	100,4458	9,518056	75,99999	129,	115,8417	10,05278	89,99999	146,	139,7948	7,264936	118,	161,	58,67527	3,821378	47,21113	68,24123	1,839535	0,7703068	0,5238624	4,150455	14,92565	1,360121	10,84529	16,36818	
S01	6	7,488	7,608607	3,248	21,5775	17,42261	17,29384	4,769107	17,86075	18,33577	9,841238	25,98294	2,640795	2,25	0,9016665	2,25	0,01388889	1,352236	0,291615	0,9723198	60,41604	316,5881	-16,22435	0,86	117,1601	5,3598	107,	135,	-0,161004	117,175	115,0664	0,5955128	5,361946	28,75047	0,01222312	2,537864	423,5112	27,09447	0,5431181	236,0524	105,84	3,664254	4,748721	1,171462	1,382328	-0,4159696	0,9578233	136,0933	4,651822	124,	153,	118,0997	5,875998	106,	137,	97,23788	6,382863	87,	117,	22,97347	2,082976	12,	31,	43,50961	5,634913	18,	54,	117,1601	5,3598	107,	135,	118,9067	5,635559	102,	131,	136,9003	6,300092	118,	149,	157,7621	6,587382	138,	168,	50,79226	2,398459	46,01706	57,98764	3,568295	0,2909645	2,695401	4,001807	14,07001	0,3811356	12,9266	13,31163	
S01	7	6,864	6,936296	2,842	18,906	15,91701	16,00458	4,431615	15,42232	15,38009	9,272755	20,74448	1,87484	2,357143	0,906899	2,357143	0,01515152	1,30707	0,2612852	0,9776832	49,53536	278,7682	-2,94233	0,93	139,6403	9,051022	115,	161,	-0,3117336	139,638	134,1133	-0,2974126	9,054321	81,98073	0,005778131	4,584474	164,4714	80,88698	0,3856574	282,3242	318,9633	4,166176	5,386452	1,493943	1,575438	-0,4681304	0,9812366	155,7173	8,894356	131,	174,	142,1263	9,858457	115,	165,	121,0996	8,934186	99,	144,	26,21199	2,712486	15,	34,	33,96681	4,181391	22,	43,	139,6403	9,051022	115,	161,	99,28265	8,239113	80,99999	124,	112,8737	9,042109	89,99999	140,	133,9004	7,633482	111,	156,	59,71333	3,41075	49,48108	67,9635	1,539243	0,6577137	-0,3333807	3,512384	13,04668	0,6356621	11,1397	12,05523	
S01	8	7,488	7,578635	3,248	20,961	17,52289	17,67546	4,931241	19,0958	19,23303	10,93209	24,14634	2,052902	2,25	0,9027693	2,25	0,01388889	1,279379	0,2737817	0,9761652	62,56851	338,0208	2,73126	0,86	115,6456	9,09822	66,	139,	6,042286	115,6442	113,8242	-1,410308	9,098773	82,78767	0,01309084	2,774892	56,11993	79,00242	0,5563253	233,1316	313,2346	4,006796	4,985742	1,414791	1,404331	-0,5119196	0,9836783	132,799	8,903929	77,	152,	116,1009	9,625358	63,	141,	98,00082	9,454809	58,	129,	22,1493	2,614528	7,	30,	39,13208	6,16719	16,	53,	115,6456	9,09822	66,	139,	122,201	18,59966	103,	178,	138,8991	17,7003	114,	192,	156,9992	13,3336	126,	197,	49,93719	7,329524	27,94862	59,2603	3,46558	0,5604492	1,982253	5,146928	12,38896	2,352631	5,331069	7,870218	
S01	9	7,696	7,689053	3,3495	21,5775	18,0503	18,0509	5,09481	20,38364	20,38364	11,24949	24,97226	1,898563	2,242424	0,8966479	2,242424	0,01351351	1,271784	0,2645049	0,9888734	68,73419	347,4365	-12,11617	0,94	130,1266	8,4378	113,	165,	0,8095045	130,1315	120,0352	0,7233145	8,429921	71,06358	0,005213968	6,236134	187,8001	68,33978	0,3855553	262,1712	267,1228	4,082011	5,542572	2,47954	1,742199	-0,3809456	0,9624626	147,058	7,074928	134,	176,	131,9337	9,044106	115,	169,	111,3738	9,901074	90,	150,	24,85983	2,85863	16,	34,	37,0324	6,645722	18,	52,	130,1266	8,4378	113,	165,	107,942	9,647328	78,99999	121,	123,0663	12,35544	85,99999	140,	143,6262	12,87541	105,	165,	55,9362	4,465467	49,57846	69,3326	2,296997	0,5071084	-0,7756719	3,439963	13,1973	1,130861	10,70278	16,58988	
S01	10	7,488	7,538597	3,045	20,55	17,30443	17,45362	4,836281	18,36744	18,31466	10,87879	24,89714	1,692272	2,4	0,9094679	2,4	0,01388889	1,297154	0,2324411	0,9813497	58,07198	334,2488	-8,281508	0,91	128,7519	9,879639	102,	150,	-0,4558577	128,7614	127,0742	-0,032607	9,872769	97,47158	0,003700704	9,198911	107,8743	97,30515	0,3509488	259,1626	380,0219	4,30698	5,909605	3,868306	1,927428	-0,3781638	0,9677007	145,903	9,884237	119,	167,	129,9966	10,96572	96,	153,	110,3142	9,814971	87,	136,	23,79571	3,477875	9,	35,	36,62403	6,175076	16,	53,	128,7519	9,879639	102,	150,	109,097	8,967664	87,99999	136,	125,0034	11,33219	102,	159,	144,6858	8,561948	119,	168,	55,27683	4,183357	42,72676	63,97874	2,764297	1,683344	2,269676	7,81433	12,87016	1,407951	8,646311	10,79566	
