Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	8,112	8,082242	3,045	21,783	18,131	18,2117	4,925786	19,05358	18,96913	12,55498	31,51997	1,651942	2,6	0,9216008	2,6	0,01282051	1,372755	0,2798628	0,9916183	56,61239	370,1944	15,16454	0,93	118,23	5,32441	98,	136,	2,501293	118,2441	119,9453	-1,090708	5,334755	28,45962	0,0234607	1,840849	345,2306	27,89726	0,6467923	238,4297	109,7482	3,562904	4,308946	1,093106	1,173213	-0,5199541	0,9754826	134,2342	5,652679	110,	150,	120,0775	5,763494	96,	137,	100,3158	5,397459	85,	122,	24,985	2,576772	15,	32,	38,64667	4,794273	25,	49,	118,23	5,32441	98,	136,	120,7658	8,078056	105,	145,	134,9225	8,025838	118,	159,	154,6842	7,228058	133,	170,	51,22733	3,160381	41,74619	57,82811	2,119527	0,5192031	2,289115	3,677136	12,85153	1,50185	8,345981	9,80808	1	0,0000574345	0,001094333
S01	2	8,216001	8,346989	3,3495	22,605	19,02444	19,01737	5,216054	21,36535	21,38646	13,00667	30,75687	1,887024	2,393939	0,912681	2,393939	0,01265823	1,347844	0,2728187	0,9724764	67,37702	394,149	20,86732	0,94	111,9791	7,521699	80,	129,	2,742175	111,9929	113,1953	-1,032577	7,532393	56,73694	0,01194129	3,025797	116,4122	55,44047	0,5619239	225,8968	218,7359	3,928495	4,975572	1,614063	1,440929	-0,4791533	0,9780123	127,8834	8,952436	88,	144,	112,8337	8,088982	76,	132,	95,2347	6,832002	73,	113,	23,09719	3,232739	2,	38,	38,07199	7,23506	15,	51,	111,9791	7,521699	80,	129,	127,1166	13,29446	111,	167,	142,1663	12,2779	123,	179,	159,7653	7,41156	142,	182,	48,49083	5,029383	33,40268	55,70943	2,889705	0,5374604	1,277324	4,445678	11,92887	2,768705	3,622751	11,90526	1	0,0000574345	0,001227109
S01	3	8,32	8,294749	3,5525	23,2215	19,20947	19,17025	5,382208	22,74818	22,71651	12,3209	30,23041	1,894466	2,285714	0,8976677	2,285714	0,0125	1,290655	0,2496397	0,9909884	75,78219	389,6335	5,574604	0,94	123,3497	10,24633	103,	150,	-0,6333765	123,3565	116,1484	0,3300469	10,24254	104,9096	0,003208693	9,334962	104,3402	102,6157	0,300611	248,4487	401,1281	4,312141	5,94219	3,013229	1,899822	-0,3726139	0,9665393	138,2001	8,976138	121,	163,	124,6184	10,94326	105,	153,	107,2287	11,85819	83,	137,	24,41755	3,555389	16,	40,	33,75931	8,223234	13,	52,	123,3497	10,24633	103,	150,	116,7999	8,266624	91,99999	134,	130,3816	9,460548	102,	150,	147,7713	9,923759	118,	172,	53,01237	3,546453	45,34886	63,65173	2,218449	0,4436527	0,8874905	2,718583	11,37927	1,113449	9,722713	14,71961	1	0,0000574345	0,001306531
S01	4	7,696	7,758637	3,248	21,372	17,85548	17,82895	4,910753	18,93746	18,97969	11,42465	26,37221	1,908948	2,3125	0,9107242	2,3125	0,01351351	1,339513	0,2829278	0,9800046	61,76171	344,7268	26,85819	0,94	127,3353	10,10023	103,	154,	-0,2756037	127,3387	127,9609	0,1075266	10,09452	101,8993	0,006144142	3,28433	103,9575	103,0269	0,518417	257,0696	408,8235	4,329694	5,467347	1,566293	1,474507	-0,5101596	0,9881032	143,3577	8,976927	121,	168,	129,1414	10,67939	104,	159,	109,5233	11,24676	84,	139,	25,06156	2,716418	18,	33,	36,05824	6,813908	20,	51,	127,3353	10,10023	103,	154,	111,6423	8,214086	86,99999	134,	125,8586	9,952858	95,99999	151,	145,4767	9,825574	116,	171,	54,78779	3,649779	45,0893	65,73713	2,094738	0,6445597	-0,1610585	3,453771	12,60727	0,3874032	11,61558	13,76948	1	0,0000574345	0,001087664
S01	5	8,112	8,124058	3,248	22,194	18,52066	18,52718	5,069684	20,18307	20,25696	12,36547	30,19753	2,064144	2,4375	0,9130309	2,4375	0,01282051	1,352232	0,2725139	0,9865144	62,46758	374,2483	-7,353942	0,94	123,7769	8,093879	106,	142,	-0,8687555	123,784	117,8359	0,2587917	8,094935	65,52798	0,006539594	3,552826	174,1347	64,88721	0,4843787	250,0491	255,9959	4,081045	5,298479	1,582263	1,496202	-0,447876	0,9762224	139,6832	8,912829	120,	160,	125,9528	9,063356	107,	147,	105,7692	7,249159	91,	129,	25,59876	2,987727	14,	37,	37,12781	5,614653	19,	50,	123,7769	8,093879	106,	142,	115,3168	6,77227	94,99999	135,	129,0472	7,015749	108,	148,	149,2308	7,743609	126,	164,	53,48532	2,701667	45,9934	61,59032	1,833153	0,1679279	1,752949	2,336936	12,906	0,6888987	10,83931	11,27177	1	0,0000574345	0,001159205
S01	6	7,836033	7,898283	3,5525	22,194	18,23534	18,21758	5,13816	20,73199	20,7531	10,57449	26,93887	1,561504	2,152756	0,8926873	2,142857	0,01327202	1,276182	0,2644415	0,980194	73,40202	344,353	28,06519	0,94	120,3552	11,38299	88,	148,	-0,5276982	120,3656	113,1953	0,03118554	11,38751	129,6753	0,002707987	14,71888	60,37456	130,3024	0,2686813	242,6046	506,4912	4,439799	6,167614	5,286231	2,134758	-0,3724	0,9698105	134,9754	9,723921	104,	158,	121,6113	12,43138	82,	152,	104,478	12,74758	73,	137,	24,40953	4,300753	8,	39,	34,14445	8,110103	10,	58,	120,3552	11,38299	88,	148,	120,0246	10,32514	96,99999	151,	133,3887	13,20377	103,	173,	150,522	10,84066	118,	182,	51,81672	4,987965	36,85283	62,95395	2,192122	1,825068	-0,4768577	7,667327	11,25904	0,8622837	8,672194	8,757848	1	0,0000574345	0,001190732
S01	7	8,112	8,154087	3,451	22,605	18,73912	18,72999	5,210898	21,32312	21,33368	11,73544	29,36782	1,943834	2,294118	0,9015931	2,294118	0,01282051	1,310308	0,2848716	0,9828813	69,88818	372,1461	7,957078	0,94	122,8665	8,73561	104,	148,	-0,523237	122,8653	125,0078	0,06263365	8,726894	76,15868	0,003496988	9,458619	144,1058	75,54752	0,2916866	247,3173	292,7315	4,187238	5,863009	3,168691	1,907747	-0,3412862	0,954161	138,1241	6,701055	116,	157,	124,2973	9,619179	100,	152,	106,1934	10,77687	82,	137,	24,69986	3,911643	10,	48,	35,04546	8,392605	13,	58,	122,8665	8,73561	104,	148,	116,8759	7,374697	97,99999	139,	130,7027	9,23425	103,	155,	148,8066	10,26888	118,	173,	52,893	3,32552	43,41378	62,86956	2,208122	0,4499046	-0,8584077	3,374918	11,81184	1,090442	8,540515	12,57648	1	0,0000574345	0,001224683
S01	8	7,904	7,969466	3,248	21,783	18,07394	18,09023	4,973313	19,42304	19,40193	11,79226	28,46394	1,793935	2,375	0,9092653	2,375	0,01315789	1,338179	0,268537	0,9798649	61,33234	353,1815	-6,076953	0,9	130,0016	9,287756	107,	151,	-0,004747944	130,0043	130,0703	-0,5076875	9,294005	86,37854	0,006193269	2,904965	132,1499	87,2862	0,4583301	262,5009	346,2397	4,188971	5,33658	0,9978236	1,380505	-0,4881705	0,9839404	147,722	9,077526	124,	167,	131,8185	9,949411	106,	154,	110,4562	9,306469	90,	131,	24,61264	2,283193	17,	30,	38,4919	4,886909	27,	51,	130,0016	9,287756	107,	151,	107,278	7,907349	87,99999	131,	123,1815	8,60616	101,	149,	144,5438	6,847923	124,	165,	55,94645	3,287243	46,08472	64,13287	2,492536	0,6536648	0,9384096	4,453531	13,74684	0,7084716	11,62143	13,80924	1	0,0000574345	0,001115553
S01	9	8,736	8,723191	3,3495	23,6325	19,65619	19,8203	5,426978	23,1282	23,00152	14,05227	35,466	1,975472	2,545455	0,9165323	2,545455	0,01190476	1,329176	0,2596167	0,9894314	69,89962	436,0371	6,821577	0,95	117,6291	7,232769	99,	140,	-0,4416139	117,6432	113,1953	0,2716252	7,234428	52,33696	0,004827111	6,891109	190,1675	51,79299	0,3399625	236,8594	200,2807	4,015152	5,565085	2,446597	1,761716	-0,3395849	0,9472809	133,9882	5,853072	115,	154,	118,5033	8,139642	95,	145,	100,3938	8,589393	83,	128,	23,17693	3,224073	8,	34,	37,64024	6,998853	15,	54,	117,6291	7,232769	99,	140,	121,0118	6,670603	101,	140,	136,4967	8,832248	110,	160,	154,6062	9,20206	127,	172,	50,76997	3,242537	41,92844	60,49758	2,936964	1,049696	0,359509	6,086052	12,16571	0,7578452	9,892173	10,2191	1	0,0000574345	0,001328357
S01	10	8,008	8,056829	3,451	22,605	18,73912	18,68526	5,258405	21,71369	21,74536	11,94955	27,38223	1,741013	2,264706	0,8982733	2,264706	0,01298701	1,286739	0,2466065	0,981993	72,17717	372,8953	6,532334	0,92	117,5895	9,416426	95,	146,	-0,2893407	117,5991	125,8516	0,2235456	9,418882	88,71534	0,003325384	10,94248	109,3971	83,2084	0,2973171	236,2685	321,8911	4,244844	5,958487	3,972255	1,995095	-0,3417444	0,9561486	133,334	7,863345	113,	156,	118,4772	10,39301	92,	150,	100,9621	10,5993	76,	133,	23,37193	3,65407	11,	39,	36,44702	6,904877	14,	58,	117,5895	9,416426	95,	146,	121,666	7,555328	98,99999	142,	136,5228	10,50761	105,	163,	154,0379	10,6793	122,	179,	50,71313	3,811096	40,71395	62,14642	2,770182	1,066352	-0,8112063	5,969239	11,74479	0,6637767	9,753463	12,42693	1	0,0000574345	0,001247115
