;BAC;Fin;gen;graines;boite;grain;RANG;boite;rangOK;Debut;X;Y
1127;4;36;ELAX_94.sp;01:06;3;4;D;3;C;10;7;3
1098;4;54;ELAX_28.sp;01:06;1;4;E;1;E;4;8;3
197;4;96;ELAX_41.sp;07:12;1Bis;1;I;1Bis;H;7;9;3
1225;4;48;ELAX_388.sp;01:06;9;4;E;9;D;10;10;3
1111;4;36;ELAX_68.sp;01:06;2;4;D;2;C;10;11;3
1104;4;90;ELAX_40.sp;01:06;1;4;H;1;H;4;12;3
1135;4;84;ELAX_117.sp;01:06;3;4;H;3;G;10;13;3
1140;4;18;ELAX_124.sp;01:06;4;4;B;4;B;4;14;3
1267;4;12;GQAX_138.sp;01:06;12;4;B;12;A;10;15;3
1198;4;78;ELAX_315.sp;01:06;7;4;G;7;G;4;16;3
1100;4;66;ELAX_31.sp;01:06;1;4;F;1;F;4;1;4
272;4;66;ELAX_244.sp;07:12;6Bis;1;F;6Bis;F;1;2;4
1191;4;36;ELAX_292.sp;01:06;7;4;D;7;C;10;3;4
231;4;12;ELAX_122.sp;07:12;4Bis;1;B;4Bis;A;7;4;4
312;4;18;ELAX_376.sp;07:12;9Bis;1;B;9Bis;B;1;5;4
1095;4;36;GQAX_10.sp;01:06;1;4;D;1;C;10;6;4
1249;4;96;ELAX_462.sp;01:06;10;4;I;10;H;10;7;4
1236;4;18;ELAX_423.sp;01:06;10;4;B;10;B;4;8;4
1130;4;54;ELAX_99.sp;01:06;3;4;E;3;E;4;9;4
1101;4;72;ELAX_35.sp;01:06;1;4;G;1;F;10;10;4
1239;4;36;ELAX_428.sp;01:06;10;4;D;10;C;10;11;4
1226;4;54;ELAX_394.sp;01:06;9;4;E;9;E;4;12;4
1116;4;66;ELAX_74.sp;01:06;2;4;F;2;F;4;13;4
225;4;72;ELAX_104.sp;07:12;3Bis;1;G;3Bis;F;7;14;4
1195;4;60;ELAX_305.sp;01:06;7;4;F;7;E;10;15;4
1222;4;30;ELAX_383.sp;01:06;9;4;C;9;C;4;16;4
1145;4;48;ELAX_146.sp;01:06;4;4;E;4;D;10;1;5
1178;4;54;ELAX_241.sp;01:06;6;4;E;6;E;4;2;5
1109;4;24;ELAX_65.sp;01:06;2;4;C;2;B;10;3;5
1177;4;48;ELAX_240.sp;01:06;6;4;E;6;D;10;4;5
1266;4;6;GQAX_126.sp;01:06;12;4;A;12;A;4;5;5
1257;4;48;ELAX_482.sp;01:06;11;4;E;11;D;10;6;5
1259;4;60;ELAX_485.sp;01:06;11;4;F;11;E;10;7;5
