;BAC;Fin;gen;graines;boite;grain;RANG;boite;Rang OK;Debut;X;Y
888;3;12;ELAX_465.sp;01:06;11;3;B;11;A;9;1;1
762;3;24;GQAX_91.sp;01:06;3;3;C;3;B;9;2;1
871;3;6;ELAX_415.sp;01:06;10;3;A;10;A;3;3;1
842;3;24;ELAX_344.sp;01:06;8;3;C;8;B;9;4;1
336;3;66;ELAX_447.sp;07:12;10Bis;1;F;10Bis;F;1;5;1
856;3;12;ELAX_373.sp;01:06;9;3;B;9;A;9;6;1
821;3;90;ELAX_261.sp;01:06;6;3;H;6;H;3;7;1
796;3;36;ELAX_192.sp;01:06;5;3;D;5;C;9;8;1
763;3;30;ELAX_92.sp;01:06;3;3;C;3;C;3;9;1
884;3;84;ELAX_460.sp;01:06;10;3;H;10;G;9;10;1
881;3;66;ELAX_447.sp;01:06;10;3;F;10;F;3;11;1
335;3;60;ELAX_444.sp;07:12;10Bis;1;F;10Bis;E;7;12;1
734;3;48;ELAX_27.sp;01:06;1;3;E;1;D;9;13;1
737;3;66;ELAX_31.sp;01:06;1;3;F;1;F;3;14;1
874;3;24;ELAX_426.sp;01:06;10;3;C;10;B;9;15;1
849;3;66;ELAX_356.sp;01:06;8;3;F;8;F;3;16;1
784;3;60;ELAX_153.sp;01:06;4;3;F;4;E;9;1;2
750;3;48;ELAX_70.sp;01:06;2;3;E;2;D;9;2;2
323;3;84;ELAX_407.sp;07:12;9Bis;1;H;9Bis;G;7;3;2
857;3;18;ELAX_376.sp;01:06;9;3;B;9;B;3;4;2
876;3;36;ELAX_428.sp;01:06;10;3;D;10;C;9;5;2
906;3;24;GQAX_149.sp;01:06;12;3;C;12;B;9;6;2
811;3;30;ELAX_235.sp;01:06;6;3;C;6;C;3;7;2
895;3;54;ELAX_483.sp;01:06;11;3;E;11;E;3;8;2
873;3;18;ELAX_423.sp;01:06;10;3;B;10;B;3;9;2
832;3;60;ELAX_305.sp;01:06;7;3;F;7;E;9;10;2
838;3;96;ELAX_331.sp;01:06;7;3;I;7;H;9;11;2
809;3;18;ELAX_230.sp;01:06;6;3;B;6;B;3;12;2
827;3;30;ELAX_288.sp;01:06;7;3;C;7;C;3;13;2
772;3;84;ELAX_117.sp;01:06;3;3;H;3;G;9;14;2
843;3;30;ELAX_345.sp;01:06;8;3;C;8;C;3;15;2
901;3;90;GQAX_112.sp;01:06;11;3;H;11;H;3;16;2
783;3;54;ELAX_148.sp;01:06;4;3;E;4;E;3;1;3
797;3;42;ELAX_194.sp;01:06;5;3;D;5;D;3;2;3
845;3;42;ELAX_348.sp;01:06;8;3;D;8;D;3;3;3
822;3;96;ELAX_262.sp;01:06;6;3;I;6;H;9;4;3
731;3;30;ELAX_9.sp;01:06;1;3;C;1;C;3;5;3
858;3;24;ELAX_377.sp;01:06;9;3;C;9;B;9;6;3
246;3;6;ELAX_184.sp;07:12;5Bis;1;A;5Bis;A;1;7;3
778;3;24;ELAX_130.sp;01:06;4;3;C;4;B;9;8;3
237;3;48;ELAX_146.sp;07:12;4Bis;1;E;4Bis;D;7;9;3
743;3;6;ELAX_49.sp;01:06;2;3;A;2;A;3;10;3
817;3;66;ELAX_244.sp;01:06;6;3;F;6;F;3;11;3
357;3;96;GQAX_116.sp;07:12;11Bis;1;I;11Bis;H;7;12;3
879;3;54;ELAX_441.sp;01:06;10;3;E;10;E;3;13;3
869;3;90;ELAX_410.sp;01:06;9;3;H;9;H;3;14;3
816;3;60;ELAX_243.sp;01:06;6;3;F;6;E;9;15;3
877;3;42;ELAX_435.sp;01:06;10;3;D;10;D;3;16;3
756;3;84;ELAX_143.sp;01:06;2;3;H;2;G;9;1;4
798;3;48;ELAX_195.sp;01:06;5;3;E;5;D;9;2;4
