;BAC;Fin;gen;graines;boite;grain;RANG;boite;Rang OK;Debut;X;Y
887;3;6;ELAX_464.sp;01:06;11;3;A;11;A;3;3;4
741;3;90;ELAX_40.sp;01:06;1;3;H;1;H;3;4;4
903;3;6;GQAX_126.sp;01:06;12;3;A;12;A;3;5;4
768;3;60;ELAX_100.sp;01:06;3;3;F;3;E;9;6;4
754;3;72;GQAX_75.sp;01:06;2;3;G;2;F;9;7;4
751;3;54;ELAX_72.sp;01:06;2;3;E;2;E;3;8;4
786;3;72;GQAX_166.sp;01:06;4;3;G;4;F;9;9;4
352;3;66;ELAX_486.sp;07:12;11Bis;1;F;11Bis;F;1;10;4
265;3;24;ELAX_233.sp;07:12;6Bis;1;C;6Bis;B;7;11;4
823;3;6;ELAX_265.sp;01:06;7;3;A;7;A;3;12;4
844;3;36;ELAX_346.sp;01:06;8;3;D;8;C;9;13;4
790;3;96;ELAX_182.sp;01:06;4;3;I;4;H;9;14;4
814;3;48;ELAX_240.sp;01:06;6;3;E;6;D;9;15;4
773;3;90;ELAX_118.sp;01:06;3;3;H;3;H;3;16;4
799;3;54;ELAX_197.sp;01:06;5;3;E;5;E;3;1;5
746;3;24;ELAX_65.sp;01:06;2;3;C;2;B;9;2;5
801;3;66;ELAX_199.sp;01:06;5;3;F;5;F;3;3;5
288;3;66;ELAX_309.sp;07:12;7Bis;1;F;7Bis;F;1;4;5
781;3;42;ELAX_145.sp;01:06;4;3;D;4;D;3;5;5
882;3;72;ELAX_451.sp;01:06;10;3;G;10;F;9;6;5
841;3;18;ELAX_341.sp;01:06;8;3;B;8;B;3;7;5
892;3;36;ELAX_476.sp;01:06;11;3;D;11;C;9;8;5
222;3;54;ELAX_99.sp;07:12;3Bis;1;E;3Bis;E;1;9;5
755;3;78;GQAX_76.sp;01:06;2;3;G;2;G;3;10;5
787;3;78;GQAX_175.sp;01:06;4;3;G;4;G;3;11;5
779;3;30;ELAX_131.sp;01:06;4;3;C;4;C;3;12;5
358;3;54;GQAX_126.sp;07:12;12Bis;1;E;12Bis;E;1;13;5
847;3;54;ELAX_352.sp;01:06;8;3;E;8;E;3;14;5
742;3;96;ELAX_41.sp;01:06;1;3;I;1;H;9;15;5
255;3;60;ELAX_198.sp;07:12;5Bis;1;F;5Bis;E;7;16;5
820;3;84;ELAX_252.sp;01:06;6;3;H;6;G;9;1;6
789;3;90;ELAX_179.sp;01:06;4;3;H;4;H;3;2;6
893;3;42;ELAX_480.sp;01:06;11;3;D;11;D;3;3;6
233;3;24;ELAX_130.sp;07:12;4Bis;1;C;4Bis;B;7;4;6
840;3;12;ELAX_336.sp;01:06;8;3;B;8;A;9;5;6
218;3;30;ELAX_92.sp;07:12;3Bis;1;C;3Bis;C;1;6;6
813;3;42;ELAX_239.sp;01:06;6;3;D;6;D;3;7;6
805;3;90;ELAX_212.sp;01:06;5;3;H;5;H;3;8;6
749;3;42;ELAX_69.sp;01:06;2;3;D;2;D;3;9;6
904;3;12;GQAX_138.sp;01:06;12;3;B;12;A;9;10;6
795;3;30;GQAX_189.sp;01:06;5;3;C;5;C;3;11;6
839;3;6;ELAX_335.sp;01:06;8;3;A;8;A;3;12;6
831;3;54;ELAX_303.sp;01:06;7;3;E;7;E;3;13;6
204;3;42;ELAX_69.sp;07:12;2Bis;1;D;2Bis;D;1;14;6
837;3;90;ELAX_329.sp;01:06;7;3;H;7;H;3;15;6
830;3;48;ELAX_298.sp;01:06;7;3;E;7;D;9;16;6
833;3;66;ELAX_309.sp;01:06;7;3;F;7;F;3;1;7
905;3;18;GQAX_139.sp;01:06;12;3;B;12;B;3;2;7
738;3;72;ELAX_35.sp;01:06;1;3;G;1;F;9;3;7
828;3;36;ELAX_292.sp;01:06;7;3;D;7;C;9;4;7
776;3;12;ELAX_122.sp;01:06;4;3;B;4;A;9;5;7
880;3;60;ELAX_444.sp;01:06;10;3;F;10;E;9;6;7
889;3;18;ELAX_469.sp;01:06;11;3;B;11;B;3;7;7
227;3;84;ELAX_117.sp;07:12;3Bis;1;H;3Bis;G;7;8;7
761;3;18;ELAX_89.sp;01:06;3;3;B;3;B;3;9;7
295;3;12;ELAX_336.sp;07:12;8Bis;1;B;8Bis;A;7;10;7
748;3;36;ELAX_68.sp;01:06;2;3;D;2;C;9;11;7
848;3;60;ELAX_353.sp;01:06;8;3;F;8;E;9;12;7
860;3;36;ELAX_385.sp;01:06;9;3;D;9;C;9;13;7
902;3;96;GQAX_116.sp;01:06;11;3;I;11;H;9;14;7
736;3;60;ELAX_29.sp;01:06;1;3;F;1;E;9;15;7
216;3;18;ELAX_89.sp;07:12;3Bis;1;B;3Bis;B;1;16;7
309;3;96;ELAX_371.sp;07:12;8Bis;1;I;8Bis;H;7;1;8
802;3;72;ELAX_201.sp;01:06;5;3;G;5;F;9;2;8
867;3;78;ELAX_402.sp;01:06;9;3;G;9;G;3;3;8
825;3;18;ELAX_278.sp;01:06;7;3;B;7;B;3;4;8
865;3;66;ELAX_399.sp;01:06;9;3;F;9;F;3;5;8
752;3;60;ELAX_73.sp;01:06;2;3;F;2;E;9;6;8
863;3;54;ELAX_394.sp;01:06;9;3;E;9;E;3;7;8
891;3;30;ELAX_474.sp;01:06;11;3;C;11;C;3;8;8
252;3;42;ELAX_194.sp;07:12;5Bis;1;D;5Bis;D;1;9;8
767;3;54;ELAX_99.sp;01:06;3;3;E;3;E;3;10;8
854;3;96;ELAX_371.sp;01:06;8;3;I;8;H;9;11;8
855;3;6;ELAX_372.sp;01:06;9;3;A;9;A;3;12;8
824;3;12;ELAX_268.sp;01:06;7;3;B;7;A;9;13;8
807;3;6;ELAX_227.sp;01:06;6;3;A;6;A;3;14;8
900;3;84;ELAX_504.sp;01:06;11;3;H;11;G;9;15;8
740;3;84;ELAX_13.sp;01:06;1;3;H;1;G;9;16;8
283;3;36;ELAX_292.sp;07:12;7Bis;1;D;7Bis;C;7;1;9
806;3;96;ELAX_222.sp;01:06;5;3;I;5;H;9;2;9
804;3;84;ELAX_207.sp;01:06;5;3;H;5;G;9;3;9
238;3;54;ELAX_148.sp;07:12;4Bis;1;E;4Bis;E;1;4;9
326;3;6;ELAX_415.sp;07:12;10Bis;1;A;10Bis;A;1;5;9
897;3;66;ELAX_486.sp;01:06;11;3;F;11;F;3;6;9
870;3;96;ELAX_412.sp;01:06;9;3;I;9;H;9;7;9
785;3;66;ELAX_165.sp;01:06;4;3;F;4;F;3;8;9
733;3;42;ELAX_16.sp;01:06;1;3;D;1;D;3;9;9
886;3;96;ELAX_462.sp;01:06;10;3;I;10;H;9;10;9
759;3;6;GQAX_83.sp;01:06;3;3;A;3;A;3;11;9
835;3;78;ELAX_315.sp;01:06;7;3;G;7;G;3;12;9
803;3;78;ELAX_202.sp;01:06;5;3;G;5;G;3;13;9
771;3;78;ELAX_114.sp;01:06;3;3;G;3;G;3;14;9
780;3;36;GQAX_140.sp;01:06;4;3;D;4;C;9;15;9
859;3;30;ELAX_383.sp;01:06;9;3;C;9;C;3;16;9
775;3;6;ELAX_120.sp;01:06;4;3;A;4;A;3;1;10
770;3;72;ELAX_104.sp;01:06;3;3;G;3;F;9;2;10
885;3;90;ELAX_461.sp;01:06;10;3;H;10;H;3;3;10
782;3;48;ELAX_146.sp;01:06;4;3;E;4;D;9;4;10
791;3;6;ELAX_184.sp;01:06;5;3;A;5;A;3;5;10
727;3;6;ELAX_3.sp;01:06;1;3;A;1;A;3;6;10
766;3;48;ELAX_96.sp;01:06;3;3;E;3;D;9;7;10
899;3;78;ELAX_489.sp;01:06;11;3;G;11;G;3;8;10
894;3;48;ELAX_482.sp;01:06;11;3;E;11;D;9;9;10
757;3;90;ELAX_77.sp;01:06;2;3;H;2;H;3;10;10
362;3;96;ELAX_453;07:12;12Bis;1;I;12Bis;H;7;11;10
793;3;18;ELAX_187.sp;01:06;5;3;B;5;B;3;12;10
765;3;42;GQAX_95.sp;01:06;3;3;D;3;D;3;13;10
792;3;12;ELAX_185.sp;01:06;5;3;B;5;A;9;14;10
861;3;42;ELAX_387.sp;01:06;9;3;D;9;D;3;15;10
788;3;84;ELAX_176.sp;01:06;4;3;H;4;G;9;16;10
829;3;42;ELAX_295.sp;01:06;7;3;D;7;D;3;1;11
732;3;36;GQAX_10.sp;01:06;1;3;D;1;C;9;2;11
747;3;30;GQAX_67.sp;01:06;2;3;C;2;C;3;3;11
896;3;60;ELAX_485.sp;01:06;11;3;F;11;E;9;4;11
730;3;24;ELAX_6.sp;01:06;1;3;C;1;B;9;5;11
729;3;18;GQAX_5.sp;01:06;1;3;B;1;B;3;6;11
834;3;72;ELAX_311.sp;01:06;7;3;G;7;F;9;7;11
818;3;72;ELAX_250.sp;01:06;6;3;G;6;F;9;8;11
850;3;72;ELAX_366.sp;01:06;8;3;G;8;F;9;9;11
810;3;24;ELAX_233.sp;01:06;6;3;C;6;B;9;10;11
846;3;48;ELAX_350.sp;01:06;8;3;E;8;D;9;11;11
878;3;48;ELAX_436.sp;01:06;10;3;E;10;D;9;12;11
800;3;60;ELAX_198.sp;01:06;5;3;F;5;E;9;13;11
862;3;48;ELAX_388.sp;01:06;9;3;E;9;D;9;14;11
866;3;72;ELAX_401.sp;01:06;9;3;G;9;F;9;15;11
868;3;84;ELAX_407.sp;01:06;9;3;H;9;G;9;16;11
890;3;24;ELAX_470.sp;01:06;11;3;C;11;B;9;1;12
853;3;90;ELAX_370.sp;01:06;8;3;H;8;H;3;2;12
764;3;36;ELAX_94.sp;01:06;3;3;D;3;C;9;3;12
735;3;54;ELAX_28.sp;01:06;1;3;E;1;E;3;4;12
875;3;30;ELAX_427.sp;01:06;10;3;C;10;C;3;5;12
864;3;60;ELAX_395.sp;01:06;9;3;F;9;E;9;6;12
774;3;96;GQAX_119.sp;01:06;3;3;I;3;H;9;7;12
758;3;96;GQAX_82.sp;01:06;2;3;I;2;H;9;8;12
898;3;72;ELAX_488.sp;01:06;11;3;G;11;F;9;9;12
907;3;48;ELAX_453;01:06;12;3;E;12;D;9;10;12
744;3;12;ELAX_51.sp;01:06;2;3;B;2;A;9;11;12
769;3;66;ELAX_101.sp;01:06;3;3;F;3;F;3;12;12
760;3;12;ELAX_85.sp;01:06;3;3;B;3;A;9;13;12
819;3;78;ELAX_251.sp;01:06;6;3;G;6;G;3;14;12
852;3;84;ELAX_368.sp;01:06;8;3;H;8;G;9;15;12
739;3;78;ELAX_38.sp;01:06;1;3;G;1;G;3;16;12
305;3;72;ELAX_366.sp;07:12;8Bis;1;G;8Bis;F;7;1;13
883;3;78;ELAX_459.sp;01:06;10;3;G;10;G;3;2;13
753;3;66;ELAX_74.sp;01:06;2;3;F;2;F;3;3;13
728;3;12;GQAX_4.sp;01:06;1;3;B;1;A;9;4;13
745;3;18;ELAX_59.sp;01:06;2;3;B;2;B;3;5;13
277;3;96;ELAX_262.sp;07:12;6Bis;1;I;6Bis;H;7;6;13
794;3;24;ELAX_188.sp;01:06;5;3;C;5;B;9;7;13
851;3;78;ELAX_367.sp;01:06;8;3;G;8;G;3;8;13
836;3;84;ELAX_316.sp;01:06;7;3;H;7;G;9;9;13
826;3;24;ELAX_279.sp;01:06;7;3;C;7;B;9;10;13
812;3;36;ELAX_237.sp;01:06;6;3;D;6;C;9;11;13
242;3;78;GQAX_175.sp;07:12;4Bis;1;G;4Bis;G;1;12;13
815;3;54;ELAX_241.sp;01:06;6;3;E;6;E;3;13;13
872;3;12;ELAX_416.sp;01:06;10;3;B;10;A;9;14;13
777;3;18;ELAX_124.sp;01:06;4;3;B;4;B;3;15;13
808;3;12;ELAX_229.sp;01:06;6;3;B;6;A;9;16;13
