;BAC;Fin;gen;graines;boite;grain;RANG;boite;rang ok;Debut;X;Y
1952;6;54;ELAX_394.sp;01:06;9;6;E;9;E;6;10;3
1878;6;90;ELAX_179.sp;01:06;4;6;H;4;H;6;11;3
1851;6;24;GQAX_91.sp;01:06;3;6;C;3;B;12;12;3
1954;6;66;ELAX_399.sp;01:06;9;6;F;9;F;6;13;3
1959;6;96;ELAX_412.sp;01:06;9;6;I;9;H;12;14;3
1944;6;6;ELAX_372.sp;01:06;9;6;A;9;A;6;15;3
1930;6;18;ELAX_341.sp;01:06;8;6;B;8;B;6;16;3
1993;6;12;GQAX_138.sp;01:06;12;6;B;12;A;12;1;4
1898;6;18;ELAX_230.sp;01:06;6;6;B;6;B;6;2;4
1936;6;54;ELAX_352.sp;01:06;8;6;E;8;E;6;3;4
269;6;48;ELAX_240.sp;07:12;6Bis;1;E;6Bis;D;7;4;4
1872;6;54;ELAX_148.sp;01:06;4;6;E;4;E;6;5;4
213;6;96;GQAX_82.sp;07:12;2Bis;1;I;2Bis;H;7;6;4
1825;6;60;ELAX_29.sp;01:06;1;6;F;1;E;12;7;4
1912;6;6;ELAX_265.sp;01:06;7;6;A;7;A;6;8;4
1976;6;6;ELAX_464.sp;01:06;11;6;A;11;A;6;9;4
1963;6;24;ELAX_426.sp;01:06;10;6;C;10;B;12;10;4
1888;6;54;ELAX_197.sp;01:06;5;6;E;5;E;6;11;4
343;6;12;ELAX_465.sp;07:12;11Bis;1;B;11Bis;A;7;12;4
1819;6;24;ELAX_6.sp;01:06;1;6;C;1;B;12;13;4
1849;6;12;ELAX_85.sp;01:06;3;6;B;3;A;12;14;4
306;6;78;ELAX_367.sp;07:12;8Bis;1;G;8Bis;G;1;15;4
1945;6;12;ELAX_373.sp;01:06;9;6;B;9;A;12;16;4
1965;6;36;ELAX_428.sp;01:06;10;6;D;10;C;12;1;5
1855;6;48;ELAX_96.sp;01:06;3;6;E;3;D;12;2;5
1907;6;72;ELAX_250.sp;01:06;6;6;G;6;F;12;3;5
260;6;90;ELAX_212.sp;07:12;5Bis;1;H;5Bis;H;1;4;5
198;6;6;ELAX_49.sp;07:12;2Bis;1;A;2Bis;A;1;5;5
1866;6;18;ELAX_124.sp;01:06;4;6;B;4;B;6;6;5
1883;6;24;ELAX_188.sp;01:06;5;6;C;5;B;12;7;5
1868;6;30;ELAX_131.sp;01:06;4;6;C;4;C;6;8;5
1983;6;48;ELAX_482.sp;01:06;11;6;E;11;D;12;9;5
1880;6;6;ELAX_184.sp;01:06;5;6;A;5;A;6;10;5
1885;6;36;ELAX_192.sp;01:06;5;6;D;5;C;12;11;5
212;6;90;ELAX_77.sp;07:12;2Bis;1;H;2Bis;H;1;12;5
282;6;30;ELAX_288.sp;07:12;7Bis;1;C;7Bis;C;1;13;5
1816;6;6;ELAX_3.sp;01:06;1;6;A;1;A;6;14;5
1903;6;48;ELAX_240.sp;01:06;6;6;E;6;D;12;15;5
1967;6;48;ELAX_436.sp;01:06;10;6;E;10;D;12;16;5
1846;6;90;ELAX_77.sp;01:06;2;6;H;2;H;6;1;6
1899;6;24;ELAX_233.sp;01:06;6;6;C;6;B;12;2;6
320;6;66;ELAX_399.sp;07:12;9Bis;1;F;9Bis;F;1;3;6
1942;6;90;ELAX_370.sp;01:06;8;6;H;8;H;6;4;6
1886;6;42;ELAX_194.sp;01:06;5;6;D;5;D;6;5;6
268;6;42;ELAX_239.sp;07:12;6Bis;1;D;6Bis;D;1;6;6
1850;6;18;ELAX_89.sp;01:06;3;6;B;3;B;6;7;6
1869;6;36;GQAX_140.sp;01:06;4;6;D;4;C;12;8;6
342;6;6;ELAX_464.sp;07:12;11Bis;1;A;11Bis;A;1;9;6
1826;6;66;ELAX_31.sp;01:06;1;6;F;1;F;6;10;6
1940;6;78;ELAX_367.sp;01:06;8;6;G;8;G;6;11;6
1817;6;12;GQAX_4.sp;01:06;1;6;B;1;A;12;12;6
1992;6;6;GQAX_126.sp;01:06;12;6;A;12;A;6;13;6
1961;6;12;ELAX_416.sp;01:06;10;6;B;10;A;12;14;6
1970;6;66;ELAX_447.sp;01:06;10;6;F;10;F;6;15;6
1957;6;84;ELAX_407.sp;01:06;9;6;H;9;G;12;16;6
1821;6;36;GQAX_10.sp;01:06;1;6;D;1;C;12;1;7
1958;6;90;ELAX_410.sp;01:06;9;6;H;9;H;6;2;7
1943;6;96;ELAX_371.sp;01:06;8;6;I;8;H;12;3;7
1987;6;72;ELAX_488.sp;01:06;11;6;G;11;F;12;4;7
1911;6;96;ELAX_262.sp;01:06;6;6;I;6;H;12;5;7
1974;6;90;ELAX_461.sp;01:06;10;6;H;10;H;6;6;7
356;6;90;GQAX_112.sp;07:12;11Bis;1;H;11Bis;H;1;7;7
1852;6;30;ELAX_92.sp;01:06;3;6;C;3;C;6;8;7
1978;6;18;ELAX_469.sp;01:06;11;6;B;11;B;6;9;7
1833;6;12;ELAX_51.sp;01:06;2;6;B;2;A;12;10;7
1953;6;60;ELAX_395.sp;01:06;9;6;F;9;E;12;11;7
1932;6;30;ELAX_345.sp;01:06;8;6;C;8;C;6;12;7
1839;6;48;ELAX_70.sp;01:06;2;6;E;2;D;12;13;7
1941;6;84;ELAX_368.sp;01:06;8;6;H;8;G;12;14;7
1879;6;96;ELAX_182.sp;01:06;4;6;I;4;H;12;15;7
1828;6;78;ELAX_38.sp;01:06;1;6;G;1;G;6;16;7
1923;6;72;ELAX_311.sp;01:06;7;6;G;7;F;12;1;8
1934;6;42;ELAX_348.sp;01:06;8;6;D;8;D;6;2;8
1905;6;60;ELAX_243.sp;01:06;6;6;F;6;E;12;3;8
1820;6;30;ELAX_9.sp;01:06;1;6;C;1;C;6;4;8
1989;6;84;ELAX_504.sp;01:06;11;6;H;11;G;12;5;8
1948;6;30;ELAX_383.sp;01:06;9;6;C;9;C;6;6;8
1864;6;6;ELAX_120.sp;01:06;4;6;A;4;A;6;7;8
1871;6;48;ELAX_146.sp;01:06;4;6;E;4;D;12;8;8
