;BAC;Fin;gen;graines;boite;grain;RANG;boite;Rang OK;Debut;X;Y
1544;5;72;ELAX_250.sp;01:06;6;5;G;6;F;11;1;1
1600;5;24;ELAX_426.sp;01:06;10;5;C;10;B;11;2;1
196;5;90;ELAX_40.sp;07:12;1Bis;1;H;1Bis;H;1;3;1
1522;5;36;ELAX_192.sp;01:06;5;5;D;5;C;11;4;1
1478;5;60;ELAX_73.sp;01:06;2;5;F;2;E;11;5;1
1470;5;12;ELAX_51.sp;01:06;2;5;B;2;A;11;6;1
210;5;78;GQAX_76.sp;07:12;2Bis;1;G;2Bis;G;1;7;1
226;5;78;ELAX_114.sp;07:12;3Bis;1;G;3Bis;G;1;8;1
1525;5;54;ELAX_197.sp;01:06;5;5;E;5;E;5;9;1
346;5;30;ELAX_474.sp;07:12;11Bis;1;C;11Bis;C;1;10;1
1631;5;18;GQAX_139.sp;01:06;12;5;B;12;B;5;11;1
1586;5;36;ELAX_385.sp;01:06;9;5;D;9;C;11;12;1
1507;5;42;ELAX_145.sp;01:06;4;5;D;4;D;5;13;1
1457;5;30;ELAX_9.sp;01:06;1;5;C;1;C;5;14;1
1613;5;6;ELAX_464.sp;01:06;11;5;A;11;A;5;15;1
1591;5;66;ELAX_399.sp;01:06;9;5;F;9;F;5;16;1
294;5;6;ELAX_335.sp;07:12;8Bis;1;A;8Bis;A;1;1;2
1474;5;36;ELAX_68.sp;01:06;2;5;D;2;C;11;2;2
1530;5;84;ELAX_207.sp;01:06;5;5;H;5;G;11;3;2
1592;5;72;ELAX_401.sp;01:06;9;5;G;9;F;11;4;2
1629;5;6;GQAX_126.sp;01:06;12;5;A;12;A;5;5;2
1511;5;66;ELAX_165.sp;01:06;4;5;F;4;F;5;6;2
1526;5;60;ELAX_198.sp;01:06;5;5;F;5;E;11;7;2
1542;5;60;ELAX_243.sp;01:06;6;5;F;6;E;11;8;2
1618;5;36;ELAX_476.sp;01:06;11;5;D;11;C;11;9;2
1562;5;84;ELAX_316.sp;01:06;7;5;H;7;G;11;10;2
1519;5;18;ELAX_187.sp;01:06;5;5;B;5;B;5;11;2
289;5;72;ELAX_311.sp;07:12;7Bis;1;G;7Bis;F;7;12;2
1486;5;12;ELAX_85.sp;01:06;3;5;B;3;A;11;13;2
1471;5;18;ELAX_59.sp;01:06;2;5;B;2;B;5;14;2
1560;5;72;ELAX_311.sp;01:06;7;5;G;7;F;11;15;2
1545;5;78;ELAX_251.sp;01:06;6;5;G;6;G;5;16;2
347;5;36;ELAX_476.sp;07:12;11Bis;1;D;11Bis;C;7;1;3
1469;5;6;ELAX_49.sp;01:06;2;5;A;2;A;5;2;3
1577;5;78;ELAX_367.sp;01:06;8;5;G;8;G;5;3;3
1513;5;78;GQAX_175.sp;01:06;4;5;G;4;G;5;4;3
1593;5;78;ELAX_402.sp;01:06;9;5;G;9;G;5;5;3
1620;5;48;ELAX_482.sp;01:06;11;5;E;11;D;11;6;3
1473;5;30;GQAX_67.sp;01:06;2;5;C;2;C;5;7;3
1567;5;18;ELAX_341.sp;01:06;8;5;B;8;B;5;8;3
1454;5;12;GQAX_4.sp;01:06;1;5;B;1;A;11;9;3
274;5;78;ELAX_251.sp;07:12;6Bis;1;G;6Bis;G;1;10;3
1579;5;90;ELAX_370.sp;01:06;8;5;H;8;H;5;11;3
1491;5;42;GQAX_95.sp;01:06;3;5;D;3;D;5;12;3
1569;5;30;ELAX_345.sp;01:06;8;5;C;8;C;5;13;3
1557;5;54;ELAX_303.sp;01:06;7;5;E;7;E;5;14;3
1632;5;24;GQAX_149.sp;01:06;12;5;C;12;B;11;15;3
1477;5;54;ELAX_72.sp;01:06;2;5;E;2;E;5;16;3
1472;5;24;ELAX_65.sp;01:06;2;5;C;2;B;11;1;4
1552;5;24;ELAX_279.sp;01:06;7;5;C;7;B;11;2;4
1537;5;30;ELAX_235.sp;01:06;6;5;C;6;C;5;3;4
1481;5;78;GQAX_76.sp;01:06;2;5;G;2;G;5;4;4
1463;5;66;ELAX_31.sp;01:06;1;5;F;1;F;5;5;4
1455;5;18;GQAX_5.sp;01:06;1;5;B;1;B;5;6;4
1590;5;60;ELAX_395.sp;01:06;9;5;F;9;E;11;7;4
1581;5;6;ELAX_372.sp;01:06;9;5;A;9;A;5;8;4
1536;5;24;ELAX_233.sp;01:06;6;5;C;6;B;11;9;4
1489;5;30;ELAX_92.sp;01:06;3;5;C;3;C;5;10;4
195;5;84;ELAX_13.sp;07:12;1Bis;1;H;1Bis;G;7;11;4
1626;5;84;ELAX_504.sp;01:06;11;5;H;11;G;11;12;4
1461;5;54;ELAX_28.sp;01:06;1;5;E;1;E;5;13;4
1485;5;6;GQAX_83.sp;01:06;3;5;A;3;A;5;14;4
1588;5;48;ELAX_388.sp;01:06;9;5;E;9;D;11;15;4
1553;5;30;ELAX_288.sp;01:06;7;5;C;7;C;5;16;4
1517;5;6;ELAX_184.sp;01:06;5;5;A;5;A;5;1;5
328;5;18;ELAX_423.sp;07:12;10Bis;1;B;10Bis;B;1;2;5
1458;5;36;GQAX_10.sp;01:06;1;5;D;1;C;11;3;5
1584;5;24;ELAX_377.sp;01:06;9;5;C;9;B;11;4;5
1619;5;42;ELAX_480.sp;01:06;11;5;D;11;D;5;5;5
1558;5;60;ELAX_305.sp;01:06;7;5;F;7;E;11;6;5
1614;5;12;ELAX_465.sp;01:06;11;5;B;11;A;11;7;5
1493;5;54;ELAX_99.sp;01:06;3;5;E;3;E;5;8;5
1611;5;90;ELAX_461.sp;01:06;10;5;H;10;H;5;9;5
1508;5;48;ELAX_146.sp;01:06;4;5;E;4;D;11;10;5
1549;5;6;ELAX_265.sp;01:06;7;5;A;7;A;5;11;5
261;5;96;ELAX_222.sp;07:12;5Bis;1;I;5Bis;H;7;12;5
1490;5;36;ELAX_94.sp;01:06;3;5;D;3;C;11;13;5
319;5;60;ELAX_395.sp;07:12;9Bis;1;F;9Bis;E;7;14;5
1597;5;6;ELAX_415.sp;01:06;10;5;A;10;A;5;15;5
1624;5;72;ELAX_488.sp;01:06;11;5;G;11;F;11;16;5
1509;5;54;ELAX_148.sp;01:06;4;5;E;4;E;5;1;6
1459;5;42;ELAX_16.sp;01:06;1;5;D;1;D;5;2;6
1612;5;96;ELAX_462.sp;01:06;10;5;I;10;H;11;3;6
1512;5;72;GQAX_166.sp;01:06;4;5;G;4;F;11;4;6
1453;5;6;ELAX_3.sp;01:06;1;5;A;1;A;5;5;6
1596;5;96;ELAX_412.sp;01:06;9;5;I;9;H;11;6;6
1521;5;30;GQAX_189.sp;01:06;5;5;C;5;C;5;7;6
1466;5;84;ELAX_13.sp;01:06;1;5;H;1;G;11;8;6
1546;5;84;ELAX_252.sp;01:06;6;5;H;6;G;11;9;6
1467;5;90;ELAX_40.sp;01:06;1;5;H;1;H;5;10;6
330;5;30;ELAX_427.sp;07:12;10Bis;1;C;10Bis;C;1;11;6
1505;5;30;ELAX_131.sp;01:06;4;5;C;4;C;5;12;6
1540;5;48;ELAX_240.sp;01:06;6;5;E;6;D;11;13;6
1496;5;72;ELAX_104.sp;01:06;3;5;G;3;F;11;14;6
1532;5;96;ELAX_222.sp;01:06;5;5;I;5;H;11;15;6
1633;5;48;ELAX_453;01:06;12;5;E;12;D;11;16;6
1538;5;36;ELAX_237.sp;01:06;6;5;D;6;C;11;1;7
1523;5;42;ELAX_194.sp;01:06;5;5;D;5;D;5;2;7
1576;5;72;ELAX_366.sp;01:06;8;5;G;8;F;11;3;7
208;5;66;ELAX_74.sp;07:12;2Bis;1;F;2Bis;F;1;4;7
1483;5;90;ELAX_77.sp;01:06;2;5;H;2;H;5;5;7
1568;5;24;ELAX_344.sp;01:06;8;5;C;8;B;11;6;7
1599;5;18;ELAX_423.sp;01:06;10;5;B;10;B;5;7;7
1625;5;78;ELAX_489.sp;01:06;11;5;G;11;G;5;8;7
1495;5;66;ELAX_101.sp;01:06;3;5;F;3;F;5;9;7
1609;5;78;ELAX_459.sp;01:06;10;5;G;10;G;5;10;7
1563;5;90;ELAX_329.sp;01:06;7;5;H;7;H;5;11;7
206;5;54;ELAX_72.sp;07:12;2Bis;1;E;2Bis;E;1;12;7
1492;5;48;ELAX_96.sp;01:06;3;5;E;3;D;11;13;7
1601;5;30;ELAX_427.sp;01:06;10;5;C;10;C;5;14;7
1502;5;12;ELAX_122.sp;01:06;4;5;B;4;A;11;15;7
1462;5;60;ELAX_29.sp;01:06;1;5;F;1;E;11;16;7
1550;5;12;ELAX_268.sp;01:06;7;5;B;7;A;11;1;8
1524;5;48;ELAX_195.sp;01:06;5;5;E;5;D;11;2;8
1572;5;48;ELAX_350.sp;01:06;8;5;E;8;D;11;3;8
1574;5;60;ELAX_353.sp;01:06;8;5;F;8;E;11;4;8
1476;5;48;ELAX_70.sp;01:06;2;5;E;2;D;11;5;8
1573;5;54;ELAX_352.sp;01:06;8;5;E;8;E;5;6;8
1456;5;24;ELAX_6.sp;01:06;1;5;C;1;B;11;7;8
1503;5;18;ELAX_124.sp;01:06;4;5;B;4;B;5;8;8
219;5;36;ELAX_94.sp;07:12;3Bis;1;D;3Bis;C;7;9;8
1575;5;66;ELAX_356.sp;01:06;8;5;F;8;F;5;10;8
1480;5;72;GQAX_75.sp;01:06;2;5;G;2;F;11;11;8
1518;5;12;ELAX_185.sp;01:06;5;5;B;5;A;11;12;8
1548;5;96;ELAX_262.sp;01:06;6;5;I;6;H;11;13;8
345;5;24;ELAX_470.sp;07:12;11Bis;1;C;11Bis;B;7;14;8
1504;5;24;ELAX_130.sp;01:06;4;5;C;4;B;11;15;8
1615;5;18;ELAX_469.sp;01:06;11;5;B;11;B;5;16;8
1627;5;90;GQAX_112.sp;01:06;11;5;H;11;H;5;1;9
1531;5;90;ELAX_212.sp;01:06;5;5;H;5;H;5;2;9
1587;5;42;ELAX_387.sp;01:06;9;5;D;9;D;5;3;9
1479;5;66;ELAX_74.sp;01:06;2;5;F;2;F;5;4;9
1623;5;66;ELAX_486.sp;01:06;11;5;F;11;F;5;5;9
1582;5;12;ELAX_373.sp;01:06;9;5;B;9;A;11;6;9
1516;5;96;ELAX_182.sp;01:06;4;5;I;4;H;11;7;9
1529;5;78;ELAX_202.sp;01:06;5;5;G;5;G;5;8;9
