;BAC;Fin;gen;graines;boite;grain;RANG;boite;rang OK;Debut;X;Y
466;2;42;ELAX_295.sp;01:06;7;2;D;7;D;2;1;1
389;2;60;ELAX_73.sp;01:06;2;2;F;2;E;8;2;1
519;2;72;ELAX_451.sp;01:06;10;2;G;10;F;8;3;1
487;2;72;ELAX_366.sp;01:06;8;2;G;8;F;8;4;1
472;2;78;ELAX_315.sp;01:06;7;2;G;7;G;2;5;1
524;2;6;ELAX_464.sp;01:06;11;2;A;11;A;2;6;1
410;2;90;ELAX_118.sp;01:06;3;2;H;3;H;2;7;1
511;2;24;ELAX_426.sp;01:06;10;2;C;10;B;8;8;1
463;2;24;ELAX_279.sp;01:06;7;2;C;7;B;8;9;1
523;2;96;ELAX_462.sp;01:06;10;2;I;10;H;8;10;1
500;2;54;ELAX_394.sp;01:06;9;2;E;9;E;2;11;1
395;2;96;GQAX_82.sp;01:06;2;2;I;2;H;8;12;1
368;2;30;ELAX_9.sp;01:06;1;2;C;1;C;2;13;1
411;2;96;GQAX_119.sp;01:06;3;2;I;3;H;8;14;1
483;2;48;ELAX_350.sp;01:06;8;2;E;8;D;8;15;1
185;2;24;ELAX_6.sp;07:12;1Bis;1;C;1Bis;B;7;16;1
405;2;60;ELAX_100.sp;01:06;3;2;F;3;E;8;1;2
494;2;18;ELAX_376.sp;01:06;9;2;B;9;B;2;2;2
359;2;60;GQAX_138.sp;07:12;12Bis;1;F;12Bis;E;7;3;2
412;2;6;ELAX_120.sp;01:06;4;2;A;4;A;2;4;2
428;2;6;ELAX_184.sp;01:06;5;2;A;5;A;2;5;2
460;2;6;ELAX_265.sp;01:06;7;2;A;7;A;2;6;2
531;2;48;ELAX_482.sp;01:06;11;2;E;11;D;8;7;2
468;2;54;ELAX_303.sp;01:06;7;2;E;7;E;2;8;2
388;2;54;ELAX_72.sp;01:06;2;2;E;2;E;2;9;2
461;2;12;ELAX_268.sp;01:06;7;2;B;7;A;8;10;2
435;2;48;ELAX_195.sp;01:06;5;2;E;5;D;8;11;2
370;2;42;ELAX_16.sp;01:06;1;2;D;1;D;2;12;2
515;2;48;ELAX_436.sp;01:06;10;2;E;10;D;8;13;2
530;2;42;ELAX_480.sp;01:06;11;2;D;11;D;2;14;2
446;2;18;ELAX_230.sp;01:06;6;2;B;6;B;2;15;2
364;2;6;ELAX_3.sp;01:06;1;2;A;1;A;2;16;2
382;2;18;ELAX_59.sp;01:06;2;2;B;2;B;2;1;3
366;2;18;GQAX_5.sp;01:06;1;2;B;1;B;2;2;3
348;2;42;ELAX_480.sp;07:12;11Bis;1;D;11Bis;D;1;3;3
528;2;30;ELAX_474.sp;01:06;11;2;C;11;C;2;4;3
499;2;48;ELAX_388.sp;01:06;9;2;E;9;D;8;5;3
495;2;24;ELAX_377.sp;01:06;9;2;C;9;B;8;6;3
493;2;12;ELAX_373.sp;01:06;9;2;B;9;A;8;7;3
400;2;30;ELAX_92.sp;01:06;3;2;C;3;C;2;8;3
189;2;48;ELAX_27.sp;07:12;1Bis;1;E;1Bis;D;7;9;3
522;2;90;ELAX_461.sp;01:06;10;2;H;10;H;2;10;3
371;2;48;ELAX_27.sp;01:06;1;2;E;1;D;8;11;3
458;2;90;ELAX_261.sp;01:06;6;2;H;6;H;2;12;3
438;2;66;ELAX_199.sp;01:06;5;2;F;5;F;2;13;3
481;2;36;ELAX_346.sp;01:06;8;2;D;8;C;8;14;3
485;2;60;ELAX_353.sp;01:06;8;2;F;8;E;8;15;3
520;2;78;ELAX_459.sp;01:06;10;2;G;10;G;2;16;3
375;2;72;ELAX_35.sp;01:06;1;2;G;1;F;8;1;4
514;2;42;ELAX_435.sp;01:06;10;2;D;10;D;2;2;4
254;2;54;ELAX_197.sp;07:12;5Bis;1;E;5Bis;E;1;3;4
516;2;54;ELAX_441.sp;01:06;10;2;E;10;E;2;4;4
471;2;72;ELAX_311.sp;01:06;7;2;G;7;F;8;5;4
443;2;96;ELAX_222.sp;01:06;5;2;I;5;H;8;6;4
536;2;78;ELAX_489.sp;01:06;11;2;G;11;G;2;7;4
414;2;18;ELAX_124.sp;01:06;4;2;B;4;B;2;8;4
473;2;84;ELAX_316.sp;01:06;7;2;H;7;G;8;9;4
478;2;18;ELAX_341.sp;01:06;8;2;B;8;B;2;10;4
447;2;24;ELAX_233.sp;01:06;6;2;C;6;B;8;11;4
442;2;90;ELAX_212.sp;01:06;5;2;H;5;H;2;12;4
502;2;66;ELAX_399.sp;01:06;9;2;F;9;F;2;13;4
423;2;72;GQAX_166.sp;01:06;4;2;G;4;F;8;14;4
451;2;48;ELAX_240.sp;01:06;6;2;E;6;D;8;15;4
386;2;42;ELAX_69.sp;01:06;2;2;D;2;D;2;16;4
508;2;6;ELAX_415.sp;01:06;10;2;A;10;A;2;1;5
512;2;30;ELAX_427.sp;01:06;10;2;C;10;C;2;2;5
449;2;36;ELAX_237.sp;01:06;6;2;D;6;C;8;3;5
324;2;90;ELAX_410.sp;07:12;9Bis;1;H;9Bis;H;1;4;5
492;2;6;ELAX_372.sp;01:06;9;2;A;9;A;2;5;5
541;2;12;GQAX_138.sp;01:06;12;2;B;12;A;8;6;5
535;2;72;ELAX_488.sp;01:06;11;2;G;11;F;8;7;5
360;2;66;GQAX_139.sp;07:12;12Bis;1;F;12Bis;F;1;8;5
526;2;18;ELAX_469.sp;01:06;11;2;B;11;B;2;9;5
276;2;90;ELAX_261.sp;07:12;6Bis;1;H;6Bis;H;1;10;5
498;2;42;ELAX_387.sp;01:06;9;2;D;9;D;2;11;5
373;2;60;ELAX_29.sp;01:06;1;2;F;1;E;8;12;5
419;2;48;ELAX_146.sp;01:06;4;2;E;4;D;8;13;5
275;2;84;ELAX_252.sp;07:12;6Bis;1;H;6Bis;G;7;14;5
418;2;42;ELAX_145.sp;01:06;4;2;D;4;D;2;15;5
448;2;30;ELAX_235.sp;01:06;6;2;C;6;C;2;16;5
503;2;72;ELAX_401.sp;01:06;9;2;G;9;F;8;1;6
427;2;96;ELAX_182.sp;01:06;4;2;I;4;H;8;2;6
476;2;6;ELAX_335.sp;01:06;8;2;A;8;A;2;3;6
376;2;78;ELAX_38.sp;01:06;1;2;G;1;G;2;4;6
394;2;90;ELAX_77.sp;01:06;2;2;H;2;H;2;5;6
380;2;6;ELAX_49.sp;01:06;2;2;A;2;A;2;6;6
430;2;18;ELAX_187.sp;01:06;5;2;B;5;B;2;7;6
517;2;60;ELAX_444.sp;01:06;10;2;F;10;E;8;8;6
209;2;72;GQAX_75.sp;07:12;2Bis;1;G;2Bis;F;7;9;6
490;2;90;ELAX_370.sp;01:06;8;2;H;8;H;2;10;6
