Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	7,072	7,176686	3,248	20,139	16,74358	16,80336	4,787393	17,99798	18,02965	9,122993	20,89005	1,885678	2,125	0,881822	2,125	0,01470588	1,239364	0,2579063	0,9735692	64,52502	288,427	-8,368004	0,93	123,2056	7,199283	109,	147,	0,09605024	123,213	120,0918	0,7576362	7,227269	52,23342	0,01006659	3,349954	241,2796	49,4396	0,5034166	248,1349	194,4084	3,907753	5,045545	1,522589	1,496243	-0,4420054	0,9710283	136,5118	6,762599	122,	161,	123,8618	7,756077	107,	149,	109,2651	7,724738	95,	133,	23,00437	3,669051	12,	40,	28,98338	4,492497	14,	40,	123,2056	7,199283	109,	147,	118,4882	8,162732	93,99999	133,	131,1382	8,379413	106,	148,	145,7349	7,911644	122,	160,	52,69434	3,204922	46,28365	62,3091	2,294883	0,5079244	1,67475	3,818656	9,725944	0,278608	8,89012	10,04453	
S01	2	7,28	7,43369	3,3495	20,961	17,29464	17,32785	4,932603	19,10636	19,01136	9,677475	22,052	2,040366	2,121212	0,8827487	2,121212	0,01428571	1,245578	0,2700074	0,9675545	68,85868	308,4133	12,34822	0,88	143,9411	15,6795	106,	172,	-0,8073158	143,9443	149,0605	-0,3575601	15,68611	246,0542	0,003234989	4,943965	46,855	244,9794	0,4021332	291,1837	974,974	4,686472	5,939155	1,817776	1,627902	-0,5264532	0,9927971	159,0016	16,32127	121,	189,	146,198	16,68734	106,	177,	126,6187	14,61893	90,	152,	26,19476	3,246256	14,	36,	30,82979	5,460968	19,	47,	143,9411	15,6795	106,	172,	95,99837	12,66721	65,99999	134,	108,802	13,39934	77,99999	149,	128,3813	12,20622	103,	165,	61,23117	5,148346	45,78613	72,5814	1,430549	0,5856581	0,154445	3,187523	12,09718	0,7488794	11,16041	14,34381	
S01	3	7,488	7,530766	3,654	21,783	17,84569	17,87081	5,14339	20,77421	20,78477	9,644933	22,18363	2,193128	2,	0,8698252	2,	0,01388889	1,219742	0,246896	0,9823703	78,0968	319,6945	7,403531	0,91	129,148	12,97721	101,	153,	-0,9551404	129,1413	126,9316	-0,04539192	12,97845	168,44	0,003994777	3,814528	60,79294	170,5735	0,4130698	261,0865	678,4793	4,53985	5,698644	1,245618	1,483897	-0,5292229	0,9916877	144,232	13,00054	115,	168,	131,4543	14,13215	101,	159,	111,7695	12,08448	84,	135,	26,17599	3,234448	16,	35,	34,45729	3,657351	22,	46,	129,148	12,97721	101,	153,	110,768	9,743983	86,99999	140,	123,5457	10,15144	95,99999	154,	143,2305	9,256505	120,	171,	55,55303	3,970191	43,64246	65,64762	1,486232	0,3910285	-0,792804	2,659317	12,39635	0,439242	11,67701	13,71407	
S01	4	8,112	8,291309	3,7555	23,2215	19,20947	19,20014	5,405883	22,94874	23,02264	11,52351	27,89378	2,28539	2,108108	0,8861669	2,108108	0,01282051	1,279375	0,296946	0,9666145	80,80729	376,0009	4,320366	0,9	143,2191	14,3319	108,	173,	-0,6379549	143,2406	132,9668	0,1630657	14,33164	205,3959	0,004606113	4,502417	57,90881	204,9201	0,4229333	289,0201	815,1778	4,565223	5,815635	1,694652	1,604676	-0,5108013	0,9907029	156,6862	14,38896	121,	187,	145,9237	15,48224	106,	178,	127,0204	13,63831	94,	157,	27,57961	3,569271	14,	37,	28,95724	5,028613	18,	42,	143,2191	14,3319	108,	173,	98,31381	11,89539	67,99999	134,	109,0763	13,3079	76,99999	149,	127,9796	11,0068	97,99999	161,	60,96095	5,026536	45,88134	72,78635	0,7372972	1,030474	-0,3573339	3,82872	11,46062	0,8515212	8,906052	11,88261	
S01	5	7,28	7,267056	3,451	20,961	17,06638	17,10744	4,931241	19,0958	19,02191	8,910377	21,57039	1,626725	2,058824	0,8680394	2,058824	0,01428571	1,213587	0,2589143	0,9897406	71,72811	290,3317	5,284199	0,94	130,5605	7,852675	109,	148,	-0,2210698	130,5892	132,9668	-0,364644	7,859892	61,7779	0,004802579	8,171823	190,5024	62,6743	0,3263136	262,9382	242,5253	4,077666	5,641161	2,775381	1,852947	-0,3517476	0,9539286	144,5842	6,268422	130,	160,	132,2189	8,633708	108,	152,	114,8709	9,572751	87,	136,	25,4085	3,377612	16,	37,	30,91422	7,042588	15,	56,	130,5605	7,852675	109,	148,	110,4158	5,138616	94,99999	125,	122,7811	8,072983	103,	147,	140,1291	9,290303	119,	168,	55,86568	2,894395	47,1825	63,10051	1,685319	1,234867	0,1214773	5,389919	11,05732	1,317854	9,466212	15,01089	
S01	6	8,632	8,853135	3,9585	24,8655	20,31157	20,13439	5,578435	24,43714	24,6377	13,18709	33,77412	2,3544	2,128205	0,8971737	2,128205	0,01204819	1,343268	0,2652104	0,9633028	83,8758	418,0539	-25,55584	0,91	120,3192	6,915723	104,	148,	1,495222	120,307	124,1152	0,5601553	6,948687	48,28425	0,01018964	2,630491	238,0704	45,61803	0,5499457	242,447	179,8415	3,917757	4,973326	1,272393	1,39461	-0,4722883	0,9766321	138,5059	6,473133	121,	162,	121,9445	7,450858	104,	150,	100,5496	7,490072	85,	133,	24,1947	2,299576	16,	34,	42,10967	5,237823	24,	54,	120,3192	6,915723	104,	148,	116,4941	7,83138	92,99999	134,	133,0555	9,351819	105,	151,	154,4504	10,81681	122,	170,	52,15541	3,503407	45,1113	62,66563	2,850602	0,4472769	1,508771	3,6018	14,06538	1,167995	10,56139	13,2043	
S01	7	7,865673	7,939793	3,588438	22,194	18,2924	18,31892	5,113246	20,53142	20,51031	11,26935	26,87083	2,083996	2,139258	0,8986398	2,139258	0,01322201	1,296727	0,2806394	0,9787577	84,90333	337,2548	-67,18452	0,91	129,7777	9,89128	99,	156,	0,6829953	129,7926	134,9785	-0,6601422	9,893116	97,87374	0,005473912	4,423139	103,0383	96,03062	0,4332685	261,935	379,6994	4,240705	5,525409	1,768976	1,593274	-0,4571345	0,9808949	143,7679	9,28822	114,	162,	131,9623	10,88708	99,	160,	113,627	10,49519	85,	148,	26,37378	3,798681	15,	42,	31,93971	6,693813	10,	46,	129,7777	9,89128	99,	156,	111,2321	9,922633	92,99999	141,	123,0377	10,98744	94,99999	156,	141,373	11,45768	107,	170,	55,6923	4,231165	42,99881	65,71838	1,304819	0,7585257	-1,4657	3,580396	11,5179	1,67174	6,502684	10,16312	
S01	8	7,176	7,250792	3,3495	20,55	17,07617	17,18833	4,908015	18,91635	18,93746	9,228052	21,00327	1,701066	2,090909	0,8849495	2,090909	0,01449275	1,226506	0,2498499	0,9777898	66,76674	306,4403	-7,827587	0,91	122,2856	9,900592	99,	153,	-0,1285804	122,2777	114,0566	0,441615	9,925152	98,50865	0,004679136	5,973982	104,8683	94,3309	0,3422466	246,8707	371,3493	4,28011	5,667934	1,890287	1,690286	-0,4361387	0,9785874	137,763	8,211724	116,	163,	123,2922	10,78802	99,	160,	105,8123	11,4214	81,	139,	23,71605	3,63579	15,	41,	34,79588	7,380847	15,	49,	122,2856	9,900592	99,	153,	117,237	8,412343	91,99999	139,	131,7078	12,23594	94,99999	156,	149,1877	11,06255	116,	174,	52,57349	4,337698	43,10891	65,58658	2,576619	0,4142185	-2,620277	3,819275	11,58097	0,3917665	11,34328	12,75627	
S01	9	7,696	7,757493	3,451	21,9885	17,92639	17,7622	4,940772	19,1697	19,24359	10,1565	26,17036	2,047498	2,176471	0,8954633	2,176471	0,01351351	1,333817	0,2890191	0,9801492	66,125	325,1422	-19,22057	0,89	134,5239	8,071714	111,	152,	0,005997538	134,5453	136,9902	-0,62226	8,059525	64,95593	0,008184883	4,113913	193,4683	64,00511	0,486375	271,4478	251,9064	4,051726	5,315193	1,941493	1,564869	-0,4290484	0,9721932	149,8534	8,357997	129,	168,	136,8451	9,180398	108,	158,	116,8147	7,757849	94,	137,	26,09061	3,094869	15,	35,	33,55519	5,860102	13,	48,	134,5239	8,071714	111,	152,	105,1466	6,951124	86,99999	126,	118,1549	9,615048	96,99999	147,	138,1853	7,604889	118,	161,	57,65296	3,472213	47,23632	65,42404	1,492526	1,500241	0,06743735	5,993251	12,52148	0,5320921	10,92521	12,28788	
S01	10	8,112	8,160902	3,1465	21,9885	18,49702	18,53801	4,996235	19,60249	19,68694	12,77979	31,19735	1,984906	2,516129	0,9226305	2,516129	0,01282051	1,388731	0,2704293	0,9820606	59,68986	382,6454	28,01105	0,89	122,8446	7,12858	97,	139,	1,43873	122,8599	126,127	-1,056984	7,148583	51,10225	0,01233379	1,626279	192,9637	49,01015	0,6088676	248,0187	194,4143	3,881006	4,740047	0,7896479	1,18479	-0,5254583	0,9827992	139,4187	6,179004	112,	152,	124,0668	7,62735	95,	140,	105,0403	8,308736	81,	126,	23,79147	2,437793	14,	33,	37,19887	6,223942	21,	53,	122,8446	7,12858	97,	139,	115,5813	9,139562	103,	143,	130,9332	9,688934	115,	160,	149,9597	8,013412	129,	174,	52,92529	3,785511	41,56875	58,91683	2,690179	0,5988848	2,04359	4,486833	12,54386	1,1507	9,091763	10,55782	
S01	11	8,112	8,134163	3,3495	22,3995	18,77255	18,66839	5,149919	20,82699	20,78477	12,24842	30,00056	2,114532	2,363636	0,9125214	2,363636	0,01282051	1,346312	0,287919	0,9852888	66,41922	382,3619	-25,82743	0,93	119,8998	9,761745	91,	146,	0,2364486	119,9015	118,0801	-0,3362599	9,776509	95,58012	0,003485244	9,708695	92,73388	90,21924	0,2879948	242,0126	351,1683	4,272777	5,922414	3,342654	1,909808	-0,3660742	0,9641669	133,9013	9,373087	102,	157,	120,7825	10,64726	87,	150,	104,9933	10,1196	78,	132,	23,52264	4,137404	8,	40,	31,89458	6,452787	13,	48,	119,8998	9,761745	91,	146,	121,0987	10,63375	97,99999	153,	134,2175	11,26082	105,	168,	150,0067	9,002231	123,	177,	51,49853	4,438351	38,18348	62,20828	2,312631	0,7435701	-0,5911375	4,543341	10,49726	1,000374	7,496141	10,41621	
S01	12	7,079389	7,171474	2,9435	19,5225	16,44442	16,4949	4,563128	16,35124	16,28791	9,621742	22,67225	1,590923	2,347277	0,9057994	2,344828	0,01469053	1,315868	0,2923135	0,9752945	52,94993	291,1046	11,80607	0,93	127,493	10,82105	83,	156,	1,335091	127,5195	130,1504	-0,8572633	10,83528	117,4033	0,005002032	8,902544	64,91244	107,7174	0,3620833	257,7501	421,9671	4,270504	5,692019	3,773085	1,914274	-0,4379007	0,9792241	141,2141	10,83509	95,	169,	129,4612	11,79733	82,	161,	111,8177	10,51948	72,	138,	25,99602	4,386685	10,	41,	31,50697	5,301749	16,	42,	127,493	10,82105	83,	156,	113,7859	15,40471	85,99999	160,	125,5388	15,82038	93,99999	173,	143,1823	13,27257	117,	183,	54,73036	6,290272	35,85955	66,33594	1,407585	0,7210009	-1,026431	3,570587	11,1753	1,109889	7,845632	13,02633	
S01	13	8,216001	8,205575	3,5525	23,016	18,90052	18,85371	5,24048	21,56591	21,75592	11,85356	30,08033	1,948707	2,257143	0,9006921	2,257143	0,01265823	1,31797	0,2495966	0,9892359	71,24437	377,1955	3,490199	0,85	145,5585	13,11984	111,	167,	-0,2429943	145,5609	155,0957	-0,6064093	13,12451	172,2528	0,00415417	4,399849	73,23763	170,5317	0,4227383	294,2033	677,7267	4,503686	5,793938	1,653656	1,592233	-0,4924181	0,9885793	163,6148	14,39488	127,	187,	149,1876	14,57583	110,	174,	123,8559	10,75863	93,	143,	27,41227	2,912383	15,	33,	37,90442	4,289387	19,	49,	145,5585	13,11984	111,	167,	91,38515	12,20495	67,99999	128,	105,8124	13,06253	80,99999	145,	131,1441	10,2853	112,	162,	62,38715	4,940771	47,56483	71,43268	1,176647	0,8841169	-0,3450796	3,828998	15,32673	1,126855	11,94616	17,61841	
S01	14	7,488	7,560406	2,9435	20,3445	16,88135	16,91335	4,521697	16,05568	16,17179	10,42753	27,04138	1,73315	2,482759	0,9201189	2,482759	0,01388889	1,41225	0,2977861	0,9785188	48,79487	311,2819	-15,48575	0,85	128,6607	11,05881	108,	161,	0,7508643	128,672	124,1152	1,278121	11,05656	122,2475	0,01386634	3,994381	94,044	125,3387	0,5007962	260,0168	497,3604	4,031281	5,084215	1,909765	1,577288	-0,4986306	0,9827791	147,0536	11,76085	124,	181,	130,8761	12,15917	106,	165,	108,0767	9,603647	94,	137,	25,08088	2,645893	16,	34,	40,84244	3,816744	27,	52,	128,6607	11,05881	108,	161,	107,9464	11,31548	73,99999	131,	124,1239	11,37465	89,99999	149,	146,9233	9,641106	118,	161,	55,5752	4,280553	46,17902	68,41686	2,397628	0,8938321	1,304098	5,079124	14,58555	1,739143	9,368124	16,63886	
S01	15	8,424	8,417707	3,248	22,8105	19,04807	19,17491	5,186334	21,12256	21,18589	13,63351	33,276	1,925993	2,53125	0,9238559	2,53125	0,01234568	1,366726	0,2510835	0,9887193	61,17988	417,1133	4,884643	0,91	120,359	8,243846	102,	140,	-0,728656	120,3482	116,873	0,06342159	8,286751	68,67023	0,004373591	7,583913	154,5006	67,75358	0,3867729	242,2816	263,4304	4,12412	5,702534	3,191112	1,856104	-0,3545178	0,9562042	138,2637	8,080681	119,	158,	121,5524	9,326724	102,	144,	101,2645	8,083546	82,	121,	23,50989	2,802034	15,	32,	40,58242	5,513895	26,	58,	120,359	8,243846	102,	140,	116,7363	6,578761	96,99999	136,	133,4476	7,482542	111,	153,	153,7355	6,578512	134,	173,	52,04008	2,794472	44,28148	60,4235	3,082201	0,5644015	1,388996	3,481112	13,48708	0,2126404	13,81936	14,125	
S01	16	7,8	7,820976	2,842	20,961	17,57995	17,53529	4,653553	17,00572	17,18517	11,34749	29,46602	1,773868	2,678571	0,9280481	2,678571	0,01333333	1,445993	0,2996536	0,985331	48,25543	346,138	-7,87335	0,86	123,3712	5,234138	113,	139,	-0,4604541	123,3801	124,9199	0,1162215	5,265604	27,72659	0,009115566	3,610592	480,1195	26,64715	0,4659123	248,5556	102,978	3,665834	4,939849	1,488018	1,495157	-0,3668456	0,94409	140,4587	4,519989	130,	153,	124,688	5,705644	113,	143,	104,9825	6,394571	93,	126,	23,87464	2,280355	16,	33,	38,17201	5,656037	19,	49,	123,3712	5,234138	113,	139,	114,5413	4,18044	102,	125,	130,3119	6,103981	112,	142,	150,0175	7,005834	129,	162,	53,19304	2,208869	48,69356	59,81964	2,752356	0,6653393	0,7563378	3,34024	12,96517	0,8609336	10,38237	13,55704	
S01	17	8,528	8,611282	3,654	23,838	19,73689	19,6595	5,387201	22,79041	23,13875	13,5834	33,44868	1,990779	2,277778	0,9087795	2,277778	0,01219512	1,359976	0,2611789	0,9784256	72,76621	414,3601	13,41811	0,87	131,5453	7,946018	109,	152,	-0,02603617	131,5701	130,1504	0,05246522	7,940814	63,05653	0,00741475	4,011308	191,6189	62,31789	0,4750716	265,518	245,2603	4,108751	5,368946	1,80456	1,563763	-0,43812	0,9750956	149,5688	8,096268	126,	170,	133,5588	8,942107	108,	156,	111,5272	7,475542	93,	133,	24,85427	2,729012	13,	33,	38,85292	4,535872	22,	49,	131,5453	7,946018	109,	152,	105,4312	7,856277	84,99999	129,	121,4412	8,519588	98,99999	147,	143,4728	7,1576	122,	162,	56,61559	3,235124	46,91021	64,97562	2,420318	0,7204087	1,31948	4,581544	14,09017	1,023919	11,01841	13,91187	
S01	18	7,904	7,943422	3,248	21,783	18,131	18,27357	5,005642	19,67638	19,7925	12,0527	28,32063	2,615779	2,375	0,9114127	2,375	0,01315789	1,329304	0,2934892	0,9830776	62,05418	366,3919	-1,92037	0,88	127,5211	12,55614	102,	157,	-0,2390005	127,5219	122,1035	0,6259125	12,55157	157,5419	0,006269553	5,707913	65,03529	162,4284	0,4132565	257,489	644,0059	4,304087	5,631189	2,429619	1,708934	-0,4598006	0,9825173	146,2351	13,18002	120,	178,	129,1562	13,93999	102,	162,	107,212	10,91883	83,	134,	23,98805	2,86465	17,	31,	40,66773	4,369809	28,	52,	127,5211	12,55614	102,	157,	108,7649	10,58832	76,99999	135,	125,8438	10,94794	92,99999	153,	147,7881	8,929355	121,	172,	55,01075	4,09548	44,40503	67,29719	2,909556	0,5287386	1,32334	4,058696	14,28777	0,8031464	13,40829	16,69721	
S01	19	7,696	7,83039	3,5525	22,194	18,46359	18,43536	5,221207	21,40757	21,55535	10,9759	24,30038	2,348095	2,114286	0,8858674	2,114286	0,01351351	1,267042	0,2937042	0,9710245	75,68614	351,3888	-3,486725	0,89	129,1201	6,564778	107,	141,	0,6140621	129,1587	134,1738	-0,9121327	6,596303	43,51122	0,01157997	2,180597	271,5188	42,31828	0,5502667	260,3209	167,0926	3,820608	4,855146	0,957427	1,31309	-0,4611792	0,9723845	145,6212	5,86415	126,	156,	129,8941	7,411871	104,	144,	111,8756	6,985085	89,	128,	22,90121	2,68815	14,	30,	34,1791	4,177551	21,	45,	129,1201	6,564778	107,	141,	109,3788	6,540395	98,99999	129,	125,1059	8,631366	111,	151,	143,1244	7,625208	127,	166,	55,25779	3,181639	45,71288	60,40287	2,948842	1,126526	1,697447	6,328421	11,94128	0,6104209	10,11002	11,73114	
S01	20	8,32	8,374002	3,451	23,016	19,29996	19,3513	5,357175	22,53706	22,44206	13,52821	30,58381	2,277744	2,352941	0,908798	2,352941	0,0125	1,315048	0,2480642	0,9816094	71,80012	410,0175	-11,02852	0,92	134,6696	7,273601	107,	151,	0,99696	134,6937	134,1738	-0,6550909	7,250064	52,56342	0,007497922	3,274524	217,8604	52,78675	0,4696613	271,609	207,8726	3,966347	5,202895	1,282382	1,470191	-0,4270721	0,9699022	149,088	6,996	122,	163,	135,732	7,850766	104,	154,	119,1786	7,437034	95,	137,	23,75084	2,744381	14,	32,	29,41706	3,915493	17,	41,	134,6696	7,273601	107,	151,	105,912	9,029327	91,99999	133,	119,268	10,57735	101,	151,	135,8214	8,059545	118,	160,	57,33463	3,962227	45,44795	63,92042	2,187142	1,134619	0,3364377	5,590997	10,7136	1,001668	7,708599	10,10361	
S01	21	8,424	8,395727	3,5525	23,427	19,23311	19,27762	5,374711	22,68484	22,64262	12,32695	31,54733	2,073748	2,314286	0,8983569	2,314286	0,01234568	1,297445	0,256805	0,9913078	75,23825	389,8827	-1,49682	0,94	129,5756	6,238914	115,	146,	-0,6094572	129,6088	128,9434	0,08340359	6,253736	39,10921	0,005500686	6,020379	333,8839	39,71953	0,3564548	261,104	152,8578	3,88637	5,411394	2,068023	1,712575	-0,3207085	0,9345719	147,8461	4,639487	138,	162,	130,587	6,938522	113,	149,	110,3126	7,624289	92,	130,	23,24096	2,476307	10,	33,	38,12717	5,300602	23,	53,	129,5756	6,238914	115,	146,	107,1539	4,717985	92,99999	117,	124,413	6,137665	106,	142,	144,6874	6,562477	125,	163,	55,62025	2,236	49,47941	62,32825	3,218846	1,118624	1,584534	6,574718	13,37716	0,6586005	11,77326	15,35296	
S01	22	7,176	7,285996	3,857	21,5775	17,42261	17,45014	5,114561	20,54198	20,60531	7,989635	19,45248	1,949066	1,815789	0,8416006	1,815789	0,01449275	1,175736	0,2665237	0,9730653	84,25539	287,9021	6,55093	0,92	139,8919	13,77565	103,	169,	-0,1872607	139,8864	145,8418	-0,2417603	13,77135	189,65	0,002746598	9,320565	56,98711	189,4073	0,3027399	282,3651	748,3084	4,600816	6,12693	3,12712	1,908179	-0,4481234	0,9853643	155,8613	13,8528	120,	185,	141,7487	14,69615	102,	172,	122,0597	13,12561	87,	150,	25,04176	2,882962	17,	35,	32,69426	4,362099	19,	45,	139,8919	13,77565	103,	169,	99,1387	11,95377	69,99999	135,	113,2513	13,24956	82,99999	153,	132,9403	11,68655	105,	168,	59,64585	5,050096	44,49556	70,88564	1,956059	0,9017765	1,013386	4,661388	12,41002	0,4234362	11,13971	13,0043	
S01	23	6,864	7,009453	3,248	19,9335	16,32051	16,46292	4,722371	17,51241	17,40685	8,168358	19,12282	1,631871	2,0625	0,87279	2,0625	0,01515152	1,210173	0,2729303	0,9674792	65,31585	271,3602	10,55431	0,9	133,0355	4,831247	119,	147,	0,2014213	133,0773	132,9668	-0,09974204	4,819935	23,23178	0,01662805	1,68684	620,8682	22,8438	0,5918403	267,8079	89,68836	3,606069	4,521391	0,7677463	1,208126	-0,467912	0,9678938	151,4245	4,525098	136,	163,	133,9864	5,531552	117,	148,	113,7218	5,251796	102,	130,	22,95	2,198395	15,	31,	37,08273	3,97602	25,	45,	133,0355	4,831247	119,	147,	103,5754	5,141515	91,99999	119,	121,0136	5,662115	107,	138,	141,2782	5,426064	125,	153,	56,95343	2,121499	50,58894	62,14981	3,260741	0,5413873	2,530451	4,884902	13,33225	0,7769032	11,00154	11,5349	
S01	24	7,488	7,613692	3,3495	21,1665	17,48946	17,68325	4,95978	19,31748	19,3597	10,29231	24,10425	2,497795	2,181818	0,8924026	2,181818	0,01388889	1,259877	0,2720914	0,9716706	66,59481	326,7738	3,539841	0,88	140,1065	11,64937	112,	163,	-0,8367651	140,107	132,1621	-0,06567785	11,63135	135,2883	0,003547182	5,548552	90,8548	139,5722	0,3940474	282,7155	552,7402	4,469275	5,866353	2,100476	1,690759	-0,4582041	0,984582	157,0928	12,06804	130,	182,	141,8935	12,61553	112,	167,	121,3083	10,63171	94,	142,	24,67877	2,914732	9,	32,	34,24939	4,042549	19,	45,	140,1065	11,64937	112,	163,	97,90719	9,030934	72,99999	125,	113,1065	9,964488	87,99999	143,	133,6917	9,102768	113,	161,	59,77999	3,780378	48,43886	69,13741	2,248919	0,6077934	1,346922	4,072299	13,04018	0,6219994	12,61575	14,90618	
S01	25	7,28	7,558156	3,248	20,7555	17,271	17,29697	4,702403	17,36462	18,00854	11,01327	23,98851	2,712047	2,1875	0,9116513	2,1875	0,01428571	1,36677	0,2871148	0,9516209	57,39331	327,0467	22,38718	0,81	114,926	8,861845	100,	149,	1,239511	114,8889	108,0215	1,157222	8,890846	79,04714	0,006630564	5,377113	134,8848	74,67104	0,4016695	231,0587	293,3069	4,054332	5,401681	2,119179	1,674623	-0,4080266	0,9681283	131,3739	8,329334	116,	164,	114,5914	9,337678	97,	152,	98,83974	9,329206	83,	134,	20,47048	2,405831	12,	28,	35,94283	5,162188	15,	48,	114,926	8,861845	100,	149,	123,626	10,87535	90,99999	139,	140,4086	12,46954	103,	158,	156,1603	11,72009	121,	172,	49,40073	4,666715	42,59237	63,40088	3,879547	0,8465968	1,339756	5,315935	11,12691	0,0974226	10,83464	11,06325	
S01	26	7,488	7,555543	2,9435	20,3445	17,16666	17,2954	4,760643	17,79742	17,6813	11,04907	25,297	1,886286	2,482759	0,9129733	2,482759	0,01388889	1,31747	0,2735622	0,9791487	55,3446	330,0569	9,672786	0,92	141,4758	10,18093	117,	162,	-0,8526179	141,4741	153,084	-0,1896486	10,16216	103,2696	0,004968392	3,737892	136,5919	100,9435	0,4281895	285,831	400,036	4,29788	5,542283	1,324044	1,505196	-0,4747166	0,9839971	158,7052	10,98079	134,	179,	143,1891	11,52113	114,	166,	122,5305	8,302752	103,	140,	24,39068	3,052074	13,	32,	34,06362	3,033912	25,	41,	141,4758	10,18093	117,	162,	96,2948	8,235065	75,99999	121,	111,8109	9,729691	88,99999	141,	132,4695	6,510152	115,	152,	60,30286	3,569055	49,5957	68,56949	2,354525	1,202646	0,4281315	5,962464	13,10148	1,371348	8,987439	15,17442	
S01	27	7,488	7,60508	2,9435	20,55	17,24736	17,2156	4,628934	16,82627	17,18517	11,45567	26,0271	2,007818	2,482759	0,9233953	2,482759	0,01388889	1,406642	0,2958741	0,9727709	49,59285	334,7592	8,180955	0,86	120,1034	6,690814	107,	138,	-0,291932	120,0934	118,0801	0,4875826	6,733413	45,33886	0,006798345	4,990645	267,8469	42,8954	0,4189342	241,7038	166,591	3,877511	5,289094	1,995082	1,661179	-0,3581435	0,9489391	136,9112	5,633984	123,	152,	119,559	7,369127	105,	141,	103,8907	7,592533	88,	124,	20,1239	2,528899	11,	29,	34,62439	4,932362	20,	49,	120,1034	6,690814	107,	138,	118,0888	5,029592	103,	132,	135,441	7,146996	114,	150,	151,1093	6,703084	131,	167,	51,42226	2,572889	45,65978	59,14093	4,074238	0,9725973	1,156446	4,314813	11,07605	0,3769274	10,54773	12,20683	
