Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,696	7,890521	3,451	21,9885	18,15464	18,14137	5,065705	20,15141	20,29919	11,02869	25,60591	2,017938	2,176471	0,8972374	2,176471	0,01351351	1,301355	0,2623803	0,9636246	67,88688	346,6204	8,47968	0,86	123,3225	4,814565	108,	134,	0,3446637	123,3382	125,084	-0,9489592	4,810427	23,14021	0,02435705	1,255302	504,4802	23,16542	0,6785015	248,7104	91,40636	3,478424	4,218654	0,7079915	1,107433	-0,5049055	0,9706278	140,611	4,356031	124,	151,	125,0379	5,385744	108,	136,	104,3697	5,443648	89,	118,	24,53055	2,146601	15,	31,	39,31091	4,62875	23,	51,	123,3225	4,814565	108,	134,	114,389	5,536995	104,	131,	129,9621	5,679296	119,	147,	150,6303	5,123225	137,	166,	53,28983	2,223208	46,62021	57,55518	2,521921	0,2014931	2,61184	3,1264	13,45652	0,5778071	11,7231	12,95854	1	0,0004780193	0,009632762
S01	2	7,488	7,535653	3,3495	21,372	17,68429	17,71514	5,006985	19,68694	19,68694	10,38835	23,47794	1,944616	2,181818	0,889854	2,181818	0,01388889	1,263929	0,279953	0,9817331	68,26038	327,9192	0,4053636	0,89	134,8891	9,718785	110,	154,	-0,7016924	134,8808	134,8457	-0,1898581	9,71241	94,33091	0,006332506	2,543496	129,3275	94,28001	0,5154836	272,4308	374,5766	4,256115	5,349209	1,039977	1,361494	-0,5146233	0,9876431	148,9772	10,42601	124,	169,	137,2541	10,60439	112,	159,	118,4406	8,755163	95,	137,	26,6609	3,195058	17,	39,	31,07002	4,401977	18,	40,	134,8891	9,718785	110,	154,	106,0228	8,325732	85,99999	131,	117,7459	8,418045	95,99999	143,	136,5594	7,813522	118,	160,	57,72208	3,280913	47,87934	65,7778	1,168714	0,3585744	-0,09299052	1,720423	11,67896	0,372928	11,15844	12,79775	1	0,0004780193	0,009410736
S01	3	7,592	7,628469	3,1465	21,1665	17,4324	17,42521	4,793005	18,04021	18,10354	10,60899	26,4565	1,744106	2,354839	0,9099061	2,354839	0,01369863	1,34029	0,2742525	0,9832577	58,45872	328,6098	-21,07003	0,88	121,7068	8,245523	106,	151,	1,132935	121,7087	119,9707	0,9544817	8,259915	68,2262	0,007836501	4,349385	171,7789	65,78001	0,4562301	245,1709	258,7706	4,016231	5,271994	1,880422	1,609066	-0,4358838	0,9731638	138,1578	6,60649	125,	163,	123,3663	8,757878	106,	154,	103,582	10,20658	85,	136,	24,75579	2,90478	17,	37,	38,3672	7,999811	17,	57,	121,7068	8,245523	106,	151,	116,8422	8,280749	91,99999	130,	131,6337	10,21124	101,	149,	151,418	10,80601	119,	170,	52,58058	3,772186	46,0747	63,89714	2,349953	0,7255691	0,1732457	4,137894	12,89135	0,7534695	10,63094	14,5931	1	0,0004780193	0,008623568
S01	4	8,008	8,054503	3,3495	22,194	18,52066	18,62201	5,178552	21,05922	21,00644	12,23632	28,46254	1,917646	2,333333	0,9067708	2,333333	0,01298701	1,295974	0,2808741	0,9822766	67,49519	376,9724	-11,26169	0,91	114,3382	6,915595	100,	140,	0,9508603	114,3357	113,9277	0,7980622	6,919617	47,8811	0,007830077	4,346125	214,6057	46,8051	0,4213525	230,6255	182,8743	3,908862	5,189284	1,666383	1,578148	-0,4049215	0,9634609	132,2136	5,828941	117,	154,	115,4329	7,510192	98,	145,	95,40015	8,075344	80,	124,	23,33382	2,366422	13,	34,	42,52478	6,407578	22,	58,	114,3382	6,915595	100,	140,	122,7864	7,262151	101,	138,	139,5671	9,85569	110,	157,	159,5999	9,533284	131,	175,	49,63739	3,589419	42,90823	60,40564	3,215225	0,9763107	-0,2862936	4,699155	13,48797	0,3784091	12,35275	13,09711	1	0,0004780193	0,01006671
S01	5	7,696	7,881914	3,451	21,783	17,95981	17,92813	5,000269	19,63416	19,83472	10,54897	25,98061	2,098874	2,176471	0,8916394	2,176471	0,01351351	1,307125	0,2591529	0,9646769	67,75931	329,7105	-6,17832	0,9	121,2744	5,5019	106,	141,	0,01763189	121,2857	123,2246	-0,3043734	5,519485	30,46471	0,01388951	2,18481	386,4921	29,14432	0,6020293	244,1882	114,3924	3,728982	4,705109	1,174658	1,308747	-0,4659476	0,9708911	140,1368	4,32381	125,	154,	121,7776	6,181765	103,	146,	101,9216	7,360768	86,	127,	22,1888	2,527826	12,	37,	40,9096	7,515894	17,	62,	121,2744	5,5019	106,	141,	114,8632	5,045596	101,	130,	133,2224	8,074135	109,	152,	153,0784	8,359469	128,	169,	52,2972	2,816402	45,26542	60,7464	3,82591	1,155487	-0,3594498	6,050725	13,48994	0,7845876	11,13618	12,88499	1	0,0004780193	0,009385507
S01	6	7,592	7,822913	3,045	20,7555	17,271	17,26973	4,524669	16,07679	16,47792	11,16018	28,60029	2,137256	2,433333	0,9321687	2,433333	0,01369863	1,476255	0,303329	0,958818	49,08281	334,3276	-36,73601	0,86	129,2205	10,44351	110,	159,	-0,5460966	129,2352	130,1973	0,1319517	10,4323	108,8329	0,005242477	5,449604	116,3822	104,8452	0,4155309	260,3601	413,9315	4,259996	5,608605	2,190822	1,699309	-0,4502205	0,9805908	143,9494	8,80485	125,	168,	130,6667	11,12763	110,	164,	113,019	12,01464	87,	146,	24,67194	3,288667	17,	39,	32,3597	7,293025	16,	54,	129,2205	10,44351	110,	159,	111,0506	8,016876	86,99999	130,	124,3333	11,11111	90,99999	145,	141,981	10,99367	109,	168,	55,33978	3,966845	47,23574	67,24031	2,015314	0,09156457	-1,74062	2,085271	11,37527	1,209102	9,853924	15,00258	1	0,0004780193	0,007685015
S01	7	7,8	7,806623	3,248	21,5775	17,93618	17,95403	4,976015	19,44415	19,37026	11,10326	27,58174	1,897677	2,34375	0,9057239	2,34375	0,01333333	1,316427	0,2601088	0,9871427	62,92305	346,5799	-12,56279	0,9	121,6034	8,667454	104,	143,	-0,5580372	121,6025	123,2246	0,1588567	8,668763	75,14745	0,004083114	6,47952	142,1028	76,63037	0,3309919	245,0631	300,042	4,194741	5,682594	2,052303	1,720968	-0,3907588	0,9678282	139,1963	7,710954	125,	162,	123,2609	9,38946	104,	148,	102,3619	9,840523	80,	123,	24,42973	2,868318	11,	33,	40,69144	7,718927	20,	63,	121,6034	8,667454	104,	143,	115,8037	7,60124	92,99999	130,	131,7391	8,246371	107,	151,	152,6381	7,453964	132,	175,	52,62304	3,093892	45,41398	61,90472	2,652798	0,6547081	1,06351	4,616923	13,67271	0,9931259	15,11451	16,65208	1	0,0004780193	0,009294678
S01	8	8,008	8,205463	3,5525	22,605	19,02444	18,95859	5,314347	22,17816	22,29427	11,94258	27,30739	2,098201	2,2	0,896201	2,2	0,01298701	1,298446	0,298795	0,9642052	74,44884	378,2502	0,2065609	0,93	102,4697	9,616708	70,	129,	0,4645992	102,4762	104,166	-0,2799631	9,611461	92,38017	0,003565024	12,10301	54,40533	91,63815	0,2957862	206,6438	354,4496	4,279778	5,994064	4,691213	2,047222	-0,3471658	0,9588439	116,7791	9,531096	82,	141,	103,0791	10,54323	66,	130,	87,55487	9,848028	60,	120,	22,96455	7,437178	0,	253,	37,35583	8,401005	11,	57,	102,4697	9,616708	70,	129,	138,2209	11,59304	114,	173,	151,9209	12,35969	125,	189,	167,4451	10,81504	135,	195,	44,49009	5,012002	29,45409	55,05591	2,743305	1,025862	2,372687	5,82089	10,75117	1,503374	6,241054	6,906628	1	0,0004780193	0,01060159
S01	9	8,1624	8,195597	3,7555	23,2215	19,09534	19,01636	5,32193	22,24149	22,39983	11,46847	28,97667	2,096036	2,121206	0,8979092	2,081081	0,01274135	1,304418	0,2699952	0,983979	81,54476	374,9995	-47,32429	0,9	122,0536	4,345052	111,	135,	-0,3898373	122,074	123,2246	0,02756902	4,346937	18,89586	0,01367833	1,901876	664,5327	18,5674	0,5461842	246,2121	72,3677	3,534481	4,538445	0,7523701	1,230214	-0,4138088	0,9520145	140,8668	4,825703	126,	156,	123,5378	4,913956	109,	139,	101,7273	4,534931	89,	114,	23,87637	1,935748	17,	30,	42,46978	5,07963	26,	56,	122,0536	4,345052	111,	135,	114,1332	5,044418	98,99999	129,	131,4622	5,154081	116,	146,	153,2727	4,242442	141,	166,	52,845	1,965135	47,09779	58,74041	3,09023	0,2515618	2,335545	3,388878	14,37212	0,4491142	13,64913	15,71946	1	0,0004780193	0,01063186
S01	10	7,012611	7,18535	2,7405	18,906	16,0882	16,18656	4,392005	15,14786	15,10564	9,73046	23,02098	1,60194	2,497369	0,9195791	2,481482	0,01483042	1,359532	0,3154145	0,9642292	45,28439	291,2551	8,28898	0,94	116,4432	3,281846	108,	126,	-0,2175022	116,44	115,7871	-0,1351914	3,290365	10,8265	0,02502616	1,846517	1122,844	10,39635	0,6122326	234,5761	39,7389	3,199492	4,135433	0,9588729	1,245582	-0,3802267	0,9254798	135,957	3,081201	128,	142,	117,7508	3,678366	108,	128,	95,64719	4,123761	87,	112,	23,44322	1,906807	15,	30,	45,62624	4,724194	24,	57,	116,4432	3,281846	108,	126,	119,043	2,652328	113,	127,	137,2492	3,416394	127,	147,	159,3528	5,450938	143,	168,	50,6485	1,252444	46,97769	54,40583	3,479902	0,3517156	2,58448	4,535049	14,79657	1,390741	10,62434	14,69726	1	0,0004780193	0,007240969
