Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,28	7,321013	2,842	19,9335	16,4917	16,49273	4,457323	15,60177	15,72844	9,938815	25,34161	1,687346	2,5	0,9192789	2,5	0,01428571	1,38702	0,2879921	0,982446	47,33166	300,0403	13,63781	0,9	123,7812	6,444792	108,	140,	-0,6254638	123,7875	127,2324	0,05151145	6,484921	42,05419	0,009765443	2,735806	283,4592	41,28965	0,5031762	249,3777	162,4228	3,839202	4,92404	1,125877	1,396757	-0,4576977	0,9727305	140,234	5,652043	125,	156,	124,9556	6,955877	106,	143,	106,1658	7,583987	92,	128,	23,63922	2,806681	14,	34,	36,47887	5,95835	18,	51,	123,7812	6,444792	108,	140,	114,766	5,255325	98,99999	130,	130,0444	6,318527	112,	149,	148,8342	7,278084	127,	163,	53,27177	2,346574	46,23205	60,13311	2,68888	0,8314183	2,25584	5,183135	12,38657	0,8861294	9,728185	10,65053	1	0,002655338	0,04142798
S01	2	7,072	7,130074	3,1465	20,139	16,34414	16,30107	4,558707	16,31958	16,31958	8,676996	22,10738	2,093252	2,193548	0,8912331	2,193548	0,01470588	1,30239	0,3010735	0,9799337	56,3896	274,0642	-1,566672	0,88	125,8108	13,06531	106,	152,	-1,020395	125,8322	112,0957	0,4160264	13,04202	170,0943	0,00416563	7,517316	64,61253	176,5727	0,3756776	254,3528	698,7738	4,444468	5,828034	2,980969	1,846888	-0,4572245	0,9840711	142,7742	14,04457	120,	173,	127,5137	14,44341	105,	158,	107,12	11,33984	87,	130,	24,50254	3,40722	17,	36,	37,85147	5,479115	19,	52,	125,8108	13,06531	106,	152,	112,2258	10,07528	81,99999	135,	127,4863	10,16209	96,99999	150,	147,8799	7,62665	125,	168,	54,23367	3,825261	45,33739	65,70946	2,413859	0,4861183	0,955504	2,887952	13,21163	1,142713	12,30962	16,63977	1	0,002655338	0,04333401
S01	3	7,488	7,474022	2,9435	20,3445	16,82428	16,86277	4,620214	16,76293	16,66792	10,11779	26,08276	1,586706	2,482759	0,9121775	2,482759	0,01388889	1,343536	0,2723714	0,9898285	51,84031	308,697	-0,1743236	0,94	122,8243	8,421844	105,	145,	-0,6744424	122,8297	124,791	0,2430257	8,414743	70,80791	0,003252714	12,53291	157,7855	70,27892	0,2468853	247,0324	268,5831	4,126064	5,89209	3,800488	2,022164	-0,3119517	0,9416478	139,8646	6,949876	126,	163,	123,4612	9,465571	104,	149,	105,1737	10,54941	83,	133,	22,75564	3,765217	13,	37,	37,07066	9,532808	17,	58,	122,8243	8,421844	105,	145,	115,1354	7,711807	91,99999	129,	131,5388	8,512921	106,	151,	149,8263	9,275434	122,	172,	52,80452	3,2273	45,58044	62,48642	3,240227	0,7406688	2,451419	5,462233	12,30436	0,9382779	10,32044	15,11919	1	0,002655338	0,04451125
S01	4	6,681252	6,754023	2,9435	18,7005	15,32274	15,27136	4,269399	14,31394	14,30338	7,59101	19,95359	1,68482	2,215269	0,8905589	2,172414	0,01556594	1,305087	0,3137715	0,9773359	52,51627	235,5625	-24,13866	0,9	114,3361	5,991784	103,	137,	-0,1431464	114,3543	116,9785	0,2530635	5,93563	35,23171	0,008781753	4,656449	305,4531	34,83841	0,4355606	230,2426	134,6972	3,729709	5,039037	1,891428	1,62698	-0,3670155	0,9466657	132,5658	5,78302	122,	154,	115,2751	6,506095	104,	139,	95,13636	7,162438	83,	123,	23,02632	2,586633	10,	35,	42,98086	7,284351	12,	61,	114,3361	5,991784	103,	137,	122,4342	7,144737	101,	133,	139,7249	7,908297	116,	151,	159,8636	9,287883	132,	172,	49,62236	3,044707	45,16876	58,75648	3,41484	0,1695434	2,90621	3,738003	13,62701	1,008923	10,60025	14,4894	1	0,002655338	0,03800835
S01	5	7,072	7,178149	2,842	19,5225	16,27323	16,25319	4,434647	15,44343	15,58066	9,535514	22,82723	1,780462	2,428571	0,9131536	2,428571	0,01470588	1,364362	0,2693191	0,9733707	47,81453	287,1039	4,796831	0,91	126,1092	10,93792	93,	153,	0,01738226	126,1117	131,1387	-0,4654268	10,93557	119,5867	0,003675555	8,207853	75,92354	115,3832	0,3193882	254,5612	453,3249	4,366593	5,871208	2,73463	1,850155	-0,4221861	0,978163	142,3124	10,97615	105,	169,	126,5232	11,91211	92,	155,	109,4486	10,91587	83,	134,	22,24216	3,889797	11,	38,	33,83459	6,567874	14,	47,	126,1092	10,93792	93,	153,	112,6876	12,43747	85,99999	150,	128,4768	11,50775	99,99999	163,	145,5514	8,816208	121,	172,	53,97195	4,640129	40,05157	64,64297	3,149762	0,5060369	1,631651	3,631852	11,49467	1,464291	7,101794	12,87525	1	0,002655338	0,04100753
S01	6	8,033854	8,135372	3,248	21,9885	18,55408	18,64569	5,105353	20,46808	20,60531	12,68833	29,71974	2,288918	2,414019	0,9148331	2,40625	0,01294522	1,338221	0,2900991	0,9756521	64,41971	383,9632	22,30963	0,91	129,8926	8,285488	111,	143,	-1,053578	129,8929	139,9277	-0,4274681	8,291966	68,75671	0,009036472	3,328549	185,6543	66,71565	0,5182126	262,4211	263,5341	3,995038	5,128138	1,567742	1,487809	-0,4578773	0,9759175	148,8533	9,016848	130,	165,	132,4115	9,286587	111,	148,	108,4251	7,245821	90,	128,	25,51135	2,317194	16,	31,	42,16036	4,626779	19,	51,	129,8926	8,285488	111,	143,	106,1467	6,284416	89,99999	125,	122,5885	7,137159	107,	144,	146,5749	6,524966	127,	165,	56,16971	2,698522	48,07414	62,28555	2,31655	0,5826346	3,00701	4,064454	15,2347	0,7857221	12,87754	14,46699	1	0,002655338	0,05434968
S01	7	7,592	7,652517	3,248	21,1665	17,66065	17,76532	4,99758	19,61305	19,54971	10,66035	24,59816	1,714035	2,28125	0,89562	2,28125	0,01369863	1,265302	0,2702955	0,9801677	65,95893	332,8242	-4,830757	0,94	117,3608	6,957986	101,	132,	-0,5851807	117,3606	117,9551	-0,07304054	6,932454	48,05892	0,004712154	7,078332	208,2288	49,20872	0,3370056	236,7383	189,7565	3,969586	5,530229	2,398322	1,780196	-0,3331153	0,9435767	136,7081	6,656528	120,	152,	118,6432	7,863002	101,	136,	96,73022	7,170189	78,	111,	23,49209	2,25648	17,	30,	44,97785	5,699584	26,	60,	117,3608	6,957986	101,	132,	118,2919	5,569359	103,	135,	136,3568	5,881058	119,	154,	158,2698	6,243408	144,	177,	50,99077	2,324341	44,01775	57,49337	3,437475	0,4938613	1,955891	3,936075	14,649	0,4036213	15,64125	15,85987	1	0,002655338	0,05207929
S01	8	7,73712	7,866797	3,654	22,3995	18,43017	18,47606	5,235347	21,52369	21,60813	11,07475	24,98204	2,052759	2,066539	0,8897647	2,055556	0,01344169	1,255648	0,2650769	0,9716947	78,34278	354,1071	32,53613	0,92	120,5789	7,202394	107,	144,	-0,8319245	120,5879	125,7676	0,002800007	7,177142	51,51137	0,009967893	2,376671	226,5802	50,74827	0,5680876	243,4406	200,6165	3,921743	4,909313	1,195267	1,320696	-0,4911426	0,979324	138,5336	6,808792	124,	159,	122,1953	7,87726	106,	149,	100,9993	7,402102	86,	126,	24,23567	2,486561	14,	36,	41,54211	4,593648	21,	54,	120,5789	7,202394	107,	144,	116,4664	6,822128	95,99999	131,	132,8047	8,934894	106,	149,	154,0007	8,333572	129,	169,	52,23685	3,245725	45,99509	61,97403	2,785296	0,8553882	-0,2191314	3,854591	13,9177	0,1436984	13,4866	13,87487	1	0,002655338	0,05715268
S01	9	7,8	7,908888	3,1465	21,372	17,96961	18,01055	4,943492	19,19081	19,10636	11,9518	27,93352	1,823897	2,419355	0,9128985	2,419355	0,01333333	1,338781	0,2801411	0,9743785	63,5416	351,4399	35,33699	0,91	119,473	7,137347	100,	136,	-0,2946999	119,4562	124,791	-0,5353819	7,12112	50,71035	0,007905501	3,4905	200,0075	50,24044	0,484736	241,5389	197,4713	3,944077	5,136628	1,581426	1,457374	-0,4363586	0,9711473	137,3954	6,572075	115,	154,	121,156	8,176194	97,	138,	99,86438	7,353198	83,	118,	24,38971	2,888893	13,	34,	41,99265	5,140604	22,	57,	119,473	7,137347	100,	136,	117,6046	7,465139	101,	140,	133,844	8,052007	117,	158,	155,1356	6,045207	137,	172,	51,81688	3,109333	42,48888	58,37248	2,740535	0,7156023	2,68745	4,887341	13,97815	1,101102	10,67484	12,90867	1	0,002655338	0,05095809
S01	10	8,008	8,150189	3,9585	23,427	19,29017	19,33302	5,560333	24,2788	24,34214	11,46735	24,94252	2,270443	1,974359	0,870611	1,974359	0,01298701	1,219469	0,2510665	0,9707443	91,82674	373,6226	17,83499	0,9	123,8819	8,5322	100,	142,	-0,06886972	123,9134	128,209	-0,5764741	8,564317	73,34753	0,008307441	3,120712	139,2015	72,34692	0,49705	250,2757	286,267	4,117094	5,263336	1,384478	1,425319	-0,4731234	0,9806538	143,7705	8,945924	119,	163,	125,9501	9,772614	100,	148,	101,9178	7,480137	80,	118,	24,59099	2,530063	12,	36,	45,23798	4,581833	28,	58,	123,8819	8,5322	100,	142,	111,2295	8,256844	91,99999	136,	129,0499	8,650024	107,	155,	153,0822	7,305944	137,	175,	53,78775	3,370471	43,67634	61,89022	2,943261	0,7361901	0,7346911	4,37613	15,60618	0,7675021	14,18465	17,90868	1	0,002655338	0,06446843
