Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,176	7,243203	3,3495	20,55	16,96205	17,00485	4,830719	18,32522	18,34633	9,11627	21,51736	1,741925	2,090909	0,8824847	2,090909	0,01449275	1,249204	0,2913584	0,9788142	65,40175	294,9191	5,477668	0,92	136,4552	14,11965	101,	157,	-0,7304738	136,4692	148,1484	-0,503917	14,13581	199,821	0,003762164	6,898275	53,45704	194,3981	0,3725434	276,1371	770,6942	4,519795	5,858281	2,814278	1,767891	-0,4863911	0,9883489	151,9165	16,33601	116,	176,	138,9854	15,49942	100,	161,	118,457	11,34601	86,	136,	26,42427	4,233482	9,	45,	33,36489	6,654839	11,	50,	136,4552	14,11965	101,	157,	103,0835	11,97217	78,99999	139,	116,0146	12,99512	93,99999	155,	136,543	10,81899	119,	169,	58,45916	4,984375	43,50603	66,89825	1,371778	0,8739991	1,380409	3,993775	12,74162	0,8141661	10,29912	15,01086	1	0,0001657698	0,003037769
S01	2	6,344	6,444343	2,7405	17,673	14,74805	14,70804	4,02801	12,74109	12,77276	7,727043	18,56532	1,595108	2,259259	0,9106262	2,259259	0,01639344	1,358277	0,3024042	0,9725972	42,54736	231,8895	-21,98704	0,85	109,1866	5,929546	93,	129,	0,1362097	109,1832	108,9141	0,1844321	5,935009	35,22434	0,01146078	1,995495	252,8085	34,34359	0,5491443	220,1847	135,3788	3,797551	4,738196	0,8300033	1,263968	-0,4877188	0,9761832	124,4248	5,948908	109,	138,	109,5724	6,463047	93,	131,	93,57381	6,204492	78,	119,	22,11839	2,865828	14,	35,	36,53761	5,194337	15,	46,	109,1866	5,929546	93,	129,	130,5752	5,141586	117,	146,	145,4276	7,14253	124,	162,	161,4262	8,475403	136,	177,	47,20604	2,611034	40,62187	55,03914	3,089412	0,8786695	0,4534035	3,927128	11,068	1,214466	7,424605	11,0176	2	0,0001791075	0,002282025
S01	3	7,28	7,311598	3,248	20,55	16,90498	16,9834	4,798611	18,08243	18,01909	9,345698	22,82571	1,627303	2,1875	0,8911046	2,1875	0,01428571	1,257473	0,2824964	0,9837111	62,37897	301,0109	8,802532	0,9	129,6529	12,46631	93,	154,	-0,5354322	129,6617	124,1016	-0,198081	12,46714	155,4297	0,002228646	19,65926	55,59023	158,255	0,2122706	261,2556	613,3605	4,530852	6,31794	6,13321	2,234455	-0,373992	0,9722768	143,9974	12,84869	107,	169,	131,0859	13,82148	91,	159,	113,9334	11,75421	78,	138,	24,73444	4,462769	11,	38,	31,02016	6,643324	16,	52,	129,6529	12,46631	93,	154,	111,0026	12,33245	85,99999	148,	123,9141	13,36196	95,99999	164,	141,0666	11,9778	117,	177,	55,48008	5,211571	39,84537	65,80023	1,942245	0,7754504	0,06463163	4,268596	11,04667	0,408843	9,905154	12,2732	1	0,0001657698	0,002997521
S01	4	7,384	7,370208	3,248	20,7555	17,15687	17,14235	4,845999	18,44133	18,40966	9,879995	23,68758	1,717454	2,21875	0,8924338	2,21875	0,01408451	1,270018	0,2483172	0,9898297	64,56596	306,8033	-20,69421	0,93	118,9599	11,98626	96,	147,	-1,160761	118,9667	127,0547	0,05659719	11,9897	143,7529	0,003058654	13,52798	65,06441	143,7495	0,2320976	239,1129	561,4703	4,393146	5,993177	3,804614	2,02143	-0,3976602	0,9741344	134,5764	11,22512	109,	160,	119,6926	13,19395	95,	149,	102,567	12,29103	80,	135,	23,07173	3,8636	12,	36,	35,47908	7,028204	16,	53,	118,9599	11,98626	96,	147,	120,4236	8,525475	94,99999	146,	135,3074	9,769142	106,	160,	152,433	10,81099	120,	175,	51,20444	3,688065	41,23966	62,26864	2,831526	0,4052261	1,615848	3,038469	11,51119	0,8879188	8,847436	10,66054	1	0,0001657698	0,003057016
S01	5	6,968	7,014795	3,248	20,139	16,45827	16,41208	4,657884	17,03738	17,0585	8,59063	20,29552	1,742872	2,09375	0,884046	2,09375	0,01492537	1,265002	0,2696429	0,98139	60,80944	276,4501	8,580927	0,91	119,2552	11,87473	93,	143,	-0,9091656	119,2672	108,0703	0,03937999	11,87898	141,1102	0,003597382	5,280401	62,54296	140,493	0,3913189	241,397	556,6918	4,46301	5,823307	1,971293	1,66865	-0,4665859	0,9854428	135,0702	13,55987	107,	162,	120,5313	12,9767	93,	146,	102,1584	9,643924	78,	121,	23,79127	3,244332	11,	34,	36,40228	5,552351	18,	51,	119,2552	11,87473	93,	143,	119,9298	9,356732	92,99999	148,	134,4687	9,177098	109,	162,	152,8416	8,052815	134,	177,	51,47379	3,685393	40,41761	61,32463	2,487867	0,2042978	1,874973	3,061164	12,13284	1,099944	10,70262	15,43267	1	0,0001657698	0,002824284
S01	6	6,616973	6,634113	3,1465	18,906	15,51756	15,60779	4,460338	15,62288	15,53843	7,617905	18,22774	1,820848	2,052411	0,8795457	2,032258	0,01571715	1,226343	0,2647993	0,9854283	60,10194	244,5355	-26,9751	0,94	137,7605	19,52089	74,	169,	0,7939999	137,7688	146,8828	-0,9431764	19,52397	381,1854	0,002637654	6,837777	15,73714	371,3458	0,3129697	279,22	1478,546	4,830701	6,147035	2,104736	1,709406	-0,5376641	0,9945419	152,2877	20,37083	83,	185,	139,9655	21,10689	70,	172,	121,0209	17,45866	65,	151,	26,44979	10,74362	3,	241,	31,03243	5,097375	12,	47,	137,7605	19,52089	74,	169,	102,7123	23,09588	69,99999	172,	115,0345	23,32183	82,99999	185,	133,9791	18,67364	104,	190,	58,81689	9,312067	30,88069	70,90793	1,372381	1,073309	1,168591	4,592307	11,78962	2,244832	5,05512	12,48752	1	0,0001657698	0,002589802
S01	7	6,656	6,751211	2,842	18,495	15,47029	15,44211	4,239382	14,11337	14,19782	8,271177	20,0487	1,696646	2,285714	0,9068807	2,285714	0,015625	1,349249	0,307688	0,9740475	46,16282	253,447	-14,31651	0,87	136,1927	11,5719	115,	159,	-1,04157	136,1938	127,8984	0,25401	11,57483	133,9767	0,004512473	4,237972	99,6712	134,0096	0,4334261	275,1587	531,8006	4,376661	5,630184	1,64206	1,587983	-0,4859726	0,9864407	151,7382	13,34666	129,	179,	138,5406	12,68204	113,	163,	118,2933	9,223316	97,	138,	25,94182	3,187329	12,	39,	33,33091	5,057798	11,	42,	136,1927	11,5719	115,	159,	103,2618	9,08728	75,99999	126,	116,4594	8,513527	91,99999	142,	136,7067	7,097773	117,	158,	58,31848	3,21077	48,68617	67,73447	1,524458	0,6694779	1,758012	3,532892	12,63551	0,8254153	11,1769	15,11175	1	0,0001657698	0,002339571
S01	8	6,656	6,774222	2,9435	18,7005	15,66512	15,76758	4,475381	15,72844	15,58066	8,342758	18,28619	1,659131	2,206897	0,886718	2,206897	0,015625	1,241388	0,3058777	0,9707388	55,20705	257,8864	3,849485	0,93	144,277	16,23085	104,	169,	-0,8272544	144,2838	165,0234	-0,4087057	16,2301	263,4161	0,003395744	5,486339	42,86976	258,2593	0,359438	292,129	1027,551	4,679711	5,919533	1,744334	1,646439	-0,5261254	0,9926688	162,0546	17,24762	120,	188,	147,6097	17,46961	103,	173,	123,1885	14,24582	88,	147,	27,10402	3,049617	11,	34,	37,30793	3,818349	18,	48,	144,277	16,23085	104,	169,	92,94541	14,0182	66,99999	135,	107,3903	14,86989	81,99999	152,	131,8115	11,72949	108,	167,	61,80875	5,670052	44,79859	71,34071	1,329447	0,9647749	1,166099	4,223772	14,8761	1,304385	10,96294	15,32197	1	0,0001657698	0,002607301
S01	9	7,384	7,367298	3,1465	20,55	16,7338	16,80498	4,693819	17,30128	17,18517	9,028126	24,39916	1,738742	2,290323	0,8932761	2,290323	0,01408451	1,287764	0,2832283	0,9902206	59,24386	290,6209	-10,02971	0,92	138,5614	13,87006	108,	162,	-1,134908	138,5718	157,0078	-0,1889722	13,87123	192,411	0,002156209	24,30685	60,96708	194,3039	0,193793	279,1966	752,9088	4,539036	6,335878	7,591988	2,331853	-0,3685015	0,9710079	155,776	13,49737	125,	179,	140,7029	15,54097	107,	166,	119,1912	13,34324	90,	141,	25,54452	3,973506	14,	40,	35,86129	5,870636	22,	53,	138,5614	13,87006	108,	162,	99,224	10,25866	75,99999	130,	114,2971	11,2343	88,99999	148,	135,8088	9,730392	114,	165,	59,29172	4,276125	46,46334	68,59104	2,065474	0,7408209	0,57893	4,287937	13,54004	0,4589716	12,16313	14,65401	1	0,0001657698	0,00286803
S01	10	6,864	6,932846	2,7405	19,1115	15,76945	15,66205	4,217128	13,96559	14,1556	8,588926	22,22101	1,784816	2,444444	0,9171795	2,444444	0,01515152	1,416772	0,3417763	0,9781697	42,76217	266,1955	-9,780329	0,89	140,5069	12,88643	118,	170,	-0,9392743	140,5194	129,1641	0,4343104	12,87976	165,8883	0,003773701	8,828192	82,81612	170,1324	0,2892958	283,8564	671,7016	4,439244	5,861248	2,655132	1,852066	-0,4611843	0,9849886	156,0487	14,00099	135,	188,	142,7878	13,6584	117,	174,	122,7291	11,54336	101,	148,	25,96629	2,883099	17,	42,	32,28339	4,896782	17,	42,	140,5069	12,88643	118,	170,	98,95131	10,65044	66,99999	120,	112,2122	10,40408	80,99999	138,	132,2709	8,423637	107,	154,	59,95853	3,888448	50,46778	71,62387	1,554462	0,921063	0,7778012	4,317651	12,47145	0,9000537	11,40358	15,17161	1	0,0001657698	0,002315074
