Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	7,592	7,72286	3,1465	21,1665	17,60359	17,63123	4,794407	18,05076	18,31466	11,41684	26,47285	2,129724	2,354839	0,9143338	2,354839	0,01369863	1,365944	0,2986957	0,97124	56,10741	340,7015	-7,574165	0,85	147,5483	15,79444	104,	169,	0,4988091	147,5574	154,8672	-1,146434	15,81083	249,9822	0,004643971	4,984791	45,30006	244,0971	0,3837747	298,4524	971,4036	4,503325	5,701514	1,695326	1,625373	-0,5190012	0,9907635	164,5573	16,81531	118,	187,	151,4249	17,2507	102,	175,	126,6798	13,83918	89,	146,	28,28623	3,518461	14,	40,	36,08497	4,827895	19,	46,	147,5483	15,79444	104,	169,	90,44275	15,51908	67,99999	137,	103,5751	16,47495	79,99999	153,	128,3202	12,55993	109,	166,	63,1325	6,2638	44,3411	71,75816	0,7384465	1,130253	-0,4405099	4,129206	14,79514	1,700631	9,693245	16,43671	
S01	2	8,112	8,307019	3,3495	22,3995	18,82961	18,9678	5,191514	21,16478	21,40757	12,66119	29,51342	2,648782	2,363636	0,9091769	2,363636	0,01282051	1,332891	0,2834334	0,9647865	67,46507	387,8475	7,634273	0,89	133,2466	14,56228	100,	161,	-0,8332833	133,2536	146,0078	-0,294233	14,55814	211,9393	0,002820482	7,70629	47,81266	213,5347	0,3168088	269,6618	846,4326	4,642718	6,07866	2,445176	1,805077	-0,4742867	0,9885141	150,5709	15,72355	114,	181,	135,5731	15,92222	101,	165,	113,5644	12,6051	85,	138,	25,52509	3,312442	13,	37,	37,62182	5,532535	20,	51,	133,2466	14,56228	100,	161,	104,4291	12,1903	73,99999	141,	119,4269	11,52436	89,99999	154,	141,4356	9,521449	117,	170,	57,30042	4,577866	43,56683	68,43791	1,997576	0,1824561	1,450207	2,390445	13,89332	0,9790996	10,95602	16,11807	
S01	3	7,072	7,0948	3,045	19,728	16,29687	16,3022	4,515748	16,01345	16,07679	8,877971	22,41013	1,812743	2,266667	0,9039705	2,266667	0,01470588	1,319621	0,2808709	0,9848058	52,13228	284,2367	-5,66093	0,89	118,8585	10,28152	103,	147,	-0,1511647	118,8528	110,8984	0,7774963	10,30962	106,2883	0,005451428	4,942729	98,04981	109,2896	0,4118013	239,6542	432,2152	4,225688	5,547752	1,884084	1,642536	-0,4444331	0,9787741	133,5857	10,93134	118,	164,	119,4504	11,19938	101,	151,	103,5465	9,425436	88,	130,	22,54649	3,197025	14,	32,	32,8657	5,450995	18,	45,	118,8585	10,28152	103,	147,	121,4143	10,13809	90,99999	137,	135,5496	10,51653	104,	154,	151,4535	8,817843	125,	167,	51,06617	3,991973	44,03653	63,04209	2,719635	0,6146908	1,26157	4,563707	10,73123	0,690266	9,867404	12,80202	
S01	4	8,424	8,494774	3,5525	23,427	19,63255	19,73039	5,488553	23,656	23,62433	13,43365	30,9137	2,171855	2,314286	0,9036644	2,314286	0,01234568	1,296397	0,2462493	0,9797494	76,84236	418,9452	1,839501	0,9	125,2584	7,323217	109,	143,	-0,6855357	125,2827	125,9922	0,2631305	7,304867	53,36108	0,006090911	3,318091	222,6871	53,58612	0,4523816	252,9311	211,0264	4,012459	5,263029	1,209918	1,456645	-0,4281067	0,9711424	142,5218	8,081875	125,	162,	127,3683	8,323015	108,	147,	105,892	6,353968	89,	120,	25,21162	2,774771	13,	33,	39,40746	4,747582	22,	51,	125,2584	7,323217	109,	143,	112,4782	6,492737	92,99999	130,	127,6317	6,543907	108,	147,	149,108	5,630651	135,	166,	54,14295	2,476373	46,71942	61,57207	2,207279	0,4476817	1,1741	3,550324	13,78984	0,8489199	13,11115	16,3366	
S01	5	7,904	7,96275	3,3495	22,194	18,46359	18,53202	5,178552	21,05922	20,99588	11,47926	27,16354	1,940491	2,30303	0,9017404	2,30303	0,01315789	1,288	0,2541838	0,9806913	68,86755	368,3463	3,048668	0,91	120,1241	8,824965	106,	149,	-0,1021174	120,1329	117,1328	0,7392964	8,841216	78,1671	0,00516132	5,108295	145,7429	77,6096	0,4076145	241,7243	305,3302	4,114642	5,548121	1,985013	1,665805	-0,3952362	0,9669379	138,0146	8,145805	124,	167,	121,4321	9,889234	104,	152,	100,9175	9,302044	85,	130,	23,78467	2,857112	15,	35,	41,01387	6,547999	22,	59,	120,1241	8,824965	106,	149,	116,9854	9,661804	87,99999	131,	133,5679	10,1893	103,	151,	154,0825	9,694165	125,	170,	51,97543	3,867072	45,41647	63,57664	2,996105	0,6301897	1,886906	4,886674	13,59527	0,02586492	13,59017	13,67286	
S01	6	7,176	7,155248	3,1465	20,139	16,5724	16,50974	4,636189	16,87904	16,83682	8,757206	22,85002	1,662341	2,225806	0,89764	2,225806	0,01449275	1,294639	0,2747736	0,9908462	56,52555	288,564	-9,607092	0,94	138,1208	8,857355	116,	158,	-0,4902673	138,1372	137,1484	-0,186362	8,849202	78,30837	0,003427545	11,21363	167,0096	81,02183	0,2873931	278,1109	312,8738	4,226363	5,900652	3,852596	1,991519	-0,3414712	0,9549559	155,8744	9,036319	134,	176,	140,7248	10,35088	114,	164,	117,7862	8,10471	96,	138,	25,99904	3,333351	15,	35,	37,57431	5,173211	24,	53,	138,1208	8,857355	116,	158,	99,1256	7,291463	78,99999	121,	114,2752	8,908279	90,99999	141,	137,2138	7,262064	117,	159,	59,27581	3,281153	49,43235	67,73664	1,88022	1,001191	0,04884762	4,883794	14,31544	0,4787509	12,87919	15,07547	
S01	7	7,8	7,952567	3,045	21,372	17,85548	17,92934	4,781774	17,95576	18,46244	12,2393	29,31193	2,422269	2,5	0,9265777	2,5	0,01333333	1,412749	0,281029	0,9690267	52,4167	367,9826	10,03933	0,83	118,4818	7,061053	96,	138,	0,7823125	118,5183	122,0547	-0,461481	7,062459	49,87834	0,01066069	2,404831	192,0283	48,238	0,5374573	238,9594	190,5471	3,930473	4,966597	1,071754	1,337096	-0,4838415	0,9787705	134,4165	6,474545	114,	151,	119,4755	7,730027	94,	141,	101,5708	7,563908	80,	126,	23,42015	2,623796	15,	33,	36,5853	5,228999	17,	53,	118,4818	7,061053	96,	138,	120,5835	6,805509	104,	141,	135,5245	8,491832	114,	161,	153,4292	8,143077	129,	175,	51,10641	3,21132	41,47245	59,09947	2,73534	1,020168	1,091866	5,795845	11,95368	0,8717607	9,338397	11,0626	
S01	8	7,176	7,174979	3,045	19,9335	16,60582	16,57257	4,608562	16,67848	16,72071	9,424647	22,8093	1,898584	2,3	0,9040321	2,3	0,01449275	1,315498	0,2293062	0,9881214	54,58339	295,1806	11,47873	0,93	130,2571	11,74474	104,	152,	-0,8530133	130,2639	128,9453	-0,1711549	11,74984	138,0587	0,002262884	21,02481	76,50015	143,1183	0,1980791	262,334	551,4489	4,436248	6,249312	6,439843	2,245247	-0,3503785	0,9641984	147,0857	11,89435	115,	170,	132,2639	13,63364	100,	157,	111,4031	11,01363	86,	133,	25,2035	4,563576	8,	39,	36,94839	7,623837	14,	57,	130,2571	11,74474	104,	152,	107,9143	10,69523	84,99999	140,	122,7361	10,75462	97,99999	155,	143,5969	8,467708	122,	169,	56,02943	4,207909	43,4057	65,24216	2,12593	0,4810641	0,7713854	3,569122	13,31078	1,055616	10,14393	14,28442	
S01	9	6,968	7,17537	2,7405	19,1115	16,22596	16,311	4,404231	15,23231	15,42232	10,1924	22,3678	1,919511	2,481482	0,9226428	2,481482	0,01492537	1,375248	0,3084819	0,9594279	44,85495	301,4739	-1,929387	0,85	123,6267	5,896667	107,	140,	0,7032441	123,6577	121,0703	0,3611528	5,87846	34,5563	0,01600672	2,274765	332,5456	34,52875	0,5518904	249,7512	135,8402	3,665848	4,651794	1,017087	1,337416	-0,4632286	0,9692548	141,0485	6,571321	122,	160,	125,3822	6,977033	106,	142,	104,4405	4,873692	89,	122,	24,47467	2,608516	15,	32,	39,5022	4,480139	26,	53,	123,6267	5,896667	107,	140,	113,9515	6,349487	94,99999	133,	129,6179	6,460714	113,	149,	150,5595	5,853159	133,	166,	53,42729	2,521775	45,86197	60,09122	2,515808	0,3128552	3,453182	3,454374	13,61277	0,5786931	11,87669	13,12332	
S01	10	7,384	7,538331	2,842	19,9335	16,77701	16,8755	4,527639	16,0979	16,30902	11,03333	25,7624	1,9893	2,535714	0,9247341	2,535714	0,01408451	1,391188	0,293041	0,9677541	47,13734	321,2904	-11,92793	0,89	131,6307	6,50821	108,	143,	1,111539	131,6176	134,8516	-0,9482611	6,524614	42,57059	0,009891924	3,174726	289,8611	40,374	0,4855835	265,9747	158,3214	3,803893	4,956334	1,290894	1,466118	-0,4164433	0,9624092	148,2531	6,518949	124,	161,	133,8313	7,490051	106,	149,	112,7953	6,331962	92,	128,	25,50309	2,743679	17,	33,	36,53189	4,550797	20,	47,	131,6307	6,50821	108,	143,	106,7469	8,084363	93,99999	131,	121,1687	9,277089	106,	149,	142,2047	6,931757	127,	163,	56,59559	3,488105	46,13128	62,19444	1,925608	0,9458039	0,8788133	4,76302	13,31889	0,941425	10,49461	12,69718	
