Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	7,384	7,404172	2,842	19,9335	16,71995	16,72957	4,491871	15,84456	15,90789	10,77925	26,22427	1,663309	2,535714	0,927772	2,535714	0,01408451	1,403834	0,2646309	0,985289	45,95005	319,3774	-18,89332	0,91	123,5766	7,255831	109,	140,	-0,8262142	123,5795	126,1113	0,01577966	7,267594	52,81792	0,006319388	4,541243	225,2044	52,98167	0,4156575	249,5356	207,3854	3,976305	5,290283	1,687625	1,605291	-0,4049016	0,965314	136,1404	6,577376	124,	152,	125,1341	7,894764	110,	142,	109,4741	8,013587	89,	126,	25,50792	3,450468	14,	35,	29,28934	5,413492	16,	49,	123,5766	7,255831	109,	140,	118,8596	5,28652	103,	131,	129,8659	5,621966	113,	145,	145,5259	6,824707	129,	166,	53,01683	2,147616	47,18138	59,45968	1,45068	0,1757503	0,923429	1,956481	10,05425	1,226416	9,860959	13,7335	
S01	2	7,384	7,551331	2,9435	20,55	17,41855	17,22197	4,633289	16,85793	17,02683	11,13184	25,38908	1,766049	2,448276	0,9241715	2,448276	0,01408451	1,432009	0,2723194	0,966088	48,81794	334,1552	-3,940889	0,88	127,5078	10,56035	111,	156,	0,209649	127,4986	122,8574	1,000822	10,57274	111,7828	0,005917613	5,585316	108,2296	114,8769	0,3921299	256,82	453,9221	4,184679	5,514668	2,162624	1,693536	-0,4348997	0,9763877	143,7223	10,78786	126,	174,	129,3126	11,74261	110,	163,	109,5485	9,921277	94,	133,	24,75922	3,345517	3,	38,	36,00971	5,930662	8,	49,	127,5078	10,56035	111,	156,	111,2777	10,09256	80,99999	129,	125,6874	11,22913	91,99999	145,	145,4514	7,817152	122,	161,	54,86915	4,10755	47,48933	67,1918	2,149447	0,4717475	-0,9336213	3,564689	12,71135	1,445687	11,23408	17,04842	
S01	3	7,072	7,277966	2,842	19,317	16,47785	16,58733	4,48738	15,81289	15,85511	10,39535	22,69743	1,757091	2,428571	0,9190424	2,428571	0,01470588	1,366205	0,3479259	0,960021	47,70727	306,2014	-5,50699	0,84	121,7443	6,444141	98,	133,	1,162179	121,7341	127,041	-1,004196	6,445979	41,55064	0,007866555	4,771461	236,9925	40,68606	0,3763248	245,9153	157,9727	3,779188	5,114077	1,573863	1,585527	-0,3656802	0,9479389	136,7338	7,120727	109,	150,	123,643	7,560619	97,	136,	104,8257	6,32347	86,	122,	25,67432	7,568638	0,	229,	35,41441	6,800343	6,	49,	121,7443	6,444141	98,	133,	118,2662	9,244603	105,	146,	131,357	8,880992	119,	158,	150,1743	6,275223	133,	169,	52,55125	3,531279	41,95741	57,55697	1,800486	0,3507881	2,822429	2,85285	12,10865	1,362227	8,021971	9,424353	
S01	4	7,111526	7,257078	2,7405	19,317	16,30666	16,32484	4,344306	14,82062	14,95785	9,896919	24,43805	11,02656	2,532594	0,9269274	2,518518	0,01462415	1,427544	0,3585643	0,9681652	43,57098	298,6132	-18,51006	0,88	123,0219	8,469043	106,	153,	-0,6261923	123,0358	131,2246	-0,1386378	8,492535	72,12314	0,00592619	6,976486	161,3025	70,07076	0,3736261	247,1547	273,3065	4,071537	5,476639	2,760782	1,806571	-0,3997697	0,9670538	138,4009	7,197299	124,	162,	123,8272	8,810002	106,	156,	106,8168	10,14367	87,	140,	23,05415	3,227627	11,	37,	33,97581	7,3554	9,	50,	123,0219	8,469043	106,	153,	116,5991	7,866358	92,99999	131,	131,1728	10,72428	98,99999	149,	148,1832	11,06106	115,	168,	52,8039	3,880278	46,01706	64,44473	2,688135	0,6799491	-0,6482881	4,001807	11,32898	0,7243916	9,155804	13,31163	
S01	5	7,904	7,991913	3,045	21,372	18,02667	18,16602	4,948927	19,23303	19,22248	12,49499	28,68693	1,90021	2,533333	0,9190866	2,533333	0,01315789	1,34434	0,2922144	0,9771128	57,66236	368,3181	11,2493	0,94	123,1904	11,27309	98,	153,	-0,1694332	123,1901	120,0684	0,4474695	11,27723	127,1758	0,004603652	7,519896	80,0975	121,3722	0,3825351	248,0251	477,9691	4,371256	5,842048	3,126593	1,847154	-0,4272984	0,9788707	138,1846	11,15872	111,	171,	124,8284	12,05342	96,	155,	106,5874	11,29168	85,	135,	24,89134	3,171121	14,	40,	34,62173	6,158184	15,	51,	123,1904	11,27309	98,	153,	116,8154	10,93845	83,99999	144,	130,1716	10,05719	99,99999	159,	148,4126	9,470863	120,	170,	53,05412	3,92971	41,84667	64,84325	1,990875	0,7033691	2,565309	4,100982	11,80948	1,102498	8,501988	12,62428	
S01	6	7,488	7,555885	2,9435	20,55	17,1903	17,10636	4,630386	16,83682	16,94238	10,70151	26,83653	1,718479	2,482759	0,9226554	2,482759	0,01388889	1,396473	0,2519156	0,9791043	51,17234	328,182	-23,99217	0,91	134,8864	8,66899	115,	154,	-0,8100747	134,8851	132,1543	-0,07742751	8,660665	75,00711	0,003109885	14,01449	183,4778	72,43608	0,2256189	271,3229	275,73	4,155273	5,949815	4,201904	2,06252	-0,3010351	0,9373232	150,0087	7,362082	133,	167,	137,1	9,840057	114,	160,	117,5184	10,79538	95,	140,	26,55049	5,216187	7,	49,	33,12719	8,906433	10,	52,	134,8864	8,66899	115,	154,	104,9913	5,669579	87,99999	122,	117,9	7,700002	94,99999	141,	137,4816	7,506144	115,	160,	57,75235	2,813953	49,31049	65,94328	1,521373	0,9316742	-0,9294722	4,316396	12,26125	0,3402472	11,33803	13,28199	
S01	7	7,592	7,601509	2,842	20,55	17,1903	17,13637	4,593955	16,57292	16,60459	11,15687	27,55472	2,167454	2,607143	0,925176	2,607143	0,01369863	1,41871	0,2788371	0,9867449	47,83646	331,9828	1,902373	0,89	122,883	7,916854	107,	146,	0,5082678	122,8862	118,209	0,9112478	7,914423	62,63808	0,008749438	3,961497	176,764	65,12728	0,46521	247,9358	256,5478	3,993884	5,226703	1,674448	1,560512	-0,4344811	0,9721321	138,923	9,275691	115,	164,	124,308	8,744798	107,	151,	105,418	6,633242	94,	126,	24,116	2,571882	16,	32,	36,153	5,476821	20,	51,	122,883	7,916854	107,	146,	116,077	8,359001	90,99999	140,	130,692	8,897342	104,	148,	149,582	6,860667	129,	161,	52,95333	3,333644	45,59086	62,95426	2,407519	0,5858566	0,649949	0,7524208	12,35698	1,314192	8,4144	14,91983	
S01	8	6,864	6,917499	3,045	19,317	16,07841	16,10022	4,552805	16,27735	16,23513	8,588736	20,28186	1,619638	2,2	0,8912224	2,2	0,01515152	1,263654	0,2658797	0,9803399	56,22564	271,2117	-8,776398	0,93	121,1897	6,433985	106,	139,	-0,4741606	121,1855	123,7871	0,1912076	6,43807	41,44875	0,006401107	6,596841	280,0937	40,24705	0,3661608	243,6579	154,3914	3,861145	5,363952	2,48235	1,770607	-0,3308259	0,9384656	138,7507	5,316598	123,	152,	123,1668	7,218822	103,	143,	101,6495	8,310472	86,	125,	25,05164	3,03985	15,	35,	41,37934	8,210428	21,	60,	121,1897	6,433985	106,	139,	116,2493	5,250242	103,	132,	131,8332	6,722275	112,	152,	153,3505	7,783518	130,	169,	52,5391	2,493652	45,05815	59,70852	2,415748	0,926807	0,2016671	5,196169	13,96258	1,060698	10,78049	12,56616	
S01	9	7,592	7,565686	2,842	20,3445	16,99547	17,02649	4,573426	16,42514	16,4568	10,80713	27,86577	1,720904	2,607143	0,9234893	2,607143	0,01369863	1,399212	0,2825886	0,9914171	48,03181	323,0768	10,79653	0,93	137,6333	10,27204	117,	160,	-0,9413335	137,6268	127,9707	0,2345042	10,26118	105,2919	0,002934273	14,5329	126,6505	108,8871	0,2208703	277,2017	421,0153	4,296279	6,02052	4,073574	2,066813	-0,3445579	0,9583429	155,4586	9,877363	134,	179,	140,6485	11,65107	115,	164,	116,802	10,57108	97,	139,	26,83838	3,617312	16,	38,	38,7697	7,111781	17,	54,	137,6333	10,27204	117,	160,	99,54142	7,847143	75,99999	121,	114,3515	8,549489	90,99999	140,	138,198	7,39933	116,	158,	59,19579	3,155529	49,72921	68,01966	1,608403	0,9480466	1,363381	4,452543	14,75579	0,6837648	12,70449	14,95799	
S01	10	8,008	8,046572	3,1465	21,783	18,131	18,14823	4,89018	18,77913	18,82135	11,67195	30,52822	1,8677	2,483871	0,9220501	2,483871	0,01298701	1,392817	0,2858165	0,9832448	55,1986	367,3359	6,6535	0,89	106,9426	8,048507	93,	134,	0,8807246	106,9274	108,9121	0,9453172	8,050204	64,80579	0,006778051	6,319383	141,132	61,69788	0,421602	215,5423	240,472	3,969775	5,403632	2,761405	1,747039	-0,370819	0,9563225	123,7979	6,924185	111,	147,	106,9743	8,882055	90,	135,	90,04452	9,254226	75,	127,	21,43236	3,356481	11,	39,	40,61815	7,590995	13,	53,	106,9426	8,048507	93,	134,	131,2021	7,734026	108,	144,	148,0257	9,341896	120,	165,	164,9555	12,31849	128,	180,	46,33703	3,600003	39,91503	57,13704	3,801787	0,7844763	3,081615	6,155216	11,94287	2,007562	5,92018	11,90039	
