Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,592	7,553367	3,5525	21,783	17,84569	17,80769	5,100085	20,42586	20,43642	9,913745	23,86241	1,618113	2,085714	0,8797391	2,085714	0,01369863	1,240544	0,237682	0,993034	74,5167	323,0872	17,36339	0,94	125,4619	7,571321	111,	145,	-0,663737	125,4718	124,8828	0,2434382	7,564941	57,22833	0,005491266	5,463974	216,7684	57,09028	0,3856174	252,8337	222,8971	4,03171	5,446449	2,040156	1,681014	-0,3806123	0,9605792	139,6895	6,610677	125,	158,	127,2946	8,127154	107,	148,	109,4265	8,761256	93,	130,	25,59608	3,290452	12,	42,	32,84853	6,039849	19,	47,	125,4619	7,571321	111,	145,	115,3105	6,103493	96,99999	130,	127,7054	6,901787	107,	148,	145,5735	6,857826	125,	162,	53,93864	2,589284	46,53278	61,70649	1,64327	1,035615	0,5773574	4,750114	11,42488	0,3164097	10,47565	10,84639	1	0,0000685526	0,001400247
S01	2	7,696	7,682281	3,248	21,372	17,74135	17,66529	4,892928	18,80024	18,78968	10,67078	26,70639	1,746539	2,3125	0,9057229	2,3125	0,01351351	1,332097	0,2842873	0,989745	60,64675	334,831	10,6687	0,93	123,3868	4,788661	109,	137,	-0,1002253	123,3873	124,8828	-0,2733923	4,774189	22,79288	0,01328502	2,065237	522,9012	22,76295	0,5655608	248,8535	88,98655	3,600623	4,602217	0,9513537	1,27871	-0,432552	0,9597591	140,5777	4,753344	122,	152,	125,3421	5,425381	109,	142,	104,234	5,490714	93,	122,	24,94679	2,545807	10,	32,	39,65541	5,716951	16,	52,	123,3868	4,788661	109,	137,	114,4223	6,192566	103,	133,	129,6579	5,552645	113,	146,	150,7661	5,922018	133,	162,	53,36722	2,190043	46,79709	59,36708	2,314057	0,679156	0,2765887	2,320142	13,64195	0,9466603	10,80197	12,00224	1	0,0000685526	0,001288806
S01	3	8,008	8,108367	3,248	21,9885	18,43996	18,46008	5,021729	19,80306	19,86639	12,5186	30,25639	1,81748	2,40625	0,9205014	2,40625	0,01298701	1,366197	0,2480339	0,9757514	61,56203	381,2192	30,65737	0,9	117,2831	9,063755	103,	140,	-0,5268878	117,2883	114,1016	0,5720525	9,066725	82,20549	0,005272862	4,932046	128,4164	83,24305	0,4127419	236,4001	328,0404	4,144092	5,51751	1,907599	1,6496	-0,4166783	0,972214	131,2895	8,482454	118,	157,	118,291	9,650252	103,	144,	102,2784	9,589714	83,	126,	23,76447	2,983834	14,	36,	32,87074	5,710142	20,	51,	117,2831	9,063755	103,	140,	123,7105	8,570183	97,99999	137,	136,709	8,569654	111,	152,	152,7216	7,907217	129,	172,	50,49808	3,315858	44,48511	60,44566	2,245421	0,1589223	1,768654	2,607695	10,64458	0,9473343	11,31611	13,48658	1	0,0000685526	0,001357552
S01	4	7,072	7,203196	2,9435	19,728	16,52512	16,45921	4,50979	15,97123	16,08735	9,098936	22,90756	1,946823	2,344828	0,9100563	2,344828	0,01470588	1,360432	0,3024807	0,9699861	50,91614	291,3257	-13,35839	0,9	128,8635	12,54706	107,	161,	-0,4737157	128,8779	115,1797	0,6738401	12,53925	157,2328	0,003342762	9,421806	72,04766	161,0794	0,2944536	260,2434	634,8956	4,429018	5,971496	3,166298	1,903846	-0,4199129	0,9788555	143,9111	13,64063	119,	178,	130,5822	13,88767	106,	165,	112,0931	11,0999	94,	144,	25,05067	4,042241	11,	37,	33,13857	6,39734	11,	47,	128,8635	12,54706	107,	161,	111,0889	11,36298	76,99999	136,	124,4178	11,4726	89,99999	149,	142,9069	10,63564	111,	161,	55,29189	4,338118	45,68642	68,30624	1,901623	0,3652284	1,197179	2,997308	11,8405	1,079087	8,603238	12,58733	1	0,0000685526	0,00109487
S01	5	6,76	6,840593	2,9435	18,906	15,91701	15,99532	4,461844	15,63344	15,60177	8,76124	19,94907	1,639739	2,241379	0,9005367	2,241379	0,01538462	1,289419	0,333371	0,9763408	52,08595	272,1648	10,87689	0,89	134,4251	13,97514	103,	158,	-0,7846875	134,426	128,8359	-0,1728823	13,97078	195,1826	0,004274123	3,149387	54,34128	198,8596	0,4843174	271,7469	792,2894	4,569904	5,676458	1,266036	1,455248	-0,5516884	0,9933583	152,7204	15,24712	120,	179,	137,3801	15,52493	101,	164,	113,1969	11,54506	87,	134,	26,21257	3,255572	14,	34,	40,17801	4,485206	18,	52,	134,4251	13,97514	103,	158,	102,2796	10,90681	75,99999	135,	117,6199	12,1267	90,99999	154,	141,8031	8,732285	121,	168,	57,98139	4,588295	44,21651	67,91425	1,796839	1,152691	0,6291552	5,254911	15,07796	1,442469	10,75056	17,56504	1	0,0000685526	0,001071714
S01	6	7,488	7,453842	3,1465	20,7555	17,15687	17,21022	4,829327	18,31466	18,2091	9,938495	24,7969	1,619888	2,322581	0,8962722	2,322581	0,01388889	1,278802	0,2562233	0,9925084	61,97385	311,0753	12,81249	0,95	123,5634	5,842709	111,	149,	1,301988	123,5709	122,0078	0,8758392	5,839281	34,09721	0,01134942	3,141295	372,0812	33,19875	0,5204759	249,0282	129,6537	3,74034	4,89685	1,470438	1,466792	-0,410152	0,9592029	140,2657	4,464715	131,	159,	125,5893	6,080717	112,	152,	104,8326	7,694599	88,	138,	25,29249	2,614719	12,	35,	38,88266	6,422038	16,	58,	123,5634	5,842709	111,	149,	114,7343	6,244753	95,99999	124,	129,4107	8,803566	103,	143,	150,1674	11,0558	117,	167,	53,41901	3,214615	48,40865	63,06286	2,135647	0,6872069	0,07402623	3,623049	13,36341	1,695672	8,276393	16,11479	1	0,0000685526	0,001255518
S01	7	6,864	6,994744	2,9435	19,1115	16,05477	16,11518	4,451288	15,55954	15,61232	9,039572	20,89588	1,990715	2,275862	0,9051726	2,275862	0,01515152	1,318066	0,307245	0,9695137	50,53379	278,8932	-5,355745	0,89	123,0445	3,782176	114,	135,	-0,3237826	123,0452	122,0078	0,3011168	3,778852	14,27972	0,01474672	2,157062	917,8337	14,1737	0,5215026	248,1119	54,53777	3,37629	4,441628	0,8261023	1,275715	-0,3683273	0,9302558	140,0403	3,420359	131,	149,	125,1091	4,370321	115,	140,	103,9979	4,830023	94,	120,	25,29131	2,17432	18,	33,	39,54449	5,126598	24,	52,	123,0445	3,782176	114,	135,	114,9597	3,013415	106,	124,	129,8909	4,963636	115,	140,	151,0021	5,33404	135,	161,	53,24726	1,754351	49,3684	58,51032	2,19046	0,6926181	-0,112606	2,748468	13,60415	0,5689688	11,89724	13,91784	1	0,0000685526	0,001066647
S01	8	7,176	7,150675	3,1465	20,139	16,40121	16,37651	4,591028	16,55181	16,55181	8,508633	22,85834	1,675555	2,225806	0,8924525	2,225806	0,01449275	1,2931	0,2746919	0,9914798	56,55485	277,0746	-5,453822	0,93	128,3717	5,819574	112,	141,	-0,4103259	128,3726	132,0703	-0,4719076	5,813972	33,80227	0,007512711	5,421661	373,8961	33,63209	0,4130234	258,7886	129,1068	3,762174	5,188593	2,188472	1,698575	-0,3325818	0,9347677	145,5332	5,863893	127,	161,	130,5362	6,839038	110,	145,	109,0357	5,797859	93,	121,	25,40634	2,860371	15,	33,	38,43509	4,771899	26,	49,	128,3717	5,819574	112,	141,	109,4668	6,177734	93,99999	128,	124,4638	6,84539	110,	145,	145,9643	5,34522	134,	162,	55,36109	2,598752	47,56483	60,96507	2,113485	0,5718378	2,030479	3,828998	13,71672	0,5901858	11,94616	14,91968	1	0,0000685526	0,00113467
S01	9	7,072	7,225738	3,248	20,55	17,01911	16,89956	4,749336	17,71297	17,89242	9,089851	20,82872	2,158253	2,125	0,8892504	2,125	0,01470588	1,301093	0,3198997	0,9669601	62,01773	294,3211	-9,157243	0,87	128,5136	7,850872	115,	149,	-0,3084121	128,5139	122,0078	0,595404	7,852015	61,65414	0,007827787	3,952199	212,0443	62,6553	0,5053104	259,0172	246,6689	4,05018	5,243551	1,912163	1,571448	-0,4478764	0,9754473	145,0841	7,077702	130,	163,	130,575	8,541198	115,	153,	109,8852	8,589094	96,	132,	25,33816	2,673204	17,	35,	37,13743	5,603953	22,	50,	128,5136	7,850872	115,	149,	109,9159	5,971972	91,99999	125,	124,425	7,474991	102,	140,	145,1148	7,37161	123,	159,	55,3487	2,729295	49,31589	63,53659	2,038033	0,6519919	0,08205707	2,632065	13,20538	0,2808437	12,36284	12,65747	1	0,0000685526	0,001214271
S01	10	7,8	7,779366	3,3495	21,9885	18,09758	17,93488	4,977366	19,45471	19,56027	10,72281	27,17042	1,938263	2,272727	0,9016365	2,272727	0,01333333	1,339498	0,3023006	0,9906012	63,82296	341,0392	2,692042	0,91	128,1286	11,47908	106,	154,	-0,8159738	128,1355	122,0078	0,456518	11,48273	131,8531	0,004884582	4,960684	85,24252	133,3475	0,4494743	258,5214	528,429	4,363076	5,662748	2,24523	1,642418	-0,4695958	0,9844002	146,1837	12,19621	123,	173,	130,9798	12,7157	106,	160,	107,2265	10,01558	88,	132,	26,25728	2,787821	17,	36,	41,64482	4,684647	21,	53,	128,1286	11,47908	106,	154,	108,8163	8,938785	81,99999	132,	124,0202	9,673416	94,99999	149,	147,7735	8,257825	123,	167,	55,50368	3,59336	45,93895	66,28376	1,857131	0,6229003	0,157684	3,725832	14,96092	0,7890453	12,59379	16,32876	1	0,0000685526	0,001333672
