Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	8,32	8,403654	3,3495	22,8105	18,99101	19,06211	5,204445	21,27034	21,30201	12,85793	32,62625	2,09851	2,424242	0,9145747	2,424242	0,0125	1,34911	0,263	0,978146	66,02785	396,1988	-18,69904	0,93	124,9687	5,654034	113,	146,	1,676236	125,0362	124,1875	1,087003	5,653554	31,96267	0,01574203	3,123751	401,8126	31,85389	0,5379104	252,2721	124,2919	3,639556	4,754077	1,573238	1,440095	-0,4017394	0,9530832	139,5459	4,982641	127,	160,	126,9672	6,173681	112,	151,	108,3827	7,011393	96,	132,	25,81341	3,020846	14,	40,	33,97303	6,162752	14,	46,	124,9687	5,654034	113,	146,	115,4541	6,818031	94,99999	128,	128,0328	8,010933	104,	143,	146,6174	7,872454	123,	159,	53,8112	2,975335	48,19053	62,73721	1,606353	0,5292776	0,01852026	3,12708	11,84801	0,2675692	11,0453	11,1999	
S01	2	8,008	8,216492	3,248	21,9885	18,61115	18,61717	5,068357	20,17252	20,2253	12,88848	29,41126	2,198932	2,40625	0,9152576	2,40625	0,01298701	1,366193	0,2849061	0,962911	61,99406	379,9426	-9,477402	0,92	125,3289	6,497282	110,	139,	-0,6982496	125,3955	121,1875	0,0988258	6,49352	42,16581	0,009180466	2,346689	277,3367	43,78287	0,5247644	252,8683	172,7848	3,89322	4,938377	0,979529	1,308319	-0,4697934	0,9755999	141,3599	6,950679	127,	155,	127,8963	7,531242	111,	143,	106,7523	5,745206	92,	123,	26,33669	2,602771	17,	36,	37,79799	4,490971	16,	47,	125,3289	6,497282	110,	139,	113,6401	4,786634	99,99999	128,	127,1037	5,63209	112,	144,	148,2477	5,415899	132,	163,	54,19842	2,125945	47,82059	59,92806	1,562506	0,5099761	1,063263	3,092434	13,35454	0,3643421	12,26151	12,89217	
S01	3	8,112	8,197147	2,9435	21,5775	18,33562	18,45779	4,857082	18,52578	18,568	13,72222	32,31497	1,99559	2,689655	0,9326007	2,689655	0,01282051	1,443912	0,2750524	0,9777182	51,10056	390,8472	7,567573	0,85	117,6792	12,85723	87,	145,	-0,599272	117,7363	126,0625	-0,3807881	12,85978	165,374	0,003773512	4,482822	45,7284	169,1711	0,3870692	237,4224	672,2014	4,541798	5,837639	1,487384	1,556978	-0,4976597	0,9894894	132,6225	12,26653	98,	157,	118,4908	13,60051	85,	148,	101,9067	13,29193	73,	130,	23,17262	3,360343	14,	38,	34,65126	7,404288	18,	57,	117,6792	12,85723	87,	145,	122,3775	11,54084	97,99999	157,	136,5092	11,1636	107,	170,	153,0933	9,63557	125,	182,	50,67095	4,534298	37,06806	61,61936	2,617881	0,8098919	0,1882055	3,202638	11,12308	0,7195044	8,96457	10,71099	
S01	4	6,45379	6,740647	2,639	17,8785	15,28526	15,30463	4,20276	13,87058	13,80725	8,370287	18,65063	1,844368	2,386756	0,9060695	2,384615	0,01611456	1,340221	0,3330486	0,9459359	45,69504	248,2931	14,64158	0,9	122,4289	7,394935	105,	139,	-0,9082068	122,4907	121,1875	0,1441481	7,40154	54,78279	0,005003362	8,303895	201,1336	55,06757	0,3275809	246,7454	211,9663	3,974715	5,50994	3,079406	1,855124	-0,3451963	0,9484818	137,6731	7,278173	117,	153,	123,271	8,555631	97,	142,	106,3183	7,71355	92,	130,	23,34994	4,116649	2,	37,	33,63913	6,273994	8,	49,	122,4289	7,394935	105,	139,	117,3269	6,891045	102,	138,	131,729	8,756978	113,	158,	148,6817	7,893888	125,	163,	52,57084	3,217102	42,91954	59,64404	2,631772	1,518431	1,977986	7,187065	11,28193	1,809284	5,854082	7,859637	
S01	5	7,488	7,67327	3,3495	21,372	17,74135	17,67564	4,912122	18,94802	19,19081	10,47021	24,04555	2,175709	2,181818	0,8981593	2,181818	0,01388889	1,321708	0,2993367	0,9641262	64,07045	328,8553	10,53605	0,88	116,23	5,55091	104,	147,	3,180222	116,2856	120,0625	0,9512811	5,554346	30,85076	0,01644872	2,184859	364,9981	29,71144	0,6009445	234,2641	116,6609	3,626791	4,547862	1,188377	1,2823	-0,469378	0,9687787	133,4558	4,589441	123,	153,	117,2633	6,217548	104,	150,	97,97916	6,818761	84,	137,	23,315	2,662536	13,	35,	40,22917	6,127385	12,	53,	116,23	5,55091	104,	147,	121,5442	6,514725	102,	132,	137,7367	10,91222	105,	151,	157,0208	13,00695	118,	171,	50,3216	3,889552	45,29219	61,99025	3,062824	0,5961158	-1,274476	4,312606	12,94571	1,90163	7,240816	14,08058	
S01	6	7,904	8,022649	3,248	21,783	18,24513	18,25805	4,980066	19,47582	19,60249	12,13676	28,65179	2,091052	2,375	0,9119752	2,375	0,01315789	1,359953	0,289522	0,9733693	60,90571	360,5603	7,564529	0,91	132,2186	7,813287	100,	149,	2,572927	132,2742	136,1875	-1,380168	7,817364	61,11118	0,00951037	2,537148	166,5325	60,40386	0,518277	266,6807	239,0782	3,925849	5,009229	1,060435	1,372233	-0,4679981	0,9762855	147,6089	7,587668	116,	162,	134,7766	8,622803	98,	153,	114,3016	8,144243	84,	136,	26,53629	2,720934	12,	35,	34,68871	5,693935	18,	49,	132,2186	7,813287	100,	149,	107,3911	10,53629	92,99999	139,	120,2234	12,25887	102,	157,	140,6984	10,10054	119,	171,	56,82802	4,643929	42,89624	63,54192	1,365041	1,169237	0,3388674	4,872752	12,77294	0,8856233	10,11607	10,65392	
S01	7	7,28	7,365247	3,045	20,139	16,91477	16,89287	4,667974	17,11128	17,09016	9,906818	24,06028	1,758144	2,333333	0,9077259	2,333333	0,01428571	1,33038	0,2934125	0,9765456	55,98734	306,5558	20,83307	0,94	128,4391	12,26236	106,	175,	1,713978	128,4973	124,9375	1,270162	12,2583	150,2659	0,004416941	9,735206	74,16563	153,5029	0,3452553	258,7402	604,2766	4,339454	5,867342	4,207755	1,932582	-0,4211897	0,977909	145,6091	10,58978	125,	188,	130,8442	13,10857	103,	181,	108,8848	14,02031	87,	159,	26,02833	3,863727	12,	47,	39,39849	8,965872	17,	59,	128,4391	12,26236	106,	175,	109,3909	14,13031	66,99999	130,	124,1558	16,71861	73,99999	152,	146,1152	16,70507	95,99999	168,	55,44902	6,084489	45,28791	73,70249	1,947115	1,416753	-1,268046	6,197373	13,92654	0,6088002	12,10014	12,31921	
S01	8	6,881564	7,041889	2,9435	19,1115	16,1689	16,214	4,539499	16,18235	16,0979	9,177385	20,66091	1,688008	2,281686	0,9011683	2,275862	0,01511284	1,28542	0,3337611	0,9654871	53,363	281,5355	9,445513	0,92	131,801	8,899778	113,	156,	-0,4526291	131,86	132,0625	0,2516049	8,898857	79,18965	0,003470992	12,80978	156,6376	82,00211	0,2986687	265,5346	315,1989	4,197521	5,947739	4,807071	2,076311	-0,3296797	0,9510139	148,453	8,627229	132,	169,	134,124	10,06419	112,	161,	112,813	9,328106	93,	140,	25,989	3,262336	17,	36,	36,865	6,893379	15,	54,	131,801	8,899778	113,	156,	106,547	6,849001	85,99999	123,	120,876	8,958674	93,99999	143,	142,187	9,062335	115,	162,	56,69419	3,228868	48,61614	66,38079	1,843996	0,9734642	-0,7087579	4,764389	13,4489	0,4898313	11,9794	13,48094	
S01	9	7,592	7,618669	2,9435	20,55	17,1903	17,20587	4,670853	17,13239	17,14294	10,65235	27,12368	1,857173	2,517241	0,9181292	2,517241	0,01369863	1,372381	0,272176	0,9845224	51,45029	327,212	3,945726	0,91	124,4086	7,419036	112,	155,	2,028297	124,4761	118,1875	1,173548	7,415201	54,98521	0,01136187	3,841785	240,9707	52,26506	0,4973954	250,8073	205,2184	3,857131	4,982516	1,837234	1,541247	-0,4408284	0,9696599	141,201	6,226481	131,	171,	126,6438	7,926328	110,	159,	105,3695	8,726034	92,	137,	25,65619	2,452381	18,	36,	39,2781	6,298659	20,	53,	124,4086	7,419036	112,	155,	113,799	9,933017	83,99999	124,	128,3562	10,7854	95,99999	145,	149,6305	10,54349	118,	163,	53,80859	4,047423	47,94331	65,95086	1,999474	1,121166	0,6809105	5,362974	13,60794	0,1806545	13,06598	13,12382	
S01	10	7,696	7,777866	3,248	21,372	17,68429	17,59105	4,847386	18,45189	18,52578	10,28485	26,84991	1,725364	2,3125	0,9035929	2,3125	0,01351351	1,348529	0,2790669	0,9775818	59,89002	326,3394	0,2507296	0,88	123,8888	6,863123	90,	142,	4,377554	123,9532	123,0625	-1,117329	6,865503	47,13514	0,01923417	4,103035	180,2847	45,16765	0,5713104	249,8417	176,5674	3,744379	4,752036	2,53766	1,465677	-0,4628018	0,970984	140,9157	6,633004	105,	158,	125,6803	7,683438	86,	146,	105,1034	6,987226	78,	127,	24,70461	2,801506	11,	35,	38,75326	4,82482	19,	49,	123,8888	6,863123	90,	142,	114,0843	11,9719	96,99999	150,	129,3197	13,22676	109,	169,	149,8966	9,034465	128,	177,	53,51122	5,098821	38,21476	61,09732	2,39148	1,351668	1,207074	6,446484	13,3444	1,919712	7,585261	11,68083	
