Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	8,008	8,079128	3,5525	22,605	18,68206	18,67204	5,162954	20,93255	21,12256	12,14376	28,89238	1,980966	2,2	0,909582	2,2	0,01298701	1,32664	0,2606801	0,9792827	71,38194	377,0019	-40,8374	0,86	121,6083	8,787396	108,	145,	-0,4865595	121,6717	111,0625	0,5171116	8,782415	77,13081	0,00574652	6,640965	151,436	77,51255	0,3960767	244,7998	303,4093	4,098906	5,534519	2,804371	1,774355	-0,3885632	0,9647191	134,1582	7,66333	120,	159,	122,8729	9,495431	109,	149,	107,8337	10,59632	89,	139,	25,06282	4,860784	8,	64,	29,23873	8,594237	3,	48,	121,6083	8,787396	108,	145,	120,8418	8,280612	95,99999	135,	132,1271	8,709043	106,	146,	147,1663	10,38877	116,	166,	52,16901	3,369982	46,51406	62,27896	1,677033	0,2758361	0,8495246	1,906354	9,787515	1,064914	6,592773	12,75153	1	0,0000733122	0,001534612
S01	2	8,008	8,017248	3,3495	22,3995	18,48723	18,41481	5,055079	20,06696	20,27808	11,8377	29,24129	2,526301	2,333333	0,9113154	2,333333	0,01298701	1,355152	0,2662002	0,9868411	63,06758	371,9441	2,383465	0,88	135,2135	13,91168	105,	164,	-0,850367	135,2762	124,9375	0,1933945	13,91304	193,5727	0,003069849	5,393887	55,69054	201,5393	0,3538359	272,4805	800,7634	4,618045	5,994969	1,704698	1,635989	-0,4867808	0,9893775	150,2619	14,5153	122,	181,	137,3698	15,55525	104,	169,	117,9961	12,37842	88,	143,	25,7717	4,020997	15,	37,	32,45035	5,868555	17,	47,	135,2135	13,91168	105,	164,	104,7381	10,24603	73,99999	133,	117,6302	11,12328	85,99999	151,	137,0039	9,998703	112,	167,	57,85957	4,193235	45,27987	69,59958	1,545732	0,9782369	0,03008645	4,480443	12,14243	0,9490852	11,66372	14,98969	1	0,0000733122	0,001471153
S01	3	7,539303	7,70357	2,842	20,139	17,0289	17,13443	4,571956	16,41458	16,52014	10,63658	27,65135	1,893513	2,589046	0,9218782	2,571429	0,01379438	1,405625	0,3090425	0,9669136	49,0266	320,6742	-14,4401	0,91	121,5611	7,36876	108,	142,	-0,7142937	121,6151	112,9375	0,3689308	7,369252	54,30587	0,007837513	4,673139	214,9586	54,50431	0,4638995	245,0334	213,3441	3,956009	5,218917	2,178988	1,620908	-0,4167606	0,9674279	136,5732	5,81775	124,	150,	122,3966	8,116667	107,	146,	105,7053	8,68152	92,	131,	23,32795	3,261314	13,	37,	33,53582	5,869277	13,	47,	121,5611	7,36876	108,	142,	118,4268	4,475614	105,	131,	132,6034	7,867811	109,	148,	149,2947	8,431557	124,	163,	52,2122	2,762135	46,40947	60,49861	2,587995	0,5287469	-1,241085	4,174236	11,12057	0,8824574	8,473194	10,88369	1	0,0000733122	0,001203389
S01	4	8,32	8,318329	3,857	23,838	19,50863	19,48191	5,50567	23,80378	23,98323	11,7543	29,37172	2,976963	2,105263	0,8859391	2,105263	0,0125	1,272136	0,2706707	0,9881793	84,533	391,6733	-8,40628	0,88	120,7311	5,678989	109,	154,	4,041995	120,7908	121,1875	1,354217	5,682971	32,29617	0,01468942	5,199077	422,8708	28,15653	0,5260116	242,706	107,4271	3,602873	4,783638	3,082503	1,569376	-0,3780104	0,9446878	137,313	5,069083	125,	164,	121,3312	6,203111	109,	158,	103,5756	7,179126	91,	139,	22,57683	2,579423	15,	37,	36,42947	6,744956	13,	48,	120,7311	5,678989	109,	154,	117,687	8,895679	90,99999	130,	133,6688	12,22293	96,99999	146,	151,4244	11,80814	116,	164,	51,94008	4,396362	47,0434	65,12917	3,169557	0,6741067	-1,147237	3,266821	11,99007	0,4271482	10,70863	12,37533	1	0,0000733122	0,001745108
S01	5	7,592	7,637005	3,248	21,372	17,5131	17,63483	4,917592	18,99024	19,07469	10,25308	25,24403	2,488701	2,28125	0,895925	2,28125	0,01369863	1,285054	0,2787998	0,9821586	64,53738	326,5508	4,746479	0,87	106,4971	7,25157	88,	130,	-0,2290907	106,5594	106,9375	-0,1357263	7,259935	52,70666	0,006779357	4,479369	150,2738	51,86296	0,4588777	214,4477	202,9725	4,007212	5,324522	2,015102	1,609121	-0,4086459	0,966994	121,7805	7,236427	103,	142,	106,2585	7,732257	86,	134,	91,44971	7,375695	74,	117,	20,68911	2,558663	13,	31,	36,15129	5,089769	18,	47,	106,4971	7,25157	88,	130,	133,2195	6,73982	113,	152,	148,7415	9,247159	121,	169,	163,5503	8,516769	138,	181,	45,96947	3,401218	37,90258	56,17313	3,592101	1,195746	-0,004863353	4,935465	10,56366	0,3246292	9,589776	10,23386	1	0,0000733122	0,001392217
S01	6	7,384	7,548166	2,842	20,139	17,0289	17,01684	4,585168	16,50958	16,59403	10,73347	25,39094	1,93824	2,535714	0,9196846	2,535714	0,01408451	1,397536	0,3030277	0,966493	49,18922	318,5656	4,120123	0,91	124,205	6,08404	106,	145,	0,1977716	124,2614	121,9375	0,3752169	6,081041	36,97906	0,01152255	4,629117	322,3118	34,96196	0,4992973	249,7492	135,2187	3,780263	4,99582	2,402965	1,609558	-0,4056176	0,9598351	140,0209	4,54071	121,	158,	125,4657	6,828465	99,	147,	107,1363	8,14872	90,	134,	24,63383	10,80516	0,	253,	35,3204	7,504092	7,	53,	124,205	6,08404	106,	145,	114,9791	6,340292	96,99999	134,	129,5343	8,821889	108,	156,	147,8637	8,954562	121,	165,	53,41378	3,191737	43,83857	61,53131	2,460858	1,625702	1,789879	7,337965	12,01987	1,226956	8,338999	8,427965	1	0,0000733122	0,001210354
S01	7	8,216001	8,317743	3,5525	23,016	19,01464	19,02929	5,248169	21,62924	21,85092	12,415	30,42962	2,193332	2,257143	0,9041639	2,257143	0,01265823	1,330029	0,2810994	0,9758958	71,75689	384,4422	-20,61973	0,87	135,6335	7,180381	117,	152,	-0,003644924	135,6975	136,1875	-0,4218779	7,186013	51,63878	0,008383552	2,886056	270,5602	50,7774	0,4997485	273,5487	200,2236	3,99035	5,13149	1,227484	1,404726	-0,4542805	0,9751997	150,9146	7,645674	128,	168,	137,9523	7,957864	117,	155,	118,0263	6,718476	101,	135,	26,14448	2,918555	11,	37,	33,10961	4,422302	17,	43,	135,6335	7,180381	117,	152,	104,0854	7,638199	86,99999	127,	117,0477	6,984098	99,99999	138,	136,9737	5,67544	120,	154,	58,07789	2,759439	49,79957	64,57719	1,483985	0,0286268	1,398105	1,43675	12,43975	0,6902825	10,3689	12,21168	1	0,0000733122	0,001585688
S01	8	8,216001	8,28688	2,7405	21,372	18,25492	18,37799	4,750751	17,72352	17,72352	14,18809	34,05773	1,881868	2,925926	0,9426101	2,925926	0,01265823	1,496014	0,2873341	0,9795302	44,99261	401,1074	9,384192	0,92	120,9464	4,980298	109,	138,	0,2880592	121,0055	118,9375	0,472265	4,982667	24,82697	0,01547422	1,755687	498,9355	23,8587	0,5818526	243,5954	93,67907	3,59659	4,539827	0,7792854	1,231381	-0,4560502	0,9651784	136,5758	4,410441	122,	149,	122,4427	5,426845	108,	141,	103,8068	5,929122	93,	127,	24,46673	2,267937	18,	33,	36,2366	5,241088	20,	49,	120,9464	4,980298	109,	138,	118,4242	4,858599	106,	133,	132,5573	6,185768	114,	147,	151,1932	7,731056	128,	162,	52,18163	2,255475	46,51592	58,94805	2,264592	0,5949884	0,479627	2,906698	12,18231	1,217613	8,529469	10,40843	1	0,0000733122	0,001299351
S01	9	8,632	8,676729	3,3495	24,0435	19,76052	19,55969	5,222493	21,41813	21,92481	14,33158	35,70975	2,81283	2,515152	0,9254633	2,515152	0,01204819	1,450579	0,2685016	0,9828876	62,76736	432,3674	-15,21471	0,86	124,4938	8,333048	109,	157,	1,307859	124,5545	118,9375	0,9857433	8,333012	69,43908	0,007947859	4,539177	189,172	63,12704	0,4768331	250,1451	247,9689	4,048283	5,229113	2,167721	1,619986	-0,4580483	0,9773695	141,4461	6,965044	125,	170,	125,1629	8,648459	108,	159,	106,8943	9,895045	90,	142,	22,64343	2,237329	16,	32,	36,40352	6,446689	16,	49,	124,4938	8,333048	109,	157,	113,5539	9,517978	84,99999	130,	129,8371	11,27904	95,99999	147,	148,1057	11,70189	113,	165,	53,45979	4,172717	46,74178	65,97794	3,177905	0,6963912	1,088732	3,700831	12,24428	0,6447904	10,30991	12,54949	1	0,0000733122	0,001570211
S01	10	8,008	8,037034	3,1465	21,783	18,53045	18,54716	5,071009	20,19363	20,21474	12,92419	29,04511	2,033625	2,483871	0,9206517	2,483871	0,01298701	1,352955	0,2982163	0,9844117	59,59563	390,8237	3,124505	0,91	129,447	6,262033	117,	148,	-0,5470216	129,5132	130,1875	0,2339155	6,265785	39,26007	0,005071401	8,877536	359,371	38,18544	0,3256405	260,8921	143,8642	3,834871	5,49961	3,215219	1,905655	-0,2716671	0,9069295	145,3932	5,48761	132,	162,	131,5776	6,822808	117,	151,	111,3472	7,471917	96,	132,	25,72273	2,78449	17,	36,	35,80492	5,831369	19,	51,	129,447	6,262033	117,	148,	109,6068	5,535589	92,99999	123,	123,4224	6,474144	104,	138,	143,6528	6,884285	123,	159,	55,68413	2,40903	50,06443	62,91122	1,820244	0,3415597	0,7955651	2,309337	12,83789	0,4559145	11,47015	13,72463	1	0,0000733122	0,00148044
