Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	7,696	7,845036	3,248	21,5775	18,10737	18,10295	5,0043	19,66583	19,94028	11,96485	25,7164	2,211763	2,3125	0,9026189	2,3125	0,01351351	1,326552	0,2815576	0,9692116	64,54801	347,8253	-4,968294	0,88	115,1865	4,486234	103,	132,	0,7794346	115,1806	114,959	-0,07790236	4,475358	20,02882	0,02019694	1,963149	534,1129	19,89828	0,6254258	232,0385	77,63	3,496933	4,420486	1,095786	1,256949	-0,4424021	0,958551	132,1714	4,431511	119,	148,	116,3413	4,961384	103,	133,	97,03016	5,28903	85,	117,	23,4627	2,556552	9,	34,	40,28413	5,77985	12,	50,	115,1865	4,486234	103,	132,	122,8286	5,276189	107,	136,	138,6587	5,55291	122,	152,	157,9698	6,656616	138,	170,	49,92102	2,173594	44,62945	56,4418	2,917381	0,1399639	2,949291	3,337273	12,92588	0,7452059	10,69027	12,50733	
S01	2	6,968	7,107249	3,1465	19,728	16,52512	16,56937	4,643432	16,93182	17,14294	9,304812	20,34519	1,861151	2,16129	0,8946904	2,16129	0,01492537	1,28325	0,2849225	0,9686236	58,15942	287,8599	-11,78195	0,88	128,0784	7,779512	109,	146,	-0,5303184	128,085	123,1855	0,3477621	7,780465	60,53564	0,008981456	2,551551	191,5151	62,35577	0,5288767	258,3413	246,8714	4,026192	5,079727	1,106261	1,384047	-0,4885352	0,9810771	145,3998	8,468914	126,	164,	130,5066	9,006337	107,	152,	108,3374	6,646775	92,	123,	25,66068	3,257272	14,	33,	39,26371	4,963885	11,	48,	128,0784	7,779512	109,	146,	109,6002	6,466601	90,99999	129,	124,4934	7,835538	103,	148,	146,6626	5,445811	132,	163,	55,32525	2,905114	46,60991	63,15985	1,970484	1,014805	-0,3460223	5,014898	14,06576	0,9574124	11,19352	16,8801	
S01	3	7,176	7,121878	3,3495	20,55	16,90498	16,89774	4,86952	18,62078	18,52578	8,890988	20,83928	1,820011	2,090909	0,8735761	2,090909	0,01449275	1,221117	0,2400297	0,9954888	69,09872	288,0729	-12,3905	0,93	120,8752	6,316762	107,	136,	-0,7750779	120,879	124,0996	-0,04309123	6,319086	39,93084	0,005739307	5,887126	297,9653	38,54347	0,3344531	243,4832	148,2867	3,85121	5,30752	1,766297	1,660459	-0,3413457	0,9420567	137,0997	4,755808	127,	151,	122,1784	6,948836	107,	140,	103,3241	8,107393	86,	130,	24,05025	2,901081	12,	34,	37,29062	7,028078	11,	54,	120,8752	6,316762	107,	136,	117,9003	4,633446	104,	128,	132,8216	5,940534	115,	148,	151,6759	8,891965	125,	169,	52,14729	2,259374	46,57748	58,92541	2,556485	0,6647992	2,325833	4,550883	12,42246	1,870897	6,809764	14,72312	
S01	4	6,76	6,857765	2,9435	18,906	15,63169	15,63928	4,344306	14,82062	14,89452	8,287998	20,50705	1,729671	2,241379	0,8951188	2,241379	0,01538462	1,311811	0,2889214	0,973896	50,59858	251,898	-9,450973	0,9	122,5604	6,067978	102,	136,	0,9793448	122,5479	120,9004	-0,5864707	6,065007	36,78431	0,01715561	1,109356	301,4629	34,62469	0,6450793	247,2163	137,3894	3,667286	4,412235	0,5065161	1,037225	-0,5430097	0,981174	141,0752	5,374301	117,	152,	124,2175	6,56494	101,	139,	102,3964	6,990882	86,	121,	24,21412	1,868015	15,	31,	42,12187	5,444888	25,	52,	122,5604	6,067978	102,	136,	113,9248	8,02505	103,	138,	130,7825	7,739176	116,	154,	152,6036	6,201218	134,	169,	53,06574	3,059104	43,88843	58,52842	2,886539	0,3634805	1,796097	3,824166	14,29361	1,148508	10,84809	11,39234	
S01	5	6,552	6,69613	2,9435	19,1115	15,71239	15,49154	4,277263	14,36672	14,64117	8,578303	19,14888	1,725521	2,172414	0,9046824	2,172414	0,01587302	1,367266	0,307577	0,966715	47,62812	256,7823	13,3942	0,88	134,3623	10,95264	103,	160,	-0,4461844	134,3597	134,1543	-0,2724906	10,95439	119,9987	0,004652185	5,284437	89,95854	119,2279	0,4109448	271,5064	471,6274	4,373089	5,723558	2,100217	1,687003	-0,4707058	0,9851384	150,5304	11,19718	118,	177,	136,3349	12,22537	101,	165,	116,2324	10,17508	90,	140,	25,25864	3,69081	14,	38,	34,45411	5,112081	19,	49,	134,3623	10,95264	103,	160,	104,4696	10,84346	77,99999	137,	118,6651	11,7783	89,99999	154,	138,7676	8,744141	115,	165,	57,56288	4,492629	44,085	68,13164	1,960383	0,9748011	0,1965797	4,884787	12,73682	1,335153	8,731363	14,53705	
S01	6	6,344	6,33367	2,842	17,8785	14,77169	14,81022	4,217128	13,96559	13,91281	7,196906	16,87277	1,433839	2,178571	0,8811756	2,178571	0,01639344	1,243159	0,2958302	0,9895921	49,94197	223,2348	2,450984	0,93	139,1767	12,93733	109,	161,	-0,7020326	139,1712	151,9785	-0,6476251	12,93527	167,3211	0,00408059	6,15621	72,20567	166,8115	0,337819	281,5185	661,0897	4,386361	5,745624	1,917146	1,688636	-0,4581672	0,9834197	156,2909	13,44237	124,	178,	142,3209	14,34634	109,	165,	118,9291	12,15956	92,	146,	27,09375	3,551931	15,	36,	37,17308	7,004555	19,	55,	139,1767	12,93733	109,	161,	98,70914	10,76362	76,99999	131,	112,6791	11,10696	89,99999	146,	136,0709	9,023639	109,	163,	59,77003	4,267338	46,96802	68,35139	1,32833	0,5572949	1,510639	3,000214	14,36184	0,9386241	11,54597	11,66298	
S01	7	6,52192	6,483562	3,187085	19,728	15,32679	15,33063	4,395065	15,16897	15,01063	7,61991	17,12304	0,949627	1,997167	0,881293	1,997167	0,01594623	1,232175	0,2438663	0,9938257	153,2023	143,3676	94,01638	0,95	130,7863	9,013588	113,	155,	-0,5565054	130,7762	136,8965	0,04125814	9,015118	81,27235	0,005643829	3,536557	162,1463	79,22751	0,4390146	263,9139	313,3734	4,187781	5,403434	1,268833	1,477171	-0,4729286	0,9822445	145,9201	8,177347	131,	166,	132,5321	9,499376	113,	159,	113,9258	10,06702	94,	140,	25,19573	2,805244	14,	35,	33,14511	5,878241	13,	45,	130,7863	9,013588	113,	155,	109,0799	6,693291	88,99999	124,	122,4679	8,822652	95,99999	142,	141,0742	8,691414	115,	161,	56,05183	3,17942	48,8143	65,59009	1,894391	0,6717691	-0,76581	3,909699	11,8793	0,4240983	10,82694	13,15159	
S01	8	7,072	7,229134	3,7555	21,1665	17,4324	17,39381	5,074984	20,2253	20,30974	8,523609	18,68253	2,062242	1,837838	0,8531463	1,837838	0,01470588	1,195488	0,2273407	0,9665058	80,5578	293,1018	11,52496	0,93	123,1828	7,936772	106,	139,	-0,7815983	123,19	119,0723	-0,1377091	7,926717	62,83284	0,007024962	2,932699	184,5744	61,19872	0,5019697	248,3183	241,8623	4,048841	5,196663	1,271193	1,407697	-0,4649053	0,9782873	139,4902	6,283334	124,	153,	124,7666	8,512001	105,	144,	105,3066	9,575386	86,	130,	24,60725	2,661658	17,	35,	37,36405	6,831401	14,	52,	123,1828	7,936772	106,	139,	115,5098	5,163399	102,	131,	130,2334	6,588862	111,	150,	149,6934	8,231122	125,	169,	53,13037	2,471313	45,71643	60,18618	2,360204	0,6942866	0,8598602	4,443064	12,67642	1,348335	8,631411	13,49121	
S01	9	6,136	6,206306	2,7405	17,262	14,41546	14,50317	4,115496	13,30056	13,25834	7,02131	15,77209	1,489241	2,185185	0,888211	2,185185	0,01694915	1,24312	0,2692516	0,9767888	46,26369	219,1737	-0,178183	0,92	117,0538	7,778773	106,	140,	-0,5621619	117,0742	112,2168	0,6861626	7,764397	60,28586	0,01095989	5,264385	195,4652	57,7655	0,4389816	235,4233	225,7975	3,843518	5,096056	2,28994	1,695147	-0,4047582	0,9616038	135,2641	6,63402	121,	156,	117,6308	8,595489	106,	143,	98,26282	8,586646	85,	122,	22,42949	2,729025	16,	33,	41,18333	5,685646	24,	53,	117,0538	7,778773	106,	140,	119,7359	6,911972	98,99999	134,	137,3692	8,456413	112,	149,	156,7372	7,912394	133,	170,	50,60488	3,130101	45,67374	59,99518	3,645654	0,7807241	1,303482	2,424251	13,19997	0,2595574	12,93491	13,97864	
S01	10	6,98048	7,12163	2,842	19,1115	16,11183	16,18225	4,4149	15,3062	15,46454	9,431906	22,59712	1,831642	2,397143	0,911995	2,392857	0,01489869	1,349424	0,3432158	0,968399	48,75306	282,123	16,03786	0,91	115,3366	3,682942	98,	127,	2,119503	115,3206	115,873	-0,6137636	3,657721	13,37892	0,02768118	1,579439	796,0653	12,07838	0,6262221	232,6589	46,7341	3,219663	4,046673	0,8117684	1,165249	-0,4279431	0,943158	133,6732	3,644697	115,	142,	116,5213	3,918364	96,	129,	95,8306	4,458679	84,	116,	23,35738	1,776034	16,	28,	43,23279	4,783774	19,	52,	115,3366	3,682942	98,	127,	121,3268	6,224403	113,	140,	138,4787	6,840439	126,	159,	159,1694	6,723129	139,	171,	50,09016	2,61935	42,23211	54,7747	3,260276	0,7940269	2,664759	5,642357	13,88441	1,683946	8,832576	9,710302	
