Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,109026	7,106587	3,3495	20,139	16,62946	16,68937	4,784584	17,97687	17,93464	8,663113	20,78586	1,888535	2,071394	0,8756113	2,030303	0,01462929	1,223962	0,280382	0,9883198	68,80621	279,6145	24,87441	0,89	102,2989	8,787559	89,	133,	0,05836901	102,2906	104,0449	0,5500769	8,766871	76,85804	0,007042229	4,82255	105,6696	75,6531	0,4251607	206,1959	297,7897	4,063045	5,331111	1,924375	1,648271	-0,4356804	0,9739982	115,1543	7,817163	102,	144,	101,7879	9,607414	87,	136,	89,93252	9,587876	75,	121,	19,97371	3,900518	5,	38,	31,16389	6,918099	6,	49,	102,2989	8,787559	89,	133,	139,8457	9,615252	111,	153,	153,2121	11,40403	119,	168,	165,0675	10,35583	134,	180,	44,02202	4,324502	38,10883	56,99553	3,211084	0,9626369	0,3231738	4,049157	8,642694	0,2007478	9,126658	9,244938	1	0,0001165253	0,002094761
S01	2	7,488	7,51926	3,451	21,372	17,5131	17,50801	4,931241	19,0958	19,34915	10,17579	24,14635	2,013986	2,117647	0,8878357	2,117647	0,01388889	1,27795	0,2910099	0,9838734	69,00047	312,8602	-23,64726	0,89	116,9522	8,99433	97,	139,	-0,6728697	116,9557	122,1504	-0,06443383	9,029303	81,5283	0,005750857	3,393913	119,1175	79,64355	0,4741499	235,2791	315,1804	4,211674	5,424689	1,382449	1,487139	-0,466107	0,9813254	129,4031	8,056504	112,	148,	116,6571	9,584832	96,	141,	104,7543	9,868108	82,	128,	20,54493	3,457055	9,	37,	26,8615	5,565971	13,	42,	116,9522	8,99433	97,	139,	125,5969	6,198957	107,	143,	138,3429	8,114316	114,	159,	150,2457	7,748558	127,	173,	49,92561	2,986637	41,87551	58,88552	2,82725	0,8551121	0,2619133	4,043848	8,357768	0,6736968	7,858502	10,37886	1	0,0001165253	0,002225145
S01	3	7,592	7,657039	3,654	21,9885	17,86932	17,76094	5,024405	19,82417	19,98251	9,715552	24,1863	14,0866	2,027778	0,883336	2,027778	0,01369863	1,281584	0,2487282	0,9795889	71,33147	319,579	-15,08773	0,92	108,266	7,633516	95,	133,	0,2573555	108,2357	110,0801	0,6321014	7,668118	58,80003	0,008968702	2,507488	158,5637	57,27046	0,5299301	218,2878	226,5744	4,004541	5,051462	1,103992	1,353935	-0,4877147	0,9805831	122,0331	6,211363	110,	143,	107,9258	8,376912	93,	137,	94,83978	8,876069	78,	121,	20,5367	3,472183	12,	42,	31,94002	6,270125	12,	47,	108,266	7,633516	95,	133,	132,9668	6,98895	112,	145,	147,0742	9,691394	118,	162,	160,1602	8,720078	134,	177,	46,54224	3,547199	40,7252	57,18384	3,261471	0,8765571	-0,6317993	4,360645	9,350495	0,608785	9,381228	11,17685	1	0,0001165253	0,002310018
S01	4	6,76	6,796754	3,045	19,1115	15,82652	15,96408	4,515748	16,01345	16,0029	8,420074	19,40926	1,594576	2,166667	0,8917747	2,166667	0,01538462	1,244548	0,3235503	0,9826381	56,62951	266,1121	19,40034	0,92	105,2365	12,46671	79,	131,	-0,8405601	105,2377	110,0801	-0,03324841	12,47808	155,7024	0,002291891	14,52314	41,00319	155,8309	0,2278464	211,606	608,8005	4,514492	6,251209	4,45328	2,082389	-0,37576	0,971883	116,5005	12,23025	90,	144,	105,1046	13,56361	76,	134,	94,07107	12,38913	69,	120,	21,1066	6,897198	0,	67,	27,30051	7,056769	1,	45,	105,2365	12,46671	79,	131,	138,4995	9,166501	111,	165,	149,8954	9,701528	121,	179,	160,9289	8,64298	135,	186,	45,19455	3,896878	33,50392	56,4222	2,501919	0,6983714	1,284244	4,597033	7,831223	0,4996285	6,332337	8,887806	1	0,0001165253	0,001865973
S01	5	7,072	7,091014	2,9435	19,9335	16,66288	16,69527	4,650663	16,9846	17,10072	9,950522	21,51867	1,866095	2,344828	0,9102468	2,344828	0,01470588	1,300681	0,2772768	0,9853315	53,45964	311,343	4,187427	0,92	105,5987	9,154851	86,	126,	-0,7921373	105,5829	102,0332	0,0117549	9,16003	83,90617	0,003786068	9,36336	88,22504	84,73868	0,3216071	212,6487	329,5912	4,18913	5,783215	3,339016	1,917713	-0,3680663	0,962481	119,2455	7,812533	102,	139,	105,4721	10,2327	83,	130,	92,08215	10,54294	69,	114,	21,21435	4,612903	6,	42,	33,11237	8,912205	9,	57,	105,5987	9,154851	86,	126,	135,7545	6,584836	116,	153,	149,5278	8,175952	125,	172,	162,9178	7,694051	141,	186,	45,51492	3,071659	36,81981	54,72989	3,095263	0,8418438	0,5697322	5,559725	9,51209	0,5500666	9,886466	11,16229	1	0,0001165253	0,001979136
S01	6	7,072	7,16813	3,451	20,55	17,07617	17,23938	4,935328	19,12747	19,27526	9,66925	19,77693	2,111707	2,	0,8778407	2,	0,01470588	1,212968	0,3080307	0,9747311	70,04926	304,2037	-7,124386	0,86	111,7433	10,12825	87,	141,	-0,1043146	111,7489	108,873	-0,1421697	10,14073	102,8345	0,006876213	4,883701	74,93142	102,3456	0,493276	225,1332	404,4992	4,258094	5,461018	2,577325	1,616395	-0,4864994	0,9849501	123,9007	8,618177	102,	149,	111,4027	11,22179	84,	145,	99,90799	10,88733	72,	131,	20,45521	4,586297	2,	40,	27,37692	5,678283	11,	46,	111,7433	10,12825	87,	141,	131,0993	8,366427	106,	153,	143,5973	11,19909	110,	171,	155,092	10,36401	124,	183,	47,81979	4,106743	37,1761	60,14001	2,832335	0,8580999	-1,06915	5,406635	8,166357	0,5438998	7,951049	9,798057	1	0,0001165253	0,002228835
S01	7	7,202949	7,171511	3,750142	21,1665	17,26121	17,20454	5,017713	19,77139	19,80306	8,516819	19,50272	1,870026	1,874543	0,859796	1,874543	0,01443853	1,199033	0,2471221	0,9923119	88,99892	279,7998	-50,88707	0,92	104,0655	8,188869	88,	137,	0,008925246	104,0377	98,81445	0,6251507	8,193837	67,13897	0,005307104	6,09314	120,3292	64,87054	0,3885966	209,6062	253,3891	4,081695	5,541479	2,350304	1,74997	-0,3794016	0,9619378	115,9252	7,136751	102,	141,	103,8948	8,945313	86,	141,	92,39595	9,194273	75,	129,	20,93219	4,313973	7,	42,	28,9127	6,989596	8,	48,	104,0655	8,188869	88,	137,	139,0748	8,358274	114,	153,	151,1052	12,36841	114,	169,	162,604	12,20135	126,	180,	44,7547	4,521207	37,82153	58,31832	2,695224	0,654861	-2,250516	4,659807	8,206322	0,6028218	6,397856	8,842612	1	0,0001165253	0,002303868
S01	8	7,176	7,226502	3,1465	20,139	16,68652	16,71956	4,678041	17,18517	17,2485	9,561417	22,81984	1,588537	2,225806	0,9010263	2,225806	0,01449275	1,289151	0,2861593	0,9810764	57,39788	298,3011	16,09537	0,91	109,5295	10,279	89,	140,	-0,4434595	109,5208	112,0918	0,1275343	10,29272	105,9402	0,00435032	8,11893	77,27267	103,7979	0,3251904	220,4361	407,0725	4,280677	5,790852	2,813874	1,857117	-0,4077311	0,9738984	123,5716	9,499893	106,	151,	109,2442	11,22577	87,	143,	95,80262	10,71345	73,	127,	20,54069	3,767756	8,	35,	32,30402	6,536515	11,	49,	109,5295	10,279	89,	140,	131,4284	9,142815	104,	149,	145,7558	11,25195	112,	168,	159,1974	10,39913	128,	182,	47,08395	4,194734	38,48375	59,66815	3,282875	1,04765	0,1399231	5,484716	9,561424	0,5004724	9,575585	11,06284	1	0,0001165253	0,002002508
S01	9	7,079382	7,307236	3,248	20,55	16,84792	16,85262	4,720947	17,50185	17,74464	8,918887	21,64312	2,130497	2,127218	0,8907366	2,125	0,01469055	1,29043	0,3378694	0,9571736	60,85272	292,9118	-8,098188	0,88	114,5388	8,616326	98,	138,	-0,9144792	114,5401	108,873	0,2129673	8,648347	74,7939	0,007251724	2,780607	134,7242	71,80892	0,4889864	230,718	284,4552	4,10172	5,202055	1,086275	1,390547	-0,4852713	0,9819979	128,1904	6,763706	114,	146,	114,5157	9,48853	95,	142,	100,914	9,982592	82,	125,	21,38817	3,434219	14,	37,	30,70702	6,224105	14,	48,	114,5388	8,616326	98,	138,	126,8096	5,936544	109,	141,	140,4843	9,161435	113,	160,	154,086	8,028656	130,	173,	49,12183	3,264918	41,79982	58,91658	2,941943	0,853344	-1,583049	5,501976	9,468555	0,2785126	9,587924	10,30409	1	0,0001165253	0,002039409
S01	10	6,864	6,872	2,7405	18,7005	15,77924	15,78345	4,378211	15,05286	14,93674	9,077515	21,0156	1,574706	2,444444	0,9097248	2,444444	0,01515152	1,316071	0,2869026	0,9868307	48,00605	273,3229	13,06343	0,93	103,6165	5,108156	93,	123,	0,2055961	103,574	102,0332	0,6802464	5,123094	26,24609	0,01210266	4,009378	356,3959	24,33059	0,4961872	208,7807	93,31301	3,564789	4,774318	1,930103	1,551445	-0,3609572	0,9369576	119,256	4,890386	111,	134,	102,7747	5,710264	92,	124,	88,77143	5,453284	77,	111,	19,32857	2,842528	12,	33,	36,5978	4,828586	20,	47,	103,6165	5,108156	93,	123,	135,7439	4,91465	121,	144,	152,2253	7,075094	131,	163,	166,2286	7,409531	144,	178,	44,67887	2,621587	40,52376	52,54363	4,163428	0,889874	1,493806	5,245479	10,32224	0,6174338	8,46994	11,52253	1	0,0001165253	0,00175404
