Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,592	7,568173	2,436	19,5225	16,55855	16,66439	4,278834	14,37727	14,32449	11,88487	29,73651	7,52006	3,041667	0,9450916	3,041667	0,01369863	1,517378	0,2960638	0,9910912	35,78198	333,3764	-6,896293	0,91	136,0024	9,0768	112,	156,	-0,4460696	136,0143	136,8047	0,01177197	9,076842	82,38907	0,007978222	3,19657	157,3634	80,21318	0,4640559	274,5527	317,6563	4,170419	5,260174	1,207651	1,449644	-0,4980554	0,9846101	146,7625	8,487506	127,	165,	137,6066	9,57744	111,	159,	123,6711	9,603885	98,	148,	26,21437	4,218781	14,	49,	23,29476	4,041304	12,	36,	136,0024	9,0768	112,	156,	108,2375	6,587494	89,99999	128,	117,3934	8,868854	95,99999	144,	131,3289	8,557048	107,	157,	57,74383	3,261378	47,95969	65,69704	0,9506671	1,026422	0,2014795	4,029934	8,692273	0,7291565	6,504804	9,537889	1	0,0000472487	0,0006793077
S01	2	7,176	7,232813	2,7405	19,317	16,30666	16,49324	4,497851	15,88678	15,78122	10,10601	24,13539	1,652193	2,555556	0,9213963	2,555556	0,01449275	1,331742	0,3134345	0,9802203	47,19498	308,1244	-12,23842	0,92	130,3492	10,6042	112,	155,	-0,8217385	130,3722	120,0391	0,4603409	10,60259	112,4149	0,003845373	10,8042	112,6767	112,2758	0,272641	263,9746	438,2991	4,281078	5,841383	3,259945	1,93947	-0,393718	0,9710499	144,5959	12,32856	126,	173,	131,9865	11,69421	112,	158,	114,4839	9,13575	97,	137,	25,15959	4,307772	15,	46,	30,9171	7,186728	10,	48,	130,3492	10,6042	112,	155,	110,4041	9,468048	81,99999	129,	123,0135	8,671161	96,99999	143,	140,5161	7,505358	118,	158,	55,79417	3,355512	48,11737	65,8607	1,759799	0,3703602	2,004009	2,870879	11,17938	0,5952037	10,33747	12,96499	1	0,0000472487	0,0007506301
S01	3	8,32	8,30918	3,248	22,605	18,79618	18,75419	5,037765	19,92973	20,07751	12,7051	33,03166	1,967663	2,5	0,9241769	2,5	0,0125	1,41047	0,2699546	0,9892672	58,08846	394,9116	11,78648	0,89	140,6119	11,83963	106,	160,	-0,2237429	140,6221	157,1953	-0,3831728	11,85348	140,5049	0,004549567	4,701179	82,31908	138,1431	0,3955658	284,1877	547,8712	4,3499	5,613964	1,615064	1,60288	-0,4777995	0,9851537	156,4651	12,3721	120,	177,	144,1119	12,78488	104,	165,	121,2397	11,16757	92,	141,	28,15079	2,922189	15,	35,	35,2127	5,62244	19,	50,	140,6119	11,83963	106,	160,	98,53493	12,15502	77,99999	135,	110,8881	13,37063	89,99999	151,	133,7603	9,746562	114,	163,	60,32101	5,049049	45,17386	68,15341	0,7520265	1,171803	0,3492608	4,267436	13,82609	1,577968	9,092184	14,01604	1	0,0000472487	0,0009416543
S01	4	7,28	7,322901	2,9435	19,9335	16,60582	16,7566	4,621669	16,77349	16,73126	9,709136	24,26862	1,577325	2,413793	0,9108722	2,413793	0,01428571	1,308047	0,3062614	0,9821927	52,85669	306,3356	12,1863	0,91	116,811	7,914358	102,	136,	-0,6587678	116,8228	121,8516	0,00957911	7,930027	62,88534	0,005813575	4,916495	170,6263	61,32033	0,394709	235,5516	240,3649	4,038271	5,389767	1,753964	1,631943	-0,401164	0,965976	133,8062	7,112823	116,	150,	117,8643	8,508032	101,	139,	98,74322	8,915148	81,	123,	23,4031	2,635899	15,	37,	39,70349	6,847404	20,	58,	116,811	7,914358	102,	136,	121,1938	5,935402	105,	139,	137,1357	7,045225	116,	154,	156,2568	8,085597	132,	174,	50,53865	2,618907	43,67485	58,39537	2,977323	0,5499287	1,327537	2,631424	12,80573	0,9222403	10,03901	13,53542	1	0,0000472487	0,0007925261
S01	5	7,488	7,511145	2,9435	20,3445	16,88135	16,983	4,627482	16,81571	16,80515	10,39572	26,50367	1,578645	2,482759	0,9166051	2,482759	0,01388889	1,348419	0,2924643	0,9849364	52,07067	316,392	18,53485	0,93	129,6969	8,870601	109,	151,	-0,8078145	129,7066	136,8047	0,06213063	8,861382	78,52409	0,003353614	9,748964	154,4353	77,40134	0,301889	260,3818	299,8564	4,199533	5,886293	3,373862	1,93373	-0,3367603	0,9527767	145,6569	6,887011	128,	165,	131,502	9,813091	107,	156,	111,9366	11,66873	89,	138,	25,2076	4,053593	11,	40,	35,3655	10,27174	14,	56,	129,6969	8,870601	109,	151,	109,3431	6,447698	89,99999	127,	123,498	8,167315	98,99999	148,	143,0634	8,687787	117,	166,	55,70106	2,985293	46,74518	64,65282	2,060865	1,116577	0,1685254	5,410595	12,52675	0,6405748	10,60503	13,19395	1	0,0000472487	0,0007945209
S01	6	6,288108	6,277877	2,3345	16,851	14,08287	13,95803	3,660871	10,52433	10,59822	7,588315	20,08347	1,543092	2,628808	0,933017	2,608696	0,01653916	1,499387	0,3646778	0,9895908	31,96499	218,1532	-24,97677	0,88	125,5611	10,71265	98,	150,	-0,4717068	125,5739	116,8672	0,2093135	10,7073	114,6463	0,004701746	7,537681	82,85957	117,2766	0,3243562	253,1548	461,5687	4,270208	5,632902	2,545958	1,801334	-0,4532874	0,9814159	141,5185	11,24642	110,	165,	127,2241	12,02478	95,	154,	107,9463	9,472691	84,	131,	24,68518	3,628207	12,	36,	35,76296	4,791131	19,	47,	125,5611	10,71265	98,	150,	113,4815	10,50618	89,99999	145,	127,7759	10,74135	101,	160,	147,0537	7,982096	124,	171,	54,05515	4,206053	41,43699	63,95734	2,193617	0,6792814	0,1557725	4,112596	12,46835	1,316479	8,518916	13,53769	2	0,00006348	0,000668084
S01	7	7,592	7,572585	2,9435	20,55	17,01911	17,05626	4,617304	16,74182	16,73126	10,15615	27,48127	1,865659	2,517241	0,9206486	2,517241	0,01369863	1,376566	0,3270994	0,9905137	49,68289	323,7395	-9,036538	0,93	148,36	6,822254	120,	162,	1,223008	148,3772	152,2109	-0,9324329	6,827431	46,61381	0,008853372	3,184017	324,5432	44,50222	0,4840229	299,1146	174,8249	3,866412	5,0574	1,309623	1,461351	-0,4252379	0,9668846	163,2101	7,767911	134,	177,	152,2051	7,795209	119,	168,	129,6538	6,300275	105,	144,	29,19231	2,925686	16,	41,	32,10651	5,477262	15,	43,	148,36	6,822254	120,	162,	91,78994	9,736684	77,99999	121,	102,7949	11,06837	86,99999	136,	125,3462	8,217944	111,	150,	63,28852	4,091038	51,0154	69,01556	0,2339174	1,049339	-0,8116089	3,381933	13,33109	1,172069	9,814882	13,57202	1	0,0000472487	0,0007910297
S01	8	7,28	7,277186	2,9435	19,9335	16,4917	16,47838	4,475381	15,72844	15,78122	9,529666	25,02404	1,677858	2,413793	0,9150733	2,413793	0,01428571	1,375849	0,2637373	0,9883628	48,86061	294,5706	14,20321	0,93	146,4319	12,58457	118,	168,	-0,9988918	146,4388	159,9141	-0,2916883	12,57828	158,2131	0,002594053	22,20848	87,50921	160,8255	0,195259	294,5635	621,0936	4,423179	6,185068	6,663387	2,282658	-0,3703981	0,9694823	164,2337	12,94474	134,	189,	149,5756	14,12716	118,	175,	125,4877	12,30865	96,	146,	27,11147	3,880087	17,	38,	36,58842	7,840177	18,	54,	146,4319	12,58457	118,	168,	90,76633	10,07789	65,99999	121,	105,4244	10,52519	79,99999	137,	129,5123	9,829224	109,	159,	62,58188	4,015813	50,53444	71,92944	1,451553	0,3743912	0,3283792	2,568205	14,69162	0,6697852	14,40382	16,70097	1	0,0000472487	0,0007431488
S01	9	7,592	7,655144	3,045	20,961	17,3517	17,30812	4,700974	17,35406	17,44907	10,73396	27,38362	1,998692	2,433333	0,9172797	2,433333	0,01369863	1,380412	0,2892174	0,9798313	53,61755	329,6393	-17,88745	0,89	141,4245	14,54874	108,	166,	-1,041803	141,4355	136,8047	-0,08433841	14,54745	211,6283	0,003013056	9,422691	55,38924	214,3673	0,3245067	286,0994	848,0473	4,59909	6,051642	3,572704	1,935743	-0,4633737	0,9869165	157,6292	15,81469	125,	186,	144,816	16,20276	107,	173,	121,7991	12,2799	90,	144,	27,64528	3,542817	15,	37,	35,26415	5,599692	21,	48,	141,4245	14,54874	108,	166,	97,37077	10,87641	68,99999	130,	110,184	12,60534	81,99999	148,	133,2009	10,59969	111,	165,	60,62806	4,721573	46,46334	71,10461	0,9091512	1,126262	-0,04807073	4,287937	13,95419	0,8835427	12,16313	16,60482	1	0,0000472487	0,0008199572
S01	10	6,968	6,945108	2,3345	18,084	15,08064	15,15161	3,867982	11,74883	11,72772	9,015132	25,77277	1,581206	2,913043	0,9427606	2,913043	0,01492537	1,540177	0,3057945	0,9912373	31,4519	264,5554	-20,73072	0,9	132,522	4,62706	124,	151,	0,9724507	132,5276	130,0078	0,8105327	4,622917	21,37136	0,01434253	2,69395	769,5352	20,00511	0,5128447	267,2171	77,32655	3,449067	4,553749	1,142551	1,379564	-0,3806573	0,9393876	146,5171	4,391575	138,	164,	134,1268	5,088549	125,	155,	116,9041	5,115998	104,	136,	25,0439	2,862654	16,	33,	30,10406	3,7206	17,	41,	132,522	4,62706	124,	151,	108,4829	5,827647	90,99999	117,	120,8732	6,957726	99,99999	130,	138,0959	6,365313	119,	151,	56,6105	2,547207	53,026	64,25212	1,704674	0,5652691	0,00886665	1,415312	10,96323	0,7677288	11,14475	13,26642	1	0,0000472487	0,0005551173
