Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	6,968	7,030476	3,1465	19,728	16,52512	16,63052	4,735163	17,60741	17,59685	9,212323	19,78145	1,774091	2,16129	0,8888022	2,16129	0,01492537	1,234013	0,2578302	0,9792011	61,04184	290,604	-1,074489	0,92	125,6807	8,659661	106,	144,	-0,635753	125,6784	121,0684	-0,2433603	8,654305	74,897	0,007628308	2,181303	149,8795	75,46306	0,526369	253,6034	299,6709	4,138494	5,158082	0,8628177	1,291154	-0,5147162	0,9858926	141,4893	8,682731	121,	159,	126,9705	9,250814	106,	148,	108,5787	8,586002	89,	132,	23,96333	2,439512	14,	34,	34,82111	4,873738	8,	46,	125,6807	8,659661	106,	144,	113,5107	6,82975	95,99999	134,	128,0295	7,00984	107,	149,	146,4213	7,807096	123,	166,	53,99718	2,744705	45,76307	61,84073	2,424483	0,3778418	1,290958	3,03145	12,0216	0,700402	9,920397	11,72415	1	0,0000625428	0,001101217
S01	2	7,176	7,197171	3,248	20,55	16,90498	16,86988	4,785989	17,98742	17,98742	9,368055	21,52015	1,770906	2,15625	0,8922892	2,15625	0,01449275	1,264114	0,2468827	0,9850746	61,32622	300,7307	2,494504	0,93	125,5467	6,974253	112,	145,	-0,6912289	125,5478	118,9824	0,3734956	6,969005	48,56702	0,007524933	3,434418	259,2333	48,56964	0,4165562	253,6409	190,8441	3,944417	5,109481	1,07855	1,426591	-0,4431436	0,9723446	139,8195	6,297589	127,	159,	127,4622	7,437702	113,	150,	109,3169	7,953054	94,	131,	25,74648	2,602646	16,	34,	33,1162	5,75733	11,	47,	125,5467	6,974253	112,	145,	115,1805	6,393486	95,99999	128,	127,5378	7,512619	105,	142,	145,6831	7,227699	124,	161,	53,99426	2,787699	48,42396	62,35735	1,58307	0,520683	0,02102101	2,23293	11,56798	0,3274364	11,21394	12,55028	1	0,0000625428	0,001124984
S01	3	7,592	7,657245	3,045	20,7555	17,32806	17,53053	4,809803	18,16688	18,16688	11,17109	26,54441	1,802069	2,433333	0,9130874	2,433333	0,01369863	1,31506	0,2697776	0,9795625	57,46569	336,3707	-19,21636	0,88	120,196	8,199631	99,	137,	-0,3981195	120,1975	118,9824	-0,3558006	8,197921	67,20591	0,007988237	1,90538	146,1667	67,50906	0,572011	242,6568	268,1308	4,137317	5,089039	0,856561	1,253797	-0,5325601	0,9874826	137,811	8,406172	114,	155,	122,07	9,287953	99,	142,	100,6999	7,544082	83,	119,	24,65267	2,820241	11,	31,	41,40595	4,977081	13,	54,	120,196	8,199631	99,	137,	117,189	7,937006	99,99999	141,	132,93	7,689997	113,	156,	154,3001	6,100031	136,	172,	52,12671	3,058262	42,95192	59,568	2,513215	0,5038078	1,001792	3,264941	13,92816	0,8747104	11,30403	14,02287	1	0,0000625428	0,001136208
S01	4	7,488	7,634162	3,248	20,961	17,86527	17,87033	5,02708	19,84528	19,72916	10,99811	23,53629	1,791416	2,25	0,9007815	2,25	0,01388889	1,27964	0,2667609	0,9690651	65,65469	344,6054	12,50168	0,97	131,0069	8,946267	113,	152,	-0,9120046	131,0078	128,0215	0,1138233	8,946409	80,03823	0,005513584	2,865852	163,757	78,44557	0,484967	264,2382	310,9164	4,196584	5,389503	1,107534	1,408777	-0,4735439	0,9821923	146,6741	7,879375	130,	167,	132,6178	9,246721	113,	154,	113,6919	10,34795	92,	136,	24,71042	2,851863	10,	34,	33,99073	6,532122	9,	48,	131,0069	8,946267	113,	152,	108,3259	6,775291	87,99999	125,	122,3822	7,127416	101,	142,	141,3081	7,436033	119,	163,	56,13926	2,701996	48,67167	64,24525	2,112666	0,3598094	1,718324	3,192094	12,14617	0,6560014	11,17214	14,11417	1	0,0000625428	0,00124118
S01	5	7,28	7,313381	2,9435	19,9335	16,60582	16,70939	4,586634	16,52014	16,44625	9,989645	24,65009	1,592427	2,413793	0,9159477	2,413793	0,01428571	1,328106	0,2564195	0,9834712	51,84996	309,0027	21,58106	0,94	132,4634	6,436407	118,	157,	1,530216	132,4612	128,0215	1,040192	6,441292	41,49024	0,01109879	3,422996	357,7845	39,02158	0,5158716	266,8217	152,6634	3,780583	4,893902	1,659255	1,494824	-0,4389935	0,9675938	151,2663	5,490864	133,	170,	134,8158	6,67479	118,	163,	111,3376	7,99046	97,	142,	25,37525	2,072634	18,	41,	40,8802	6,012563	22,	55,	132,4634	6,436407	118,	157,	103,7337	6,244555	84,99999	122,	120,1842	9,394722	91,99999	137,	143,6624	10,2208	113,	158,	57,11103	3,311784	50,46003	67,04639	2,373096	0,4263995	-1,093898	2,299784	14,9098	1,029765	11,82051	13,70281	1	0,0000625428	0,001033216
S01	6	6,515571	6,471502	2,7405	17,673	14,91924	15,04655	4,162587	13,60668	13,43779	8,101046	18,81086	1,302685	2,32036	0,9121825	2,259259	0,01596176	1,301568	0,2906076	0,9947086	46,32619	247,3716	28,9964	0,88	124,5628	7,879108	108,	155,	1,559362	124,5471	124,8926	0,9597787	7,881768	62,12226	0,01126302	4,592991	196,6909	59,59243	0,4933649	250,9299	233,7767	3,945036	5,072282	2,298298	1,618562	-0,4722578	0,9780276	143,4234	7,67682	126,	169,	126,5628	8,727892	108,	159,	103,7387	7,91851	88,	141,	24,71106	2,448852	16,	34,	42,79397	4,988216	21,	52,	124,5628	7,879108	108,	155,	111,5766	8,525548	85,99999	129,	128,4372	10,8124	95,99999	147,	151,2613	12,42044	114,	167,	53,96087	3,969271	46,7973	65,86868	2,715785	0,7238191	0,5443273	3,826936	14,79135	1,363757	10,70008	13,82621	1	0,0000625428	0,000851
S01	7	7,384	7,41063	2,9435	20,139	16,91477	16,92679	4,566072	16,37236	16,55181	10,5823	25,64502	1,76056	2,448276	0,9242048	2,448276	0,01408451	1,390423	0,2817984	0,9844305	48,21875	326,6041	11,93273	0,86	132,2896	14,00619	104,	159,	-1,150191	132,2821	140,8848	-0,1039557	13,99353	195,8189	0,004293512	3,311423	54,0478	203,8602	0,4835154	266,7856	812,1295	4,557445	5,683257	1,38806	1,485999	-0,5427576	0,9927229	150,6549	14,85128	123,	180,	134,3996	15,43952	103,	165,	111,7911	12,47146	85,	138,	24,77497	3,140956	8,	31,	39,55197	6,426725	12,	52,	132,2896	14,00619	104,	159,	104,3451	9,781705	74,99999	132,	120,6004	10,46653	89,99999	152,	143,2089	8,930369	117,	170,	56,95089	3,971698	45,0358	68,34991	2,426424	0,8740921	1,06072	5,0487	14,42044	0,5206321	13,13212	15,98234	1	0,0000625428	0,001023973
S01	8	7,384	7,514229	2,842	19,9335	16,89114	17,04778	4,5646	16,3618	16,46736	10,94619	26,14945	2,05571	2,535714	0,9254865	2,535714	0,01408451	1,387435	0,3068428	0,9708581	47,83395	329,0069	12,45637	0,88	130,1594	6,222972	114,	144,	-0,5389161	130,16	131,1504	-0,365951	6,218135	38,66521	0,01047271	2,285869	332,1737	39,23886	0,5530024	262,465	154,6695	3,843546	4,89803	1,034463	1,346257	-0,4573804	0,9722257	146,3199	6,570876	127,	163,	131,6781	7,026909	115,	148,	112,4511	6,01813	99,	126,	24,37942	2,632811	15,	35,	34,68618	4,774144	19,	47,	130,1594	6,222972	114,	144,	108,6801	6,439959	91,99999	128,	123,3219	5,559362	107,	140,	142,5489	4,516312	129,	156,	55,82213	2,241136	49,09872	62,05996	2,308677	0,1494836	1,860226	1,912376	12,40973	0,6206592	10,54776	13,65951	1	0,0000625428	0,001023313
S01	9	7,488	7,526276	3,045	20,55	17,07617	17,07051	4,683785	17,22739	17,22739	10,27342	26,00684	1,616798	2,4	0,9130484	2,4	0,01388889	1,346751	0,2680746	0,9829562	53,53003	318,6998	10,84764	0,93	120,3881	8,243559	97,	142,	-0,2310747	120,3895	123,1543	-0,2619109	8,233231	67,78609	0,004202045	12,33835	141,7639	66,79842	0,3029562	242,5532	254,8556	4,115427	5,814753	5,049437	2,050298	-0,3222708	0,9449283	136,9877	7,765252	116,	157,	121,4806	9,378811	91,	146,	102,6657	8,253263	80,	127,	23,54485	3,410068	11,	33,	37,66195	5,082973	24,	56,	120,3881	8,243559	97,	142,	118,0123	6,995903	97,99999	139,	133,5194	10,16021	109,	164,	152,3343	8,111427	128,	175,	51,92953	3,69143	40,85524	61,00881	2,80968	1,885394	0,814678	8,465862	12,50025	0,7548148	10,2358	11,5435	1	0,0000625428	0,001077449
S01	10	7,696	7,74817	3,248	21,372	17,74135	17,74025	4,902534	18,87413	18,88468	10,75509	26,82245	2,046265	2,3125	0,9061068	2,3125	0,01351351	1,326882	0,2992277	0,9813285	60,92694	337,0452	-11,92244	0,92	134,7162	12,43252	100,	172,	0,04413837	134,711	139,1465	0,2002438	12,43072	154,5228	0,002069078	19,36291	65,58247	154,6906	0,2226288	270,7171	599,3989	4,526321	6,397682	6,487102	2,246877	-0,3573738	0,9686028	150,2225	11,06246	118,	186,	136,2166	13,67605	94,	176,	117,7389	13,23186	85,	157,	24,65323	4,067215	7,	36,	32,51218	6,779323	17,	52,	134,7162	12,43252	100,	172,	104,7775	11,92583	68,99999	137,	118,7834	14,07221	78,99999	161,	137,2611	13,08704	97,99999	170,	57,53665	5,172266	42,01985	72,17773	2,138225	2,046601	0,3405005	8,278029	11,83586	0,9948816	8,851213	11,00927	1	0,0000625428	0,001180441
