Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	8,112	8,163465	3,3495	22,3995	18,65842	18,7918	5,159047	20,90088	20,97477	12,76699	30,05347	2,342999	2,363636	0,9124582	2,363636	0,01282051	1,32529	0,2901762	0,9817523	67,43128	387,6414	26,44438	0,87	126,0406	11,0352	107,	160,	-0,5586286	126,1656	112,125	0,3267355	11,03521	121,7759	0,003891945	11,23538	100,2561	115,2916	0,2987641	253,7482	449,9311	4,319452	5,933013	4,067349	2,00616	-0,3781936	0,9680691	139,5565	9,394753	124,	171,	127,1449	11,9342	106,	162,	111,4272	12,41439	88,	148,	24,23282	3,8587	14,	40,	30,0037	7,242648	10,	48,	126,0406	11,0352	107,	160,	115,4435	10,48116	83,99999	131,	127,8551	11,61838	92,99999	149,	143,5728	12,19094	107,	167,	53,93173	4,357283	46,03932	67,00358	1,996056	0,7182164	0,8136653	4,150705	10,25567	0,8308681	8,440913	12,74828	1	0,0000174894	0,0003655443
S01	2	7,696	7,825965	3,248	21,5775	17,82205	17,83814	4,82515	18,28299	18,87413	11,9168	27,25392	3,027886	2,3125	0,9182722	2,3125	0,01351351	1,382274	0,3091791	0,9715734	56,95774	355,6815	-17,59982	0,85	120,1391	6,311355	105,	143,	0,4608331	120,2641	117,125	0,4459779	6,311319	39,83274	0,01477697	3,19191	286,0026	38,67826	0,5880296	241,8109	151,5211	3,821901	4,833103	1,850845	1,444044	-0,4705569	0,9741145	136,7484	5,412452	121,	158,	121,0691	6,670674	104,	145,	102,6138	8,06487	86,	129,	23,23826	2,405506	15,	33,	37,46147	7,460348	16,	53,	120,1391	6,311355	105,	143,	118,2516	7,083855	96,99999	134,	133,9309	7,976977	110,	151,	152,3862	8,795398	126,	169,	51,79219	3,027297	45,13359	60,87408	2,939731	0,2854513	2,083377	3,751557	12,3356	0,7001336	10,2352	12,639	1	0,0000174894	0,0003197589
S01	3	8,528	8,690516	3,248	23,6325	19,59912	19,49999	5,100085	20,42586	21,30201	15,25436	36,04771	3,139091	2,5625	0,9354182	2,5625	0,01219512	1,4963	0,318951	0,9695053	56,62673	445,8969	-17,59447	0,83	124,0016	6,388052	111,	154,	1,344419	124,1266	120,125	1,085549	6,388102	40,80784	0,01536908	3,026666	322,3716	38,33417	0,5597661	249,6083	150,3099	3,729694	4,727756	1,719455	1,330125	-0,4621754	0,9704009	140,4557	4,803431	129,	163,	124,8831	6,731285	110,	158,	106,6314	8,524728	94,	142,	23,14745	2,509629	15,	33,	35,97726	7,21111	11,	51,	124,0016	6,388052	111,	154,	114,5443	7,514771	91,99999	126,	130,1169	11,03895	96,99999	145,	148,3686	11,78955	113,	161,	53,2834	3,944089	47,78675	65,11567	2,892803	0,6427042	-1,028817	4,820916	12,13622	1,044314	9,003278	11,69357	1	0,0000174894	0,0003572365
S01	4	8,32	8,293941	3,248	22,605	18,79618	18,80304	5,078955	20,25696	20,34141	12,73858	32,65174	2,020446	2,5	0,9196051	2,5	0,0125	1,387685	0,3181684	0,9910849	60,56128	390,8515	-8,33309	0,88	120,7543	9,991365	102,	144,	-0,7123471	120,8793	114,125	0,3968512	9,991357	99,82721	0,005194839	6,279509	105,1823	99,83324	0,4065419	243,0894	393,0536	4,255243	5,684631	2,722265	1,754669	-0,4185823	0,9750249	137,4264	7,932123	122,	156,	122,3481	10,43742	103,	146,	102,5031	12,11392	78,	133,	24,55969	2,839895	10,	40,	39,15426	8,499449	17,	60,	120,7543	9,991365	102,	144,	117,5736	6,191216	98,99999	133,	132,6519	7,883985	109,	152,	152,4969	10,16564	122,	177,	52,2066	2,951889	44,78449	61,06226	2,467518	0,3867091	1,407924	3,627645	12,98677	1,591249	8,213026	16,93167	1	0,0000174894	0,0003542825
S01	5	8,32	8,481108	3,1465	22,8105	19,1622	19,16503	5,06305	20,13029	20,55253	13,77939	33,37953	2,441278	2,580645	0,9322022	2,580645	0,0125	1,451331	0,2797531	0,9692129	56,13042	426,2539	-9,771948	0,83	131,1334	5,249427	117,	145,	-0,2705783	131,2584	135,125	-0,307795	5,249607	27,55837	0,01280446	2,619766	509,2484	26,93118	0,5789184	264,0854	105,1049	3,694456	4,741882	1,419695	1,352602	-0,4317	0,9625522	147,9148	4,158379	133,	160,	133,1807	5,583154	116,	148,	112,3133	6,941659	96,	133,	25,28256	2,278017	16,	35,	36,78532	5,929442	15,	51,	131,1334	5,249427	117,	145,	107,0852	4,971588	94,99999	122,	121,8193	5,726913	107,	139,	142,6867	6,895556	122,	159,	56,37638	2,164066	49,88418	61,95235	2,082396	0,4077029	1,841995	3,305505	13,28444	1,252616	9,526593	13,49025	1	0,0000174894	0,0003520671
S01	6	7,384	7,518873	2,7405	20,139	17,08596	17,09189	4,551329	16,2668	16,35124	11,4617	25,82898	2,034167	2,62963	0,9310091	2,62963	0,01408451	1,427917	0,2987052	0,9702585	45,5812	338,9037	-10,57779	0,89	117,7398	5,55768	100,	143,	3,850899	117,8648	118,125	1,263532	5,557735	30,88842	0,01659793	5,04253	331,2921	30,26858	0,499724	237,3675	116,0318	3,522074	4,650816	2,777784	1,580791	-0,3930824	0,9472287	134,5337	5,509145	108,	153,	118,0888	6,408476	93,	147,	100,6255	6,952734	89,	131,	22,23061	8,44163	3,	253,	37,20306	8,192625	5,	53,	117,7398	5,55768	100,	143,	120,4663	8,844562	102,	147,	136,9112	9,637073	108,	162,	154,3745	10,12484	124,	166,	50,71334	3,437747	40,79683	61,02658	3,437481	0,93205	-0,6413307	5,333202	11,95914	2,477961	4,525259	9,258561	1	0,0000174894	0,000284497
S01	7	7,964582	8,099086	3,248	21,783	18,30219	18,33495	4,841836	18,40966	19,14858	13,34564	30,26909	2,563019	2,393204	0,9284184	2,34375	0,01305781	1,447726	0,3027878	0,9715731	56,82884	378,6075	-36,15468	0,84	124,2703	10,71317	106,	157,	-0,5106506	124,3953	112,125	0,4702017	10,71314	114,7715	0,003766889	8,206763	99,32143	114,2368	0,3468494	250,0207	448,7402	4,328856	5,886103	3,152721	1,868914	-0,3952346	0,97208	138,9841	9,042955	124,	169,	124,9055	11,86061	104,	161,	108,9081	11,96403	88,	142,	22,9576	4,546575	9,	42,	31,92403	7,255401	12,	51,	124,2703	10,71317	106,	157,	116,0159	10,00531	85,99999	131,	130,0945	12,03151	93,99999	151,	146,0919	11,03063	113,	167,	53,20362	4,407598	45,48357	66,42641	2,639285	0,8968124	-0,3865514	5,329722	10,68375	0,4313571	10,93282	11,97782	1	0,0000174894	0,0003219743
S01	8	8,112	8,123623	2,842	21,372	18,02667	18,18876	4,778962	17,93464	18,01909	13,45862	32,72991	1,97354	2,785714	0,9354978	2,785714	0,01282051	1,441664	0,2774727	0,9865673	49,69399	383,6676	23,14345	0,89	129,0959	8,904087	115,	159,	0,02434009	129,2209	118,125	0,7477033	8,904208	79,28491	0,007514613	6,577628	176,3872	75,38581	0,4473705	259,9257	294,9655	4,067759	5,41691	3,238286	1,778165	-0,4133323	0,969808	147,0697	7,553318	135,	171,	131,0824	9,57858	116,	164,	109,1348	10,61018	93,	143,	24,97828	2,981606	13,	35,	39,79005	7,807827	15,	55,	129,0959	8,904087	115,	159,	107,9303	7,976776	83,99999	120,	123,9176	10,97255	90,99999	139,	145,8652	11,28839	112,	162,	55,65594	3,921635	50,01593	67,42085	2,445107	0,4500864	-1,094848	3,707765	14,09128	0,7614737	11,80686	15,45533	1	0,0000174894	0,0003136665
S01	9	8,424	8,540801	3,248	23,016	19,29996	19,30424	5,118501	20,57364	21,06978	14,13837	34,24637	2,886913	2,53125	0,9286779	2,53125	0,01234568	1,440547	0,293897	0,9744694	58,58992	425,55	-4,109379	0,88	128,5957	7,01375	114,	158,	4,818254	128,7207	127,125	1,847465	7,013907	49,1949	0,02162431	2,766234	283,8038	45,94923	0,5779621	258,7824	181,0306	3,608592	4,563828	1,533269	1,366746	-0,456201	0,9657168	146,6868	5,525165	133,	172,	130,0873	7,364039	114,	162,	108,9893	9,053271	94,	145,	24,06968	2,34677	15,	36,	39,14165	7,054948	16,	53,	128,5957	7,01375	114,	158,	108,3132	8,437726	82,99999	122,	124,9127	10,63757	92,99999	141,	146,0107	12,00358	110,	161,	55,34581	3,89069	49,28844	67,01788	2,831084	0,7109721	0,6981681	4,168814	13,73859	1,199594	10,13981	13,83815	1	0,0000174894	0,0003598211
S01	10	8,632	8,71852	2,842	22,605	19,19563	19,23956	4,8335	18,34633	18,66301	14,92677	38,91435	2,678389	2,964286	0,9499803	2,964286	0,01204819	1,598017	0,3085745	0,9781764	43,95685	450,4496	-2,797294	0,86	121,7111	5,628006	113,	153,	3,840831	121,8361	123,125	1,43293	5,628025	31,67466	0,0149612	2,875607	449,4437	28,47083	0,5711742	244,9456	111,0077	3,60257	4,579408	1,611349	1,362851	-0,4366767	0,9604998	141,7147	4,317777	131,	167,	122,51	6,209338	112,	155,	100,9013	7,083659	88,	137,	22,65127	2,12233	15,	31,	43,80616	6,066697	25,	56,	121,7111	5,628006	113,	153,	113,2853	8,428444	87,99999	124,	132,4901	10,83002	99,99999	143,	154,0987	12,03291	118,	167,	52,62827	3,968951	48,40865	64,53513	3,909232	0,8606785	1,327196	3,623049	14,56353	1,180464	11,02213	16,11479	1	0,0000174894	0,0003208667
