Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Classe	Masse surfacique (gr/mm2)	Poids estimé (gr)
S01	1	7,904	8,013252	3,1465	21,5775	17,99324	18,15325	4,954357	19,27526	19,29637	11,70883	28,96785	1,967054	2,451613	0,9133847	2,451613	0,01315789	1,336425	0,3314435	0,9745107	62,35968	356,514	28,88494	0,91	123,1105	9,891791	101,	150,	-0,4982305	123,1072	125,0332	-0,08115385	9,892546	97,86246	0,002667496	16,1619	112,1528	91,70184	0,2263482	248,0546	350,6456	4,273998	6,137882	5,033471	2,1505	-0,3060185	0,9439979	137,8232	8,621296	118,	165,	123,4386	10,91387	101,	153,	108,0704	11,81452	82,	140,	22,3838	5,437715	5,	42,	31,57692	9,578525	7,	52,	123,1105	9,891791	101,	150,	117,1768	9,058922	89,99999	137,	131,5614	9,853793	102,	154,	146,9296	10,64322	115,	173,	52,67193	3,741719	43,89852	63,89709	2,87516	0,2557633	2,149119	3,64245	10,40708	0,956549	8,411673	13,27673	1	0,002632382	0,05073985
S01	2	7,28	7,332789	3,045	20,3445	16,99547	16,88318	4,652108	16,99516	17,00572	10,00848	24,13636	2,005786	2,333333	0,9073015	2,333333	0,01428571	1,352282	0,3416286	0,9808682	54,40513	306,4735	-6,857968	0,9	122,1453	5,47491	114,	142,	0,6667303	122,1443	118,9902	0,9392098	5,471048	29,93237	0,01469249	3,188833	463,6058	28,08959	0,5090314	245,7594	109,1695	3,554741	4,621943	1,454999	1,470824	-0,4053846	0,9511198	137,5908	4,321104	127,	153,	122,8251	6,237964	114,	148,	106,0564	7,159602	94,	132,	22,9847	3,353288	15,	45,	33,82409	6,543691	17,	48,	122,1453	5,47491	114,	142,	117,4092	5,136398	102,	128,	132,175	8,391655	107,	141,	148,9436	8,647865	123,	161,	52,4343	2,96299	48,70402	61,32327	2,812668	0,5952098	-1,027038	1,652046	11,24172	0,7090963	9,114429	12,93888	1	0,002632382	0,04473775
S01	3	6,968	6,986625	3,045	19,5225	15,93085	15,98147	4,460338	15,62288	15,63344	8,271646	21,93636	1,543956	2,233333	0,8971794	2,233333	0,01492537	1,292537	0,2720387	0,985347	53,52335	266,1567	16,94893	0,93	124,3045	7,554458	106,	148,	-0,3647389	124,3037	121,123	0,1972246	7,557713	57,11902	0,005396428	5,784982	201,3313	56,07264	0,3897641	250,4608	218,5056	4,038261	5,474316	2,171091	1,706967	-0,3822796	0,9616526	141,2917	6,170785	121,	162,	125,6976	8,103765	103,	150,	105,9669	9,346956	89,	132,	24,09509	2,841346	15,	35,	37,96047	7,229127	16,	51,	124,3045	7,554458	106,	148,	113,7083	6,902776	92,99999	134,	129,3024	8,100787	105,	152,	149,0331	8,677707	123,	166,	53,57071	3,023926	44,923	62,64249	2,667076	0,7119008	1,348373	4,802778	12,93342	0,79356	10,55274	11,09117	1	0,002632382	0,04112539
S01	4	5,860332	5,918446	2,7405	16,6455	13,88804	13,88277	3,938581	12,18162	12,1394	6,052444	14,40343	1,403484	2,087013	0,8830788	2,074074	0,01774644	1,259804	0,3037736	0,9782795	43,5938	196,7425	-5,897098	0,89	122,2493	7,885311	111,	158,	2,326532	122,2494	114,0137	1,328388	7,885293	62,17785	0,01020042	5,267387	215,9578	57,30601	0,4714892	246,1577	223,9566	3,855688	5,075588	2,552788	1,696636	-0,4181895	0,965241	138,3199	6,780514	127,	169,	123,7464	8,64705	110,	162,	104,683	9,26009	92,	144,	24,45821	3,333151	14,	40,	36,91066	7,230899	15,	50,	122,2493	7,885311	111,	158,	116,6801	10,22671	85,99999	128,	131,2536	12,7512	92,99999	145,	150,317	13,10567	111,	163,	52,72532	4,671687	47,54215	66,74038	2,368288	0,5876591	-0,6053106	3,676524	12,45663	0,7301318	10,26623	12,50607	2	0,002632382	0,03206668
S01	5	7,072	7,206233	2,842	19,728	16,46806	16,3768	4,427063	15,39065	15,5701	9,732925	23,55804	1,937984	2,428571	0,9184626	2,428571	0,01470588	1,402018	0,2873361	0,9695774	46,45368	296,9021	1,495103	0,87	123,7467	7,605168	105,	149,	0,6067852	123,7362	117,9238	0,7136573	7,614119	57,97481	0,01200361	4,691852	201,7376	54,91071	0,4629666	249,1594	214,951	3,855509	5,048441	2,151461	1,632368	-0,4223076	0,9659048	141,5551	6,490521	121,	163,	124,3282	8,378176	104,	154,	105,3524	8,708604	90,	133,	22,5033	3,177737	15,	41,	38,13987	5,972322	22,	53,	123,7467	7,605168	105,	149,	113,4449	7,148313	91,99999	134,	130,6718	9,890602	101,	151,	149,6476	9,215863	122,	165,	53,20724	3,540424	45,22575	63,82852	3,464168	1,051635	-0,3092622	4,367737	12,78653	0,8030236	10,37746	12,21358	1	0,002632382	0,04051407
S01	6	7,904	8,018297	3,3495	22,194	18,46359	18,57701	5,140776	20,7531	20,93255	11,95527	27,83295	2,736631	2,30303	0,9057468	2,30303	0,01315789	1,306999	0,2534799	0,9738975	67,43999	374,2546	-7,486955	0,88	132,4126	13,21401	105,	160,	-0,8060117	132,4132	126,0996	0,09385557	13,21237	174,5667	0,003320891	4,698276	62,54644	179,0951	0,3753141	267,4742	711,6819	4,593692	5,896397	1,497093	1,578569	-0,4978235	0,9899101	148,6216	14,90409	119,	180,	134,0401	14,07141	105,	164,	114,5881	11,2747	88,	140,	24,47955	2,881516	11,	35,	34,24981	5,521582	12,	48,	132,4126	13,21401	105,	160,	106,3784	10,45948	74,99999	136,	120,9599	9,986621	90,99999	150,	140,4119	8,862701	115,	167,	56,72656	3,821624	45,26169	68,12931	2,232145	0,1288532	1,90112	2,618705	12,48102	0,6972176	11,59309	14,57267	1	0,002632382	0,05463009
S01	7	8,112	8,103478	3,3495	22,3995	18,60136	18,5833	5,131616	20,6792	20,72143	12,15499	29,58504	1,930755	2,363636	0,9089097	2,363636	0,01282051	1,331316	0,2587225	0,9890198	65,72066	374,8513	-11,93765	0,89	126,2689	5,432811	111,	150,	2,453104	126,2791	127,166	0,7355357	5,437554	29,567	0,01751863	2,626383	425,9651	28,98985	0,5853432	255,0324	113,3331	3,638377	4,614232	1,450203	1,350856	-0,458081	0,9672301	145,0232	5,149889	131,	166,	128,3895	6,021765	111,	156,	105,391	6,073421	92,	130,	25,01049	2,402544	17,	35,	42,26817	4,957344	22,	52,	126,2689	5,432811	111,	150,	109,9768	6,992259	88,99999	124,	126,6105	9,203496	98,99999	144,	149,609	8,202995	125,	163,	54,64748	3,304251	48,21828	64,56023	2,578571	0,733463	-0,7030196	4,77896	14,81331	0,4364036	13,5041	14,94996	1	0,002632382	0,05443555
S01	8	8,424	8,462528	3,045	22,3995	18,82961	18,89539	5,039099	19,94028	19,97195	13,70497	34,29453	2,115032	2,7	0,9262729	2,7	0,01234568	1,414742	0,2586951	0,9834827	57,05759	401,4022	3,924334	0,88	125,023	4,517745	111,	140,	0,881171	125,025	125,0332	0,466155	4,520489	20,43482	0,01787855	2,607382	623,6987	19,78439	0,5812435	252,0017	76,5302	3,506091	4,518684	1,425273	1,346894	-0,409593	0,9499794	143,4917	3,452961	132,	154,	126,2985	4,952347	112,	144,	105,2803	5,808468	89,	124,	23,61758	2,09481	14,	35,	40,40301	4,896548	26,	52,	125,023	4,517745	111,	140,	111,5083	3,830559	101,	123,	128,7015	5,900505	111,	143,	149,7197	6,239904	131,	166,	53,9287	2,068261	48,52998	60,13348	3,122848	0,9510629	0,2696595	4,189654	13,85929	0,6295242	11,97072	15,71115	1	0,002632382	0,05249044
S01	9	7,384	7,387911	2,842	19,9335	16,71995	16,78809	4,566072	16,37236	16,37236	10,50354	25,38258	1,735832	2,535714	0,9184119	2,535714	0,01408451	1,358578	0,278654	0,9874578	48,9964	312,7465	3,219646	0,94	115,2427	6,351849	100,	136,	0,167255	115,2516	112,9473	0,4349627	6,353444	40,36625	0,008034532	4,995721	254,1556	39,4915	0,3964388	232,3134	152,9702	3,852335	5,213576	1,83227	1,62758	-0,3635007	0,9493908	134,7021	5,480312	121,	156,	115,67	6,936009	98,	137,	95,32698	7,424329	78,	116,	22,0682	2,401383	15,	29,	44,3009	6,079187	26,	61,	115,2427	6,351849	100,	136,	120,2979	7,099302	98,99999	134,	139,33	7,109998	118,	157,	159,673	6,891006	139,	177,	49,94571	2,766586	43,2865	58,24547	4,109746	0,681145	3,751884	6,153182	13,99509	0,2960761	13,89763	14,88332	1	0,002632382	0,04309831
S01	10	8,528	8,596088	3,5525	23,6325	19,77031	19,78138	5,470153	23,49766	23,43432	13,69616	32,93561	2,148531	2,342857	0,9101818	2,342857	0,01219512	1,323514	0,263937	0,9801551	76,45432	425,9274	-31,87542	0,89	119,6027	6,247551	99,	137,	0,1951158	119,5972	121,834	-0,5231806	6,24548	39,00602	0,01102226	2,368457	258,4889	38,05912	0,5417019	241,5591	149,868	3,853742	4,908034	1,055971	1,343345	-0,4600435	0,9730021	138,1433	5,980748	117,	155,	120,9386	7,034974	100,	142,	99,7396	6,464694	80,	118,	23,65323	2,466674	15,	31,	42,45554	4,951165	27,	54,	119,6027	6,247551	99,	137,	116,8567	7,047762	99,99999	138,	134,0614	7,02048	113,	155,	155,2604	6,57987	137,	175,	51,82635	2,785099	43,47105	59,54621	3,157358	0,7690849	0,850103	3,509301	14,07488	0,1611277	13,87029	14,55826	1	0,002632382	0,06185482
