Date	Heure début	Heure fin	ID Programme	ID Lot	Utilisateur	ID Variété	ID Sous variété	Code variété	Masse totale mesurée	Nb mesures	Nb graines	PMG	Masse Surfacique (gr/mm2)	Masse ext.	PMG ext.	Classifieur	Masse analysée	%Clas. NI (nb)	%Clas. NI (masse)	Masse Clas. NI	Nb Clas. NI	PMG Clas. NI	%Clas. C1 (nb)	%Clas. C1 (masse)	Masse Clas. C1	Nb Clas. C1	PMG Clas. C1	%Clas. C2 (nb)	%Clas. C2 (masse)	Masse Clas. C2	Nb Clas. C2	PMG Clas. C2	%Clas. C3 (nb)	%Clas. C3 (masse)	Masse Clas. C3	Nb Clas. C3	PMG Clas. C3	%Clas. C4 (nb)	%Clas. C4 (masse)	Masse Clas. C4	Nb Clas. C4	PMG Clas. C4	Dossier Mesure
22/11/2022	14:29:18	14:29:18	Blé dur - Métrologie complète + classification cassés	obelix_ixos_anvergur	Mecarnot	Blé dur	Standard	0101	1,990	1	36	55,278	0,002779072	0,000	0,000	Graines entiers et cassés_test	1,986	0,0	0,0	0,000	0	0,000	100,0	100,0	1,986	36	55,165	0,0	0,0	0,000	0	0,000	0,0	0,0	0,000	0	0,000	0,0	0,0	0,000	0	0,000	2022-11-22_142918_0101_Mecarnot_obelix_ixos_anvergur



Mesure	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	Poids estimé (gr)
Moyenne	7,893555	7,947845	3,326135	21,9885	18,21646	18,22448	5,019107	19,85027	19,92973	11,56553	28,41238	2,184183	2,333592	0,9050526	2,332641	0,01323341	1,337084	0,2740441	0,9812328	65,18298	359,0279	-0,4712514	0,8994443	133,9934	8,77854	111,9444	158,25	0,4526699	133,9966	133,2288	0,07281974	8,776073	82,98066	5,761339	229,6571	81,69957	0,4484791	269,9245	321,0369	4,058015	5,337768	2,267545	1,610608	-0,4320866	0,9696202	151,8315	8,360311	128,9722	172,2222	135,7861	9,5508	111,2222	161,8611	114,3712	9,312183	93,58334	144,0833	24,5146	2,935879	14,38889	40,94444	37,59245	5,946428	16,75	51,	133,9934	8,77854	111,9444	158,25	103,1685	8,510642	82,77778	126,0278	119,2139	9,861434	93,13889	143,7778	140,6288	10,3672	110,9167	161,4167	57,46096	3,666294	48,05777	66,94298	2,519175	0,6874661	0,7325451	4,059711	13,71558	1,31759	9,884727	13,08098	0,05516533
Ecart type	0,5124238	0,5115353	0,3099033	1,305999	1,088148	1,066878	0,2940068	2,268569	2,291468	1,784328	4,87334	0,398203	0,2405146	0,02140737	0,240376	0,0008989573	0,08452139	0,02467842	0,007657193	11,49306	48,9405	19,78376	0,02857199	11,10568	2,441557	12,99775	13,04772	1,381706	11,10148	10,49643	0,6308587	2,441551	45,28223	4,602163	185,3236	46,09323	0,1123938	22,4299	181,7894	0,3110043	0,5372825	1,451245	0,2886067	0,06209841	0,01473096	11,65955	2,826227	14,40001	14,29085	11,69328	2,694777	13,79837	14,09522	10,15809	1,964148	10,90967	12,49972	1,592393	1,59197	3,683882	35,82438	3,032563	1,065012	4,297124	3,535534	11,10568	2,441557	12,99775	13,04772	11,65954	3,020328	14,29085	14,40001	11,69327	3,113087	14,09522	13,79837	10,15809	2,438008	12,49973	10,90967	4,43734	1,207305	5,515163	5,205092	0,6921691	0,2994888	1,284273	1,453417	1,310273	0,7766664	2,354901	1,70454	0,006304516
Mini	6,45379	6,495049	2,7405	17,8785	14,94287	14,96255	4,167428	13,63835	13,5539	7,693285	18,82018	1,463607	1,846154	0,8438212	1,846154	0,01169932	1,172783	0,2449116	0,959787	43,70206	239,2101	-33,21564	0,83	118,0932	4,195578	75,	133,	-0,9287289	118,0947	114,0645	-1,93319	4,184963	17,51391	1,175454	43,88546	15,77771	0,1756333	237,7572	60,35675	3,334463	4,122067	0,5916891	1,069167	-0,5418982	0,9305277	134,08	3,654501	85,	145,	119,4942	4,433147	73,	136,	100,749	4,90683	66,	122,	21,26535	1,923838	0,	30,	31,34648	3,708053	4,	41,	118,0932	4,195578	75,	133,	74,72076	3,626455	49,	94,99999	90,9661	4,726237	62,	117,	115,4443	6,489151	83,99999	137,	51,06086	1,813817	32,01031	57,10776	0,7291007	0,1070033	-2,066462	1,348373	10,8745	0,1035277	5,055735	9,333978	0,03790196
Maxi	8,889404	8,924675	3,9585	24,8655	20,53983	20,45334	5,544597	24,14157	24,38436	15,29304	37,28974	3,368407	2,962963	0,9454138	2,962963	0,01611456	1,565761	0,331461	0,9960467	91,98724	467,5151	57,2647	0,95	160,6287	15,13784	138,	188,	5,249119	160,6373	159,0879	1,232272	15,13509	229,071	23,63809	853,7603	232,9039	0,6582637	323,4245	907,9764	4,607906	6,381627	6,663695	2,292062	-0,3031029	0,9900566	180,2793	15,11471	160,	206,	164,0339	16,56058	138,	193,	139,5557	14,23894	118,	171,	28,56472	12,08006	19,	252,	44,69168	8,80116	27,	56,	160,6287	15,13784	138,	188,	120,92	18,10104	110,	170,	135,5058	16,99341	119,	182,	154,251	16,49774	133,	189,	68,11122	6,94576	58,80771	78,47043	4,078654	1,305727	4,174082	7,476471	17,22238	3,402379	15,94867	17,00372	0,06709117
% à 2,00 x écart type	97,2	97,2	97,2	94,4	94,4	94,4	97,2	97,2	97,2	94,4	100,0	97,2	91,7	97,2	91,7	97,2	94,4	91,7	97,2	97,2	94,4	94,4	94,4	91,7	94,4	91,7	97,2	91,7	91,7	94,4	94,4	94,4	94,4	94,4	91,7	94,4	97,2	91,7	94,4	97,2	94,4	94,4	94,4	97,2	97,2	94,4	94,4	91,7	91,7	91,7	94,4	94,4	97,2	91,7	94,4	91,7	97,2	91,7	97,2	94,4	97,2	94,4	91,7	94,4	94,4	91,7	94,4	91,7	97,2	94,4	94,4	91,7	91,7	91,7	91,7	97,2	94,4	91,7	94,4	97,2	91,7	91,7	94,4	94,4	94,4	94,4	97,2	94,4	94,4	94,4	91,7	94,4	94,4	97,22222
