Réf. Ech	Index	Longueur (mm)	Longueur intérieure (mm)	Largeur (mm)	Périmètre (mm)	Périmètre de Crofton (mm)	Périmètre convexe (mm)	Dimètre Eq. (mm)	Surface (mm2)	Surface convexe (mm2)	Surface DiffCAP (mm2)	Surface DiffCEN (mm2)	Surface DiffEAP (mm2)	Finesse	Excentricité	F. Feret	Compacité	Circularité	Rugosité	Index de courbure	Moment inertie 1	Moment inertie 2	Moment inertie 3	Symétrie	Moyenne ndg	Ecart type ndg	Minimum ndg	Maximum ndg	Histo. Kurtose	Histo. Moyenne	Histo. Pic	Histo. Assymétrie	Histo. Ecart type	Histo. Variance	Cooc. Uniformité	Cooc. Contraste	Cooc. Corrélation	Cooc. Variance globale	Cooc. Homogénéïté	Cooc. Somme des moyennes	Cooc. Somme des variances	Cooc. Somme des entropies	Cooc. Entropie globale	Cooc. Ecart variance	Cooc. Ecart entropie	Cooc. Corrélation IC1	Cooc. Corrélation IC2	RVB R Moy	RVB R Ect	RVB R Min	RVB R Max	RVB V Moy	RVB V Ect	RVB V Min	RVB V Max	RVB B Moy	RVB B Ect	RVB B Min	RVB B Max	TSI T Moy	TSI T Ect	TSI T Min	TSI T Max	TSI S Moy	TSI S Ect	TSI S Min	TSI S Max	TSI I Moy	TSI I Ect	TSI I Min	TSI I Max	CMJ C Moy	CMJ C Ect	CMJ C Min	CMJ C Max	CMJ M Moy	CMJ M Ect	CMJ M Min	CMJ M Max	CMJ J Moy	CMJ J Ect	CMJ J Min	CMJ J Max	Lab L Moy	Lab L Ect	Lab L Min	Lab L Max	Lab a Moy	Lab a Ect	Lab a Min	Lab a Max	Lab b Moy	Lab b Ect	Lab b Min	Lab b Max	
S01	1	7,408253	7,463386	2,9435	20,139	16,91477	17,01346	4,621669	16,77349	16,76293	10,89453	25,92016	1,921275	2,456317	0,9214339	2,448276	0,0140384	1,357172	0,2528532	0,9806824	51,81498	324,9637	25,69859	0,91	119,7885	6,918591	103,	141,	-0,2889546	119,8026	114,8867	0,3107857	6,927581	47,99138	0,01375447	3,528556	228,5184	46,62147	0,5128639	241,4289	182,9573	3,800602	4,916863	1,672398	1,497014	-0,4398137	0,9682299	137,8899	6,247399	118,	154,	121,4678	7,468591	104,	144,	100,001	7,848009	82,	124,	24,34698	2,411079	15,	35,	42,33821	6,093135	19,	55,	119,7885	6,918591	103,	141,	117,1101	6,629954	101,	137,	133,5322	7,510725	111,	151,	154,999	7,99968	131,	173,	51,95317	2,726772	44,74679	60,13348	2,787048	0,8391296	0,2696595	1,869431	14,09475	0,7080091	11,97072	14,44127	
S01	2	7,28	7,372449	3,5525	21,1665	17,31827	17,45208	5,020391	19,7925	19,7925	8,928839	21,24169	2,083256	2,	0,8686079	2,	0,01428571	1,205686	0,2521779	0,9755917	75,04213	302,4376	-12,00773	0,91	107,2547	5,829461	98,	132,	2,648033	107,2531	107,0195	1,44271	5,838992	34,09383	0,01493358	3,778143	312,9394	30,78198	0,5288044	215,7683	119,3498	3,571901	4,682893	1,98426	1,529637	-0,3954172	0,9489681	123,7453	5,684529	113,	149,	106,9867	6,000765	96,	135,	91,00391	6,77109	81,	117,	20,71172	2,424259	11,	30,	38,80156	6,05196	16,	50,	107,2547	5,829461	98,	132,	131,2547	8,418231	106,	142,	148,0133	9,337761	120,	159,	163,9961	8,66537	138,	174,	46,35728	3,573318	41,95439	57,07724	3,920043	0,5670177	2,21899	4,317457	11,39979	0,09655157	11,11014	11,59718	
S01	3	7,384	7,396009	2,9435	20,139	16,80065	16,79387	4,569016	16,39347	16,43569	10,3288	25,78689	1,716565	2,448276	0,9164273	2,448276	0,01408451	1,369957	0,2895427	0,9863766	51,77824	307,8237	23,47766	0,93	115,1229	6,548485	101,	136,	-0,4384352	115,1319	109,918	0,3375514	6,547718	42,87261	0,00725976	5,062232	246,3952	41,55933	0,4268647	232,0859	161,175	3,84958	5,208553	2,078087	1,664026	-0,3691572	0,9515199	134,3424	6,463489	118,	153,	116,0816	7,178902	99,	137,	94,95367	7,207206	82,	117,	22,94864	2,64829	12,	32,	44,83786	6,591135	23,	61,	115,1229	6,548485	101,	136,	120,6576	6,219203	102,	137,	138,9184	6,972806	118,	156,	160,0463	7,348775	138,	173,	50,01534	2,657435	43,33686	57,98764	3,665936	0,3882888	2,695401	4,830803	14,30383	0,600563	12,50214	12,9266	
S01	4	7,8	7,863119	3,248	21,5775	17,76499	17,73743	4,801412	18,10354	18,08243	11,29612	29,2031	1,699049	2,34375	0,9206834	2,34375	0,01333333	1,38705	0,2770686	0,9800501	61,53405	342,3709	48,49084	0,96	115,6715	10,74903	100,	142,	-1,018436	115,6806	104,9492	0,4712793	10,74879	115,5364	0,005356391	5,949329	88,52408	114,2203	0,4173276	232,716	450,9318	4,217619	5,584742	2,646389	1,708013	-0,4294725	0,9761392	134,2151	10,7883	117,	159,	117,0261	11,45659	101,	145,	95,79208	11,08852	78,	126,	23,73537	2,80609	10,	38,	44,19532	8,076288	14,	60,	115,6715	10,74903	100,	142,	120,7849	8,26163	95,99999	138,	137,9739	9,324638	110,	154,	159,2079	10,06931	129,	177,	50,28157	3,537645	43,71118	60,8945	3,189643	0,3968263	1,999165	2,627971	14,17951	0,7353439	11,97348	15,3925	
S01	5	7,8	8,002938	3,045	21,5775	17,99324	17,93474	4,843225	18,42022	18,62078	11,92897	28,55817	2,460207	2,5	0,91872	2,5	0,01333333	1,398459	0,2857432	0,9629275	55,80054	356,0553	-8,415582	0,87	122,9597	13,61444	101,	156,	-0,8735598	122,9551	107,8477	0,4965846	13,61109	185,2617	0,005895367	5,179368	53,91671	192,726	0,443877	248,2147	765,7245	4,434091	5,666303	2,315221	1,683978	-0,5045931	0,9890189	142,3984	13,2374	120,	176,	124,7653	14,74911	101,	160,	101,7303	13,46158	81,	133,	24,31261	2,812814	15,	33,	44,48074	6,972363	24,	58,	122,9597	13,61444	101,	156,	112,6016	11,20053	78,99999	135,	130,2347	11,74489	94,99999	154,	153,2697	10,42324	122,	174,	53,32821	4,41383	44,08127	66,56969	3,02329	0,51368	1,48225	4,359895	15,06054	0,3841791	14,15822	16,21308	
S01	6	7,384	7,474646	2,9435	20,139	17,0289	17,03047	4,643432	16,93182	16,90016	10,58343	25,57019	1,825761	2,448276	0,9202375	2,448276	0,01408451	1,362685	0,2527289	0,9759995	51,06012	326,0729	-16,35615	0,89	139,8556	11,74677	114,	160,	-1,211697	139,856	150,9102	-0,2132632	11,73991	137,8254	0,002852793	17,72131	93,00542	141,1563	0,2247719	281,1865	546,9036	4,362761	6,068506	5,499982	2,156634	-0,3637239	0,9657399	157,9702	11,66196	135,	180,	142,5419	13,35375	114,	165,	119,0452	11,54943	93,	140,	26,26372	3,92736	14,	36,	38,10876	7,169395	20,	56,	139,8556	11,74677	114,	160,	97,02983	7,656721	74,99999	120,	112,4581	9,513957	89,99999	141,	135,9548	8,681743	115,	162,	59,98503	3,506081	49,46679	68,39265	1,89506	0,9904535	1,357833	4,866421	14,61835	0,1074181	14,70135	14,9406	
S01	7	7,696	7,774101	3,3495	21,5775	17,93618	17,9468	5,023067	19,81361	19,83472	11,19628	25,71676	1,964732	2,242424	0,8986974	2,242424	0,01351351	1,29188	0,2515696	0,9780552	65,98217	342,5462	4,714961	0,91	118,3176	6,88339	97,	136,	0,2747985	118,3265	119,8555	-0,7206817	6,882457	47,36821	0,01087501	1,946103	205,1643	46,08058	0,5507282	238,6344	182,3762	3,897887	4,864846	0,8072634	1,240169	-0,4986066	0,9800455	134,4222	6,398153	114,	151,	119,2602	7,485981	98,	140,	101,2319	7,240395	80,	118,	23,27358	2,439331	14,	30,	36,95362	4,642247	21,	51,	118,3176	6,88339	97,	136,	120,5778	6,807388	104,	141,	135,7398	7,086741	115,	157,	153,7681	7,077306	137,	175,	51,03973	2,813243	42,6	58,64287	2,809154	0,8140412	0,3670307	3,400992	12,05857	0,3957513	12,62382	13,24582	
S01	8	6,968	7,145036	3,248	20,139	16,40121	16,20711	4,526155	16,08735	16,18235	8,329277	21,34543	1,83103	2,09375	0,8893507	2,09375	0,01492537	1,330433	0,2752767	0,9635011	58,21596	265,2561	-21,87046	0,92	122,3313	7,89871	105,	142,	-0,5581936	122,3334	119,8555	0,2980669	7,903367	62,4632	0,006330174	4,634361	176,8763	62,67276	0,4213324	247,3391	246,0567	4,062266	5,379138	1,772749	1,614649	-0,4222288	0,9714986	139,6522	8,136539	125,	160,	123,9213	9,051138	105,	147,	103,3872	7,1324	86,	122,	24,25673	2,923154	16,	32,	39,48551	4,696948	24,	53,	122,3313	7,89871	105,	142,	115,3478	6,78261	94,99999	130,	131,0787	7,692894	108,	150,	151,6128	6,204279	133,	169,	52,87054	2,854683	45,81856	61,43459	2,617275	0,7511223	0,6713198	4,870642	13,42889	0,5222486	13,64801	14,99564	
S01	9	7,176	7,210597	3,248	20,3445	16,76722	16,92097	4,83767	18,378	18,2091	9,13995	21,39791	1,548647	2,15625	0,8827857	2,15625	0,01449275	1,217166	0,2968835	0,9832404	65,29367	295,0428	-5,836456	0,92	124,8239	7,465018	98,	143,	0,8558187	124,8341	123,9961	-0,5437763	7,465004	55,72628	0,00827193	3,642922	176,4487	54,72908	0,4721036	252,1749	215,2732	3,976573	5,19814	1,550999	1,50782	-0,4379146	0,9725065	140,1461	7,085092	116,	157,	126,0923	8,326946	96,	146,	108,2325	7,470614	82,	129,	24,08376	3,226995	11,	34,	34,00085	3,998399	19,	47,	124,8239	7,465018	98,	143,	114,8539	8,048717	97,99999	139,	128,9077	10,03077	109,	159,	146,7675	8,744161	126,	173,	53,62271	3,777823	42,28924	61,05499	2,325444	1,145371	1,13616	5,761559	11,67926	0,4002844	10,47841	11,01763	
S01	10	8,008	8,192662	3,3495	22,3995	18,71548	18,70344	5,089531	20,34141	20,76365	12,80903	29,34673	2,630247	2,333333	0,9132618	2,333333	0,01298701	1,370083	0,2729815	0,9657117	63,83246	382,524	-9,806927	0,85	124,9476	6,315837	101,	146,	1,131485	124,9595	121,9258	0,09825058	6,316412	39,89707	0,01109644	3,200162	268,7584	38,09185	0,5151366	251,7893	149,1672	3,844296	5,002305	1,511643	1,463455	-0,4280092	0,9666369	141,3983	5,10935	121,	158,	126,0208	6,945136	99,	149,	107,4191	7,450928	81,	132,	23,53082	2,70895	13,	34,	35,95609	5,125134	19,	50,	124,9476	6,315837	101,	146,	113,6017	6,799428	96,99999	134,	128,9792	9,006927	106,	156,	147,5809	8,806366	123,	174,	53,70201	3,357856	43,62844	62,02343	2,749241	1,076911	0,3489121	5,979973	12,27823	0,7038043	10,16682	13,55368	
